scenario_id,load_mode,zone_j_total_pmax_mw,interface_name,lite_flow_mw,target_flow_mw,residual_mw,scale_mw,objective_term,interface_objective_total,target_limit_mw,nyiso_utilization
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Moses_South,604.060378155615,713.559374921485,-109.49899676587,713.559374921485,0.0235483264380314,4.90751479260496,1120.63977933465,0.636742857142857
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Central_East,2328.5114511566,919.824688464481,1408.68676269212,919.824688464481,2.34540984134824,4.90751479260496,1200.68547785855,0.766082962962963
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Total_East_proxy,2760.05228917238,1064.86749418979,1695.18479498259,1064.86749418979,2.53421207786061,4.90751479260496,2685.97788380209,0.396454304635762
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,UPNY_ConEd,2008.37549667077,1887.02575769531,121.349738975462,1887.02575769531,0.00413544297373718,4.90751479260496,2714.43857661059,0.695180865006553
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Dunwoodie_South,999.075269863635,1013.73430197272,-14.6590321090855,1013.73430197272,0.000209103984341638,4.90751479260496,1636.48983648869,0.61945652173913
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Moses_South,656.296429455641,-55.8104160947309,712.106845550372,100,50.7096159479701,52.6309529809613,741.605063961212,-0.07525625
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Central_East,2322.97774962166,1002.33486432337,1320.64288529829,1002.33486432337,1.73598160360204,52.6309529809613,1522.60789694536,0.658301369863014
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Total_East_proxy,2664.9986943484,1885.69773626077,779.300958087632,1885.69773626077,0.170791503194234,52.6309529809613,3499.44889556697,0.538855629139073
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,UPNY_ConEd,1973.23135503771,2186.02924703846,-212.797892000746,2186.02924703846,0.00947594882696439,52.6309529809613,3286.23743967812,0.665207334273625
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Dunwoodie_South,1195.94715213979,1287.80646363194,-91.8593114921468,1287.80646363194,0.00508797736797864,52.6309529809613,2132.11455888848,0.604004347826087
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Moses_South,402.894240246966,-18.0281665798467,420.922406826812,100,17.7175672568876,18.2633124323815,1577.09494410906,-0.01143125
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Central_East,2265.29070566229,1604.47725507616,660.813450586135,1604.47725507616,0.169625296055312,18.2633124323815,2577.56454927825,0.622478011472275
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Total_East_proxy,2816.37665580112,3161.41495443083,-345.038298629711,3161.41495443083,0.0119116411311536,18.2633124323815,7441.91676751464,0.424811920529801
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,UPNY_ConEd,2394.32585961497,3945.61555854566,-1551.28969893069,3945.61555854566,0.154581060481481,18.2633124323815,5647.97126859058,0.698589877835951
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Dunwoodie_South,1720.6550840421,3173.76557921188,-1453.11049516978,3173.76557921188,0.209627177825907,18.2633124323815,4534.14796431356,0.699969565217391
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Moses_South,589.781496824526,777.591851487167,-187.810354662641,777.591851487167,0.0583358679401815,5.31969732684558,1129.13180450036,0.688663492063492
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Central_East,2331.26004538511,889.243271952491,1442.01677343262,889.243271952491,2.62965907901691,5.31969732684558,1209.78407625038,0.735042962962963
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_P_ONLY_S1_BOUNDARY,3000,Total_East_proxy,2781.36297838777,1061.49143259267,1719.8715457951,1061.49143259267,2.62517969394835,5.31969732684558,2706.33178538974,0.392225165562914
