branch_index,burden_rank,from_bus,to_bus,branch_classification,baseline_active_loss_mw,baseline_series_q_mvar,baseline_charging_mvar,normalized_complex_burden_score,selected_for_sparse_fit
4,1,37,43,aggregate_equivalent,81.1139778125511,1173.03290990458,138.991749846091,1.76428795006341,1
78,2,9003,80,aggregate_equivalent,67.4456378701164,1124.09396450194,0,1.67425167109385,1
76,3,78,82,aggregate_equivalent,39.4276540790847,657.127567984744,0,0.978741069308885,1
6,4,39,73,aggregate_equivalent,61.1906209121527,589.362296153892,35.09,0.919074190277289,1
7,5,39,73,aggregate_equivalent,61.1906209121527,589.362296153892,35.09,0.919074190277289,1
2,6,37,39,aggregate_equivalent,48.765123197904,451.077389580612,56.8536017992224,0.706513889149657,1
79,7,81,80,aggregate_equivalent,15.9674620388491,266.124367314152,0,0.396371816560664,1
14,8,44,45,aggregate_equivalent,0,248.579425772261,0,0.346412104367395,1
22,9,50,51,aggregate_equivalent,1.4210854715202e-14,244.895331917342,0,0.341278072453834,1
77,10,78,9003,aggregate_equivalent,13.2491708005223,220.819513342039,0,0.32889371431404,1
8,11,40,44,aggregate_equivalent,28.8983062351763,191.451278808043,41.08449252769,0.312968209320668,1
60,12,78,82,aggregate_equivalent,3.4750773389407,214.064764078747,0,0.303865400750446,1
51,13,73,74,aggregate_equivalent,21.3993593819399,190.64883813001,40.5025468489811,0.299869617239127,1
52,14,73,74,aggregate_equivalent,21.3993593819399,190.64883813001,40.5025468489811,0.299869617239127,1
26,15,52,53,aggregate_equivalent,7.20963655509101,199.809927383951,0,0.289966671213602,1
12,16,43,50,aggregate_equivalent,15.4664821665327,165.800688825231,43.4622395529705,0.255763674177653,1
13,17,43,50,aggregate_equivalent,15.4664821665327,165.800688825231,43.4622395529705,0.255763674177653,1
58,18,78,80,aggregate_equivalent,30.546290731332,131.688453375076,56.1597890184009,0.232317527581816,1
80,19,39,9001,aggregate_equivalent,6.33645089307203,105.607514884534,0,0.15729428665142,1
50,20,71,72,aggregate_equivalent,29.3621270169218,74.7903235336688,11.7542492441554,0.151134343899235,1
25,21,51,72,aggregate_equivalent,17.9361731416365,81.5920033109741,36.3000170076701,0.142358807029259,0
38,22,62,63,aggregate_equivalent,13.3536499378901,83.1238829467113,17.0194836091535,0.137172532964648,0
27,23,53,55,aggregate_equivalent,20.3813107193527,72.6933415656912,36.264282661645,0.133864283180536,0
54,24,74,78,aggregate_equivalent,8.30511275128406,74.7460147615565,37.4044974959179,0.117431855410078,0
55,25,74,78,aggregate_equivalent,8.30511275128406,74.7460147615565,37.4044974959179,0.117431855410078,0
9,26,41,42,aggregate_equivalent,13.6677865082686,67.5796110686613,8.31680629612008,0.116012412811576,0
81,27,9001,73,aggregate_equivalent,4.52603635219432,75.4339392032386,0,0.112353061893871,0
33,28,56,58,aggregate_equivalent,7.43158675599551,55.7369006699663,13.127373110341,0.0895458323817122,0
17,29,45,51,aggregate_equivalent,14.4202954074967,45.1915373431632,8.61146302466277,0.0860153404889322,0
11,30,43,44,aggregate_equivalent,0,48.5990048243293,0,0.0677259732138128,0
75,31,78,79,aggregate_equivalent,2.6015715154467,43.3595252574451,0,0.0645806844557504,0
64,32,54,55,transformer_or_boundary_equivalent,0,42.6903285009911,0,0.0594918364068968,0
5,33,38,69,aggregate_equivalent,2.91668707340926,32.8975169907789,94.6209218009695,0.0505046035933671,0
23,34,50,52,aggregate_equivalent,2.78526418891276,30.6379060780404,152.873495164181,0.0471457226680503,0
63,35,54,52,transformer_or_boundary_equivalent,2.42939441600926,28.3024449465078,0,0.0433225624370055,0
57,36,78,79,aggregate_equivalent,0.557463740050883,28.430650742595,0,0.0405106244540833,0
62,37,49,48,transformer_or_boundary_equivalent,2.58745810348876,25.4765105574278,0,0.039636956265762,0
66,38,58,59,transformer_or_boundary_equivalent,1.77635683940025e-15,24.3480012757629,0,0.0339305730266042,0
72,39,74,78,aggregate_equivalent,1.35715274134175,22.6192123556959,0,0.0336895804810498,0
56,40,76,77,aggregate_equivalent,6.38078027149101,14.463101948713,162.203305760506,0.0303492540459272,0
61,41,40,41,transformer_or_boundary_equivalent,0,19.9250340182571,0,0.0277668714633687,0
3,42,37,40,aggregate_equivalent,0.518954039107255,18.163391368754,6.77414101503762,0.0261409865959687,0
53,43,74,77,aggregate_equivalent,1.18086888108663,16.9257872955751,9.43418436113032,0.0254737791906477,0
39,44,63,64,aggregate_equivalent,0,17.5397618590336,0,0.0244428347069134,0
40,45,63,67,aggregate_equivalent,1.88002246064527,14.5701740700008,20.346797837883,0.0233080437409716,0
30,46,54,62,aggregate_equivalent,1.64328938416872,14.1733709384552,15.1680356775872,0.0223768665757037,0
10,47,41,45,aggregate_equivalent,3.84880697332963,11.1149180763295,13.7091208668732,0.0216382480407875,0
15,48,44,48,aggregate_equivalent,1.77596235259926,12.4317364681948,84.8764826805856,0.0201617407961253,0
48,49,69,71,aggregate_equivalent,0,12.0556552831187,0,0.0168003643229072,0
19,50,46,47,aggregate_equivalent,3.9028420711931,7.47221345908805,5.80344088104382,0.0166482214204258,0
24,51,51,53,aggregate_equivalent,2.94620598140474,7.54354398793323,26.5938054805356,0.0152193009699826,0
16,52,45,46,aggregate_equivalent,2.58360759680876,7.42238036718826,16.4339281203146,0.0144711632062289,0
35,53,58,60,aggregate_equivalent,0.925978525004426,9.10104607432922,32.2217330337643,0.0141622639183596,0
37,54,59,61,aggregate_equivalent,2.98916585160791,6.28603995264604,7.15636057665594,0.0135355175455794,0
29,55,54,56,aggregate_equivalent,4.88891464094098,3.91113171275279,8.33823631137803,0.0132609672565713,0
65,56,56,57,transformer_or_boundary_equivalent,4.44089209850063e-16,8.15014325918385,0,0.011357771338229,0
28,57,53,65,aggregate_equivalent,2.2093909500584,5.05003645727634,5.95392879520666,0.0105672933356398,0
36,58,58,62,aggregate_equivalent,0.645155477504747,5.80639929754272,3.50697874432025,0.00912230899449783,0
1,59,37,38,aggregate_equivalent,0.561607207996255,5.72137343146184,29.611250937095,0.00887034281203979,0
73,60,77,78,aggregate_equivalent,0.336494108770846,5.60823514618077,0,0.00835303574425,0
74,61,78,81,aggregate_equivalent,0.239272541834946,3.98787569724911,0,0.00593963472901676,0
32,62,55,59,aggregate_equivalent,0.502533703752584,2.56606272478663,4.77090725582526,0.00437882970061742,0
44,63,66,69,aggregate_equivalent,0.159404618311315,2.42649252318335,31.8348072885382,0.00363614533515138,0
18,64,45,71,aggregate_equivalent,0.602521913969385,1.91836645938282,12.5022868269125,0.00363596293471823,0
20,65,46,49,aggregate_equivalent,0.539829971229295,1.90257148396666,6.64857515292383,0.00351379476473752,0
41,66,64,65,aggregate_equivalent,0.671155188457198,1.53406900218788,5.75214438611052,0.00321006734909289,0
43,67,66,67,aggregate_equivalent,-1.11022302462516e-16,2.27321131801676,0,0.00316787245726206,0
34,68,57,59,aggregate_equivalent,0.371132178290212,1.80264200883817,3.57818003427912,0.00310502430128726,0
59,69,78,81,aggregate_equivalent,0.031513224627702,1.73952999944915,0,0.00247449735118002,0
42,70,64,68,aggregate_equivalent,0.344177443433191,0.804706370780033,14.7673573904004,0.00167127109361438,0
47,71,68,71,aggregate_equivalent,0.314846625372598,0.535998245023342,8.00046148286835,0.00124994930370221,0
45,72,67,68,aggregate_equivalent,5.55111512312578e-17,0.888029437859305,0,0.00123752859012101,0
21,73,47,48,aggregate_equivalent,0,0.688668973087312,0,0.000959706409484875,0
31,74,55,57,aggregate_equivalent,0.0636056908800712,0.343814545297682,2.42000125879694,0.000580745250386018,0
68,75,75,76,transformer_or_boundary_equivalent,0.00298770906866792,0.221090471081426,0,0.000312877573911338,0
46,76,67,70,aggregate_equivalent,0.018511919910927,0.16369826321234,13.8210256250834,0.000257699202388157,0
49,77,70,71,aggregate_equivalent,0,0.169616892415818,0,0.000236372517377415,0
67,78,60,61,transformer_or_boundary_equivalent,0,0.00495521592335754,0,6.9054257820104e-06,0
69,NaN,38,39,physical_circuit,13.6290927191341,207.765634810007,62.45294,-Inf,0
70,NaN,73,9002,physical_circuit,9.42094586481948,143.872963392367,38.1772010801869,-Inf,0
71,NaN,9002,74,physical_circuit,4.3022234860723,65.4635627745596,17.1192798187895,-Inf,0
82,NaN,73,9002,physical_circuit,9.42094586481948,143.872963392367,38.1783951998917,-Inf,0
83,NaN,9002,74,physical_circuit,4.3022234860723,65.4635627745596,17.0922462838886,-Inf,0
