scenario_id,timestamp,nyiso_zone_letter,nyiso_zone_name,nyiso_load_mw,target_load_mw,target_load_share,source,status,note
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,A,WEST,2366.9,848.917621255557,NaN,P58C_scaled,ready,NYISO load 2366.9 MW scaled by gamma 0.35866223
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,B,GENESE,1841.1,660.333023149945,NaN,P58C_scaled,ready,NYISO load 1841.1 MW scaled by gamma 0.35866223
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,C,CENTRL,2591.6,929.509023298788,NaN,P58C_scaled,ready,NYISO load 2591.6 MW scaled by gamma 0.35866223
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,D,NORTH,603.1,216.309188127604,NaN,P58C_scaled,ready,NYISO load 603.1 MW scaled by gamma 0.35866223
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,E,MHK VL,1304.9,468.018337900366,NaN,P58C_scaled,ready,NYISO load 1304.9 MW scaled by gamma 0.35866223
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,F,CAPITL,2224.3,797.77238791615,NaN,P58C_scaled,ready,NYISO load 2224.3 MW scaled by gamma 0.35866223
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,G,HUD VL,2180.2,781.955383776824,NaN,P58C_scaled,ready,NYISO load 2180.2 MW scaled by gamma 0.35866223
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,H,MILLWD,652.3,233.955369616376,NaN,P58C_scaled,ready,NYISO load 652.3 MW scaled by gamma 0.35866223
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,I,DUNWOD,1312.7,470.815903258342,NaN,P58C_scaled,ready,NYISO load 1312.7 MW scaled by gamma 0.35866223
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,J,N.Y.C.,10014.7,3591.89458852847,NaN,P58C_scaled,ready,NYISO load 10014.7 MW scaled by gamma 0.35866223
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,K,LONGIL,5305.1,1902.73897187158,NaN,P58C_scaled,ready,NYISO load 5305.1 MW scaled by gamma 0.35866223
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,A,WEST,2107.3,929.093311999568,NaN,P58C_scaled,ready,NYISO load 2107.3 MW scaled by gamma 0.44089276
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,B,GENESE,1566.1,690.48215058251,NaN,P58C_scaled,ready,NYISO load 1566.1 MW scaled by gamma 0.44089276
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,C,CENTRL,2668.4,1176.47823932978,NaN,P58C_scaled,ready,NYISO load 2668.4 MW scaled by gamma 0.44089276
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,D,NORTH,747.1,329.390980588847,NaN,P58C_scaled,ready,NYISO load 747.1 MW scaled by gamma 0.44089276
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,E,MHK VL,1416.3,624.436415216147,NaN,P58C_scaled,ready,NYISO load 1416.3 MW scaled by gamma 0.44089276
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,F,CAPITL,2065.8,910.796262482184,NaN,P58C_scaled,ready,NYISO load 2065.8 MW scaled by gamma 0.44089276
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,G,HUD VL,1617.7,713.232216970389,NaN,P58C_scaled,ready,NYISO load 1617.7 MW scaled by gamma 0.44089276
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,H,MILLWD,533.8,235.348554997091,NaN,P58C_scaled,ready,NYISO load 533.8 MW scaled by gamma 0.44089276
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,I,DUNWOD,941,414.880086647176,NaN,P58C_scaled,ready,NYISO load 941 MW scaled by gamma 0.44089276
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,J,N.Y.C.,7673.9,3383.36694678189,NaN,P58C_scaled,ready,NYISO load 7673.9 MW scaled by gamma 0.44089276
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,K,LONGIL,3390.2,1494.71463310442,NaN,P58C_scaled,ready,NYISO load 3390.2 MW scaled by gamma 0.44089276
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,A,WEST,1299.6,1185.54148575366,NaN,P58C_scaled,ready,NYISO load 1299.6 MW scaled by gamma 0.91223568
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,B,GENESE,777.3,709.080791686917,NaN,P58C_scaled,ready,NYISO load 777.3 MW scaled by gamma 0.91223568
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,C,CENTRL,1261.8,1151.05897716525,NaN,P58C_scaled,ready,NYISO load 1261.8 MW scaled by gamma 0.91223568
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,D,NORTH,457.9,417.712716471683,NaN,P58C_scaled,ready,NYISO load 457.9 MW scaled by gamma 0.91223568
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,E,MHK VL,507.7,463.142053183388,NaN,P58C_scaled,ready,NYISO load 507.7 MW scaled by gamma 0.91223568
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,F,CAPITL,944.2,861.332926168515,NaN,P58C_scaled,ready,NYISO load 944.2 MW scaled by gamma 0.91223568
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,G,HUD VL,708.1,645.954082842539,NaN,P58C_scaled,ready,NYISO load 708.1 MW scaled by gamma 0.91223568
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,H,MILLWD,179.5,163.746304011066,NaN,P58C_scaled,ready,NYISO load 179.5 MW scaled by gamma 0.91223568
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,I,DUNWOD,437.4,399.011885094375,NaN,P58C_scaled,ready,NYISO load 437.4 MW scaled by gamma 0.91223568
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,J,N.Y.C.,3908.2,3565.19947262422,NaN,P58C_scaled,ready,NYISO load 3908.2 MW scaled by gamma 0.91223568
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,K,LONGIL,1469.4,1340.43910369839,NaN,P58C_scaled,ready,NYISO load 1469.4 MW scaled by gamma 0.91223568
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,A,WEST,2275.6,846.157749701454,NaN,P58C_scaled,ready,NYISO load 2275.6 MW scaled by gamma 0.3718394
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,B,GENESE,1552.6,577.317859987027,NaN,P58C_scaled,ready,NYISO load 1552.6 MW scaled by gamma 0.3718394
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,C,CENTRL,2289.8,851.437869250479,NaN,P58C_scaled,ready,NYISO load 2289.8 MW scaled by gamma 0.3718394
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,D,NORTH,571.2,212.394668056544,NaN,P58C_scaled,ready,NYISO load 571.2 MW scaled by gamma 0.3718394
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,E,MHK VL,1088.6,404.784376131571,NaN,P58C_scaled,ready,NYISO load 1088.6 MW scaled by gamma 0.3718394
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,F,CAPITL,1889,702.404635782232,NaN,P58C_scaled,ready,NYISO load 1889 MW scaled by gamma 0.3718394
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,G,HUD VL,1951.2,725.533046764579,NaN,P58C_scaled,ready,NYISO load 1951.2 MW scaled by gamma 0.3718394
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,H,MILLWD,573.4,213.212714747238,NaN,P58C_scaled,ready,NYISO load 573.4 MW scaled by gamma 0.3718394
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,I,DUNWOD,1311.8,487.778931296523,NaN,P58C_scaled,ready,NYISO load 1311.8 MW scaled by gamma 0.3718394
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,J,N.Y.C.,10771.1,4005.11941369719,NaN,P58C_scaled,ready,NYISO load 10771.1 MW scaled by gamma 0.3718394
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,K,LONGIL,5045.4,1876.07853328516,NaN,P58C_scaled,ready,NYISO load 5045.4 MW scaled by gamma 0.3718394
S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,A,WEST,2004.8,898.029067096454,NaN,P58C_scaled,ready,NYISO load 2004.8 MW scaled by gamma 0.44793948
S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,B,GENESE,1416.4,634.461477771058,NaN,P58C_scaled,ready,NYISO load 1416.4 MW scaled by gamma 0.44793948
S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,C,CENTRL,2152.9,964.368903906602,NaN,P58C_scaled,ready,NYISO load 2152.9 MW scaled by gamma 0.44793948
S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,D,NORTH,562.7,252.055544720259,NaN,P58C_scaled,ready,NYISO load 562.7 MW scaled by gamma 0.44793948
S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,E,MHK VL,1120.8,502.050567838042,NaN,P58C_scaled,ready,NYISO load 1120.8 MW scaled by gamma 0.44793948
