transfer,source_zone,sink_zone,cut,transfer_mw,cut_flow_mw
H_to_J,H,J,I-K,1000,91.1837586087039
H_to_J,H,J,J-K,1000,-91.1837586082409
K_to_J,K,J,A-B,1000,0.000209929063928353
K_to_J,K,J,A-C,1000,-0.000209929064146255
K_to_J,K,J,B-C,1000,0.000209929063926492
K_to_J,K,J,C-E,1000,-1.44840910099031e-11
K_to_J,K,J,D-E,1000,-0.000372945692568355
K_to_J,K,J,D-F,1000,0.000372945699282534
K_to_J,K,J,E-F,1000,0.0310609645214085
K_to_J,K,J,E-G,1000,-0.0314339098867901
K_to_J,K,J,F-G,1000,0.0314339102920705
K_to_J,K,J,G-H,1000,4.33294955470842e-10
K_to_J,K,J,H-I,1000,4.34837055252046e-10
K_to_J,K,J,I-J,1000,722.030232759249
K_to_J,K,J,I-K,1000,-722.030232758821
K_to_J,K,J,J-K,1000,-277.969767240829
