interface_name,component_name,model_branch_row,operator_sign,source_branch_row,source_circuit_id,is_exact_public_operator,operator_status,notes
Dunwoodie_I_J_source_component,PERFORM_ROW_1236,283,-1,1236,PERFORM_ROW_1236,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
Dunwoodie_I_J_source_component,PERFORM_ROW_1237,284,-1,1237,PERFORM_ROW_1237,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
Dunwoodie_I_J_source_component,PERFORM_ROW_1248,292,-1,1248,PERFORM_ROW_1248,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
Dunwoodie_I_J_source_component,PERFORM_ROW_1249,293,-1,1249,PERFORM_ROW_1249,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
Dunwoodie_I_J_source_component,PERFORM_ROW_1250,294,-1,1250,PERFORM_ROW_1250,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
Dunwoodie_I_J_source_component,PERFORM_ROW_1262,300,1,1262,PERFORM_ROW_1262,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
Dunwoodie_I_J_source_component,PERFORM_ROW_1263,301,1,1263,PERFORM_ROW_1263,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
Dunwoodie_I_J_source_component,PERFORM_ROW_1264,302,1,1264,PERFORM_ROW_1264,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
Dunwoodie_K_J_source_component,PERFORM_ROW_1260,299,-1,1260,PERFORM_ROW_1260,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
Dunwoodie_K_J_source_component,PERFORM_ROW_1336,310,1,1336,PERFORM_ROW_1336,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
Dunwoodie_K_J_source_component,PERFORM_ROW_1337,311,1,1337,PERFORM_ROW_1337,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
H_I_northern_approach,PERFORM_ROW_1111,267,-1,1111,PERFORM_ROW_1111,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
H_I_northern_approach,PERFORM_ROW_1112,268,-1,1112,PERFORM_ROW_1112,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
H_I_northern_approach,PERFORM_ROW_1113,269,-1,1113,PERFORM_ROW_1113,0,partial_source_zone_cut_not_public_operator,Use source-side to-end power for received imports; signed from-end convention includes directional losses.
