"source_role","relative_path","sha256_lf_normalized","model_vintage","parameter_scale","source_date_note"
"canonical_matpower","PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m","f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca","PERFORM_NY_2019_v23","actual_mw","RAW export September 19 2022 of the 2019 model; not a contemporary observation"
"raw_device_identity","PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW","2fd4800ea419ff531a6ac40e954f6b2606a4ac53bf8563f11556344aa527a80e","PERFORM_NY_2019_v23","actual_mw","RAW export September 19 2022 of the 2019 model; not a contemporary observation"
"generator_identity_metadata","PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/GenCostTable4MATPOWERv23_ShuntsNotShown.csv","21cd195a1b61fbef6beb8cc79aa5a32133a434c1b3f4edfc1e3cf0ea164b62a3","PERFORM_NY_2019_v23","actual_mw","RAW export September 19 2022 of the 2019 model; not a contemporary observation"
"alternative_shunts_as_gen","PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_on_peak_v23_shunts_as_gen.m","84e1057aa0db48460558e1a14aa517c22ca57f10b98071b80284736b8530c699","PERFORM_NY_2019_v23","actual_mw","RAW export September 19 2022 of the 2019 model; not a contemporary observation"
