case_id,check_group,scenario_id,zone_j_pmax_mw,voltage_penalty_rho,zone,load_mw,local_pg_excluding_boundary_mw,boundary_equiv_pg_mw,s4_equiv_pg_mw,zone_j_equiv_pg_mw,local_pmax_excluding_boundary_mw,local_net_injection_mw
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3000,0,C,1131.40543191626,2511.2,326.342990880306,0,0,2511.2,1379.79456808374
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3000,0,D,257.652139346724,984.9807077,-164.079120401418,0,0,984.9807077,727.328568353276
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3000,0,E,620.716578688692,0,0,0,0,600,-620.716578688692
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3000,0,F,871.041660003481,568.003995,38.1343323888855,0,0,2168.003995,-303.03766500348
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3000,0,G,763.133766267374,0,220.372494023481,0,0,2200,-763.133766267374
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3000,0,H,252.133160811041,0,0,0,0,0,-252.133160811041
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3000,0,I,450.569665360907,0,0,0,0,565.099092,-450.569665360907
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3000,0,J,3459.55499275624,3495.84372364319,163.171495440153,0,2298.76626364319,4197.07746,36.2887308869476
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3000,0,K,1471.97889003126,584.929342,0,0,0,2384.929342,-887.049548031261
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3000,0,A,1244.86540457269,1292.8,406.014236517478,0,0,1292.8,47.9345954273099
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3000,0,B,505.285153437801,288.8,0,0,0,288.8,-216.485153437801
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3000,0,C,901.170089087343,2511.2,-39.489443084831,0,0,2511.2,1610.02991091266
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3000,0,D,525.499765020787,984.9807077,-482.984326633401,0,0,984.9807077,459.480942679213
