interface_name,circuit_count,source_snapshot_mw,reduced_snapshot_mw
Central_East,5,1622.1675675056,1622.20638614892
Dunwoodie_South,12,1420.64471284206,1420.64472062354
Dysinger_East,4,734.344929111144,734.330319762638
Moses_South,7,1237.08231712572,1237.07362438724
Total_East_proxy,8,2670.43307063208,2670.48131814574
UPNY_ConEd,9,4841.7540836615,4841.7638771162
West_Central,6,36.5754089860226,36.5543133781536
