reduced_control_group_id,retained_device_bus,retained_pilot_bus,reduced_device_type,source_record_count,source_pg_mw,source_qg_mvar,source_pmin_mw,source_pmax_mw,source_qmin_mvar,source_qmax_mvar,source_vs_pu,mapping_confidence,source_bus_ids
BUS_37__PILOT_37__AGGREGATE_PV_GENERATOR,37,37,aggregate_pv_generator,58,713.997,69.5150085949469,253.7,723.3,-431.2,514.05,1.02,medium,6|31|32|84|194|463|469|474|563|632|682|683|685|693|705|706|811|867|870|1213
BUS_43__PILOT_43__AGGREGATE_PV_GENERATOR,43,43,aggregate_pv_generator,32,681.992,-73.3594972961444,70.1,869.7,-478.9,607.8,1.02,low,15|21|60|80|83|368|378|395|405|408|526|573|1039|1052|1053|1194|1223|1230
BUS_9003__PILOT_9003__AGGREGATE_PV_GENERATOR,9003,9003,aggregate_pv_generator,51,2951.058,-936.267919473466,1440.3,3257.1,-1916.05,2284.725,1.01142509417905,medium,17|18|552|554|564|569|577|589|609|614|619|735|737|738|994|1146|1147|1164|1169|1170
BUS_80__PILOT_80__AGGREGATE_PV_GENERATOR,80,80,aggregate_pv_generator,4,1174.447,50.9676594974683,120.6,1177,-647.5,765.2,1.02,high,19
BUS_9003__PILOT_9003__BOUNDARY_IMPORT_EQUIVALENT,9003,9003,boundary_import_equivalent,3,515,267.935617903211,515,515,-29700,29700,1.02,medium,19|580|1148
BUS_44__PILOT_44__AGGREGATE_PV_GENERATOR,44,44,aggregate_pv_generator,25,970.645,-145.505083008082,73.1,1135.5,-634.84,796.95,1.02,low,21|82|83|378|381|395|399|406|407|409|768|1052|1194|1230|1287
BUS_72__PILOT_72__AGGREGATE_PV_GENERATOR,72,72,aggregate_pv_generator,11,191.349,9.41038806653451,16.6,193,-106.2,134.4,1.02,medium,24|52|339|575|1173|1181|1250|1460
BUS_68__PILOT_68__AGGREGATE_PV_GENERATOR,68,68,aggregate_pv_generator,13,269.493,55.8192363717946,55.3,271.7,-167.92,192.75,1.02,medium,24|27|30|53|575|1172|1181|1460
BUS_79__PILOT_79__AGGREGATE_PV_GENERATOR,79,79,aggregate_pv_generator,28,5821.961,923.579946392965,1815.2,5831.2,-3513.15,4183.525,1.02,high,26|556|557|1133|1457
BUS_65__PILOT_65__AGGREGATE_PV_GENERATOR,65,65,aggregate_pv_generator,1,111.29,-8.1883265868511,32,112,-61.6,72.8,1.02,high,29
BUS_56__PILOT_56__AGGREGATE_PV_GENERATOR,56,56,aggregate_pv_generator,8,349.273,22.9557423576272,142.7,351.5,-220.84,255.25,1.02,medium,33|41|69|284|317|1324|1445
BUS_50__PILOT_50__AGGREGATE_PV_GENERATOR,50,50,aggregate_pv_generator,5,3031.823,-149.978273877328,1919.5,3044.6,-1846.05,2188.425,1.02,high,34|358|1240
BUS_47__PILOT_47__AGGREGATE_PV_GENERATOR,47,47,aggregate_pv_generator,10,517.729,57.2922335513307,1.5,521.4,-287,363.8,1.02,low,35|562|759|761
BUS_57__PILOT_57__AGGREGATE_PV_GENERATOR,57,57,aggregate_pv_generator,1,190.435,23.3480043298416,104,221.3,-154.91,165.975,1.02,medium,37
BUS_61__PILOT_61__AGGREGATE_PV_GENERATOR,61,61,aggregate_pv_generator,4,321.052,-54.7231028816037,63,323.1,-191.32,230.75,1.02,medium,38|161|1296|1330
BUS_60__PILOT_60__AGGREGATE_PV_GENERATOR,60,60,aggregate_pv_generator,2,172.202,-18.3684608212003,9,173.3,-95.3,121.3,1.02,medium,39|69
BUS_42__PILOT_42__AGGREGATE_PV_GENERATOR,42,42,aggregate_pv_generator,2,1362.522,-50.3075214572349,981.4,1546.8,-1082.76,1160.1,1.02,medium,63|127
BUS_81__PILOT_81__AGGREGATE_PV_GENERATOR,81,81,aggregate_pv_generator,33,1362.313,433.982729474675,701.7,1554.8,-898.04,1102.75,1.01874329639792,medium,79|570|595|623|1129|1130|1131|1133|1135
BUS_53__PILOT_53__AGGREGATE_PV_GENERATOR,53,53,aggregate_pv_generator,6,719.814,-3.94216156328928,498.1,725,-408.7,510.95,1.02,medium,95|128|250
BUS_71__PILOT_71__AGGREGATE_PV_GENERATOR,71,71,aggregate_pv_generator,1,47.398,-18.2194128280959,42,47.7,-26.2,33.4,1.02,high,116
BUS_56__PILOT_61__AGGREGATE_PV_GENERATOR,56,61,aggregate_pv_generator,1,93.802,-15.9028307501247,0,94.4,-51.9,66.1,1.02,medium,138
BUS_53__PILOT_53__CONTROLLABLE_Q_DEVICE,53,53,controllable_q_device,1,0,44.1251361071974,0,0,0,50,1.01,medium,240
BUS_51__PILOT_51__AGGREGATE_PV_GENERATOR,51,51,aggregate_pv_generator,1,877.703,-37.6197138056707,662,883.3,-485.8,618.3,1.02,high,357
BUS_47__PILOT_47__CONTROLLABLE_Q_DEVICE,47,47,controllable_q_device,1,0,41.1065710608026,0,0,0,100,1.02,medium,485
BUS_37__PILOT_37__CONTROLLABLE_Q_DEVICE,37,37,controllable_q_device,2,0,26.129653051055,0,0,0,150,1.01666666666667,medium,489|1204
BUS_41__PILOT_41__AGGREGATE_PV_GENERATOR,41,41,aggregate_pv_generator,1,338.333,-22.0096052117097,101,338.8,-237.16,254.1,1.02,medium,508
BUS_39__PILOT_39__CONTROLLABLE_Q_DEVICE,39,39,controllable_q_device,3,0,54.1840046370109,0,0,0,250,1.014,medium,512|822|1484
BUS_76__PILOT_76__AGGREGATE_PV_GENERATOR,76,76,aggregate_pv_generator,6,722.954,129.078590536729,122,723.8,-398,506.8,1.02,medium,535|546|638|899
BUS_73__PILOT_73__AGGREGATE_PV_GENERATOR,73,73,aggregate_pv_generator,3,1109.732,-44.8062482915795,666,2012,-1222.2,1384.9,1.02,medium,535|847
BUS_73__PILOT_73__CONTROLLABLE_Q_DEVICE,73,73,controllable_q_device,1,0,1.52937036050687,0,0,0,30,1.03,medium,539
BUS_75__PILOT_75__AGGREGATE_PV_GENERATOR,75,75,aggregate_pv_generator,1,59.322,41.800001,7,59.7,-32.8,41.8,1.02,low,565
BUS_81__PILOT_81__CONTROLLABLE_Q_DEVICE,81,81,controllable_q_device,2,0,0,0,0,0,550,1.01227272727273,medium,570|623
BUS_82__PILOT_82__AGGREGATE_PV_GENERATOR,82,82,aggregate_pv_generator,19,1057.226,90.1186933932475,495.5,1247.5,-686.1,873.3,1.02,high,571|1129
BUS_81__PILOT_81__BOUNDARY_IMPORT_EQUIVALENT,81,81,boundary_import_equivalent,4,579.393,586.811394134371,579.393,579.393,-39600,39600,1.015,medium,571|1132|1136|1528
BUS_9003__PILOT_9003__CONTROLLABLE_Q_DEVICE,9003,9003,controllable_q_device,23,0,891.475415928853,0,0,-600,6205,1.01788023512123,medium,580|587|589|608|609|621|733|736|737|738|739|740|840|842|846|999|1138|1160|1161|1164|1489|1496|1539
BUS_76__PILOT_76__BOUNDARY_IMPORT_EQUIVALENT,76,76,boundary_import_equivalent,2,-640.758,92.5550919382995,-640.758,-640.758,-19800,19800,1.015,medium,651|773
BUS_48__PILOT_48__AGGREGATE_PV_GENERATOR,48,48,aggregate_pv_generator,1,105.825,-2.52852975703192,0,106.5,-58.6,74.6,1.02,low,759
BUS_37__PILOT_37__BOUNDARY_IMPORT_EQUIVALENT,37,37,boundary_import_equivalent,1,-836,57.9630455374444,-836,-836,-9900,9900,1.02,medium,799
BUS_39__PILOT_39__AGGREGATE_PV_GENERATOR,39,39,aggregate_pv_generator,5,1264.526,350.472564228864,856,1264.8,-878.92,946.4,1.02,medium,817|821|828
BUS_76__PILOT_76__CONTROLLABLE_Q_DEVICE,76,76,controllable_q_device,1,0,23.9603685756948,0,0,0,100,1.01,medium,861
BUS_38__PILOT_38__AGGREGATE_PV_GENERATOR,38,38,aggregate_pv_generator,4,980.22,-67.9800052923028,4,1000,-550,700,1.02,high,1227
BUS_43__PILOT_43__BOUNDARY_IMPORT_EQUIVALENT,43,43,boundary_import_equivalent,3,949.664,-690.381113752223,899,1401,-29700,29700,1.01666666666667,medium,1231|1263|1546
BUS_56__PILOT_56__BOUNDARY_IMPORT_EQUIVALENT,56,56,boundary_import_equivalent,2,725,-69.957884491536,725,725,-19800,19800,1.02,medium,1313|1570
BUS_54__PILOT_54__AGGREGATE_PV_GENERATOR,54,54,aggregate_pv_generator,15,902.04,-98.7394017408228,15,1775.1,-976.2,1242.9,1.02,high,1427|1428
BUS_55__PILOT_55__AGGREGATE_PV_GENERATOR,55,55,aggregate_pv_generator,10,611.698,-52.6578870910319,10,894,-491.6,626,1.02,high,1427|1428
