scenario_id,variant_id,allocation_mode,tie_mode,classic_objective_term,interface_name,lite_flow_mw,target_flow_mw,target_limit_mw,residual_mw,scale_mw,scale_source,objective_term
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,s4,current,0.0436409891347928,Moses_South,564.493782952346,713.559374921485,1120.63977933465,-149.065591969139,1124.88579191751,fixed_interface_scale,0.0175605435899921
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,s4,current,0.000487389952658023,Central_East,940.131575275615,919.824688464481,1200.68547785855,20.3068868111344,1392.92634591109,fixed_interface_scale,0.000212534966414651
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,s4,current,0.238572743086946,Total_East_proxy,1584.99040232946,1064.86749418979,2685.97788380209,520.12290813967,2905.13643967645,fixed_interface_scale,0.0320537537806695
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,s4,current,0.0236355588824104,UPNY_ConEd,2177.13446660233,1887.02575769531,2714.43857661059,290.108708907022,2999.1759695476,fixed_interface_scale,0.00935659081387742
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,s4,current,0.106983939895752,Dunwoodie_South,1345.31056750187,1013.73430197272,1636.48983648869,331.576265529153,1935.84206726617,fixed_interface_scale,0.0293377649958424
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,s4,perform_rx,0.0422833271057562,Moses_South,566.830802271724,713.559374921485,1120.63977933465,-146.728572649761,1124.88579191751,fixed_interface_scale,0.0170142387579056
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,s4,perform_rx,0.0027221239723038,Central_East,967.815601453405,919.824688464481,1200.68547785855,47.9909129889243,1392.92634591109,fixed_interface_scale,0.00118703006468425
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,s4,perform_rx,0.281647472132119,Total_East_proxy,1629.99767174248,1064.86749418979,2685.97788380209,565.130177552694,2905.13643967645,fixed_interface_scale,0.0378411154931508
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,s4,perform_rx,0.0258979247281414,UPNY_ConEd,2190.70164590326,1887.02575769531,2714.43857661059,303.675888207948,2999.1759695476,fixed_interface_scale,0.0102521918696895
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,s4,perform_rx,0.124052631670604,Dunwoodie_South,1370.78273630146,1013.73430197272,1636.48983648869,357.04843432874,1935.84206726617,fixed_interface_scale,0.0340184420074109
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,s4,perform_rxb,0.0422482480947934,Moses_South,566.891679235936,713.559374921485,1120.63977933465,-146.667695685549,1124.88579191751,fixed_interface_scale,0.0170001234384932
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,s4,perform_rxb,0.00275803308557489,Central_East,968.131102332293,919.824688464481,1200.68547785855,48.3064138678116,1392.92634591109,fixed_interface_scale,0.00120268886548929
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,s4,perform_rxb,0.283099626500078,Total_East_proxy,1631.45268420273,1064.86749418979,2685.97788380209,566.585190012937,2905.13643967645,fixed_interface_scale,0.0380362215977283
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,s4,perform_rxb,0.0260419807278116,UPNY_ConEd,2191.54506614797,1887.02575769531,2714.43857661059,304.519308452664,2999.1759695476,fixed_interface_scale,0.0103092192092969
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,s4,perform_rxb,0.124703836110615,Dunwoodie_South,1371.71865834998,1013.73430197272,1636.48983648869,357.984356377264,1935.84206726617,fixed_interface_scale,0.0341970191176194
