candidate_id,scenario_id,is_train,pf_success,interface_objective,max_abs_interface_residual_mw,min_voltage_pu,max_voltage_pu,voltage_violation_count,branch_overload_count,max_branch_overload_mva,generator_p_violation_count,max_generator_p_violation_mw,generator_q_violation_count,max_generator_q_violation_mvar,max_external_schedule_error_mw,diagnostic
CURRENT,S1_2019_SUMMER_PEAK_PUBLIC,1,1,0.03545942827968,251.913675784079,0.952721175,1.10778019812344,3,1,10.0485851549346,0,0,0,0,1.4210854715202e-14,
CURRENT,S2_2019_WINTER_PEAK_PUBLIC,1,1,0.171552294828534,502.420030152369,0.952721175,1.1085078302889,3,1,41.6677063658368,0,0,0,0,0,
CURRENT,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,0,1,0.171247390832134,890.078243142616,0.941945415154406,1.1,0,1,341.175668823671,0,0,1,253.818248168551,2.8421709430404e-14,
CURRENT,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,1,1,0.0150113664327564,169.451956566265,0.952721175,1.10893337740963,4,1,75.3008976799575,0,0,0,0,0,
CURRENT,S5_2019_HIGH_TOTAL_EAST_PUBLIC,1,1,0.0783188478453256,405.651390689195,0.951747392069481,1.10823132529433,3,1,29.3037858002544,0,0,0,0,0,
CURRENT,S6_2019_LOW_TOTAL_EAST_PUBLIC,0,1,0.0275468675117804,237.827245653516,0.952721175,1.10121055928984,2,1,95.5161821169884,0,0,0,0,0,
PERF_GL1_PV1_WM1_B1,S1_2019_SUMMER_PEAK_PUBLIC,1,1,0.034821284794627,246.635365041909,0.952721175,1.10784704396154,3,1,10.0470084097722,0,0,0,0,1.4210854715202e-14,
PERF_GL1_PV1_WM1_B1,S2_2019_WINTER_PEAK_PUBLIC,1,1,0.170651155546219,502.399806829032,0.952721175,1.10915413825742,3,1,41.6565266261175,0,0,0,0,0,
PERF_GL1_PV1_WM1_B1,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,0,1,0.167192454395151,888.552812497361,0.952721175,1.1,0,1,341.033428002839,0,0,1,253.459333590476,2.8421709430404e-14,
PERF_GL1_PV1_WM1_B1,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,1,1,0.014799639183695,166.689432473784,0.952721175,1.10860257899056,4,1,75.310598412795,0,0,0,0,0,
PERF_GL1_PV1_WM1_B1,S5_2019_HIGH_TOTAL_EAST_PUBLIC,1,1,0.0755123066453149,404.452070737109,0.952721175,1.11002238077969,3,1,29.288253163471,0,0,0,0,0,
PERF_GL1_PV1_WM1_B1,S6_2019_LOW_TOTAL_EAST_PUBLIC,0,1,0.0266349997321406,229.682688952863,0.952721175,1.10115602572726,2,1,95.5236412802449,0,0,0,0,0,
