source_bus,source_bus_name,terminal_role,s13_model_bus,s13_model_bus_row,s12_reduced_bus_row,source_vm_pu,source_va_deg,injection_vm_pu,injection_va_deg,injection_vm_error_pu,injection_va_error_deg,s12_vm_pu,s12_va_deg,s12_vm_error_pu,s12_va_error_deg,zero_injection_vm_pu,zero_injection_va_deg,zero_injection_vm_error_pu,zero_injection_va_error_deg,s13_inherited_vm_pu,s13_inherited_va_deg,s13_inherited_snapshot_role,zero_injection_acceptance_role
1233,EDIC,fixed_boundary,43,43,247,1.01192536588113,100.106380213151,1.01192536588113,100.106380213151,2.22044604925031e-16,0,1.01192465246395,100.106041811013,7.13417174447173e-07,0.000338402137657567,1.01192536588113,100.106380213151,2.22044604925031e-16,0,1.0573451,30.7470796,mapping_only_not_source_operating_comparison,diagnostic_only_not_gating
1519,RAMAPO,fixed_boundary,76,76,301,1.017564223086,71.4001669638126,1.017564223086,71.4001669638126,0,0,1.01756406845485,71.3993029902384,1.54631149440476e-07,0.000863973574183774,1.017564223086,71.4001669638126,0,0,0.972794501,0.262818089,mapping_only_not_source_operating_comparison,diagnostic_only_not_gating
1228,FRASER,interior_pq,1228,144,243,1.02032703201319,88.3779638195113,1.02032703201319,88.3779638195113,2.22044604925031e-16,0,1.02032514877628,88.377226794294,1.88323690908376e-06,0.000737025217290466,1.01728479987085,89.9825649464747,0.00304223214234645,1.60460112696342,1.06613030433633,19.1417546,mapping_only_not_source_operating_comparison,diagnostic_only_not_gating
1222,COOPERS CORNER,interior_pq,1222,145,240,1.01922945844388,81.8465649673449,1.01922945844388,81.8465649673449,0,0,1.01922786445851,81.8457762471318,1.59398536836441e-06,0.000788720213080296,1.01957634806725,83.9768407218312,0.000346889623366264,2.13027575448626,1.06504985052234,12.6056386,mapping_only_not_source_operating_comparison,diagnostic_only_not_gating
1567,MARCY,interior_pq,1567,146,316,1.01062445922574,100.199873399325,1.01062445922574,100.199873399325,0,0,1.01062380158314,100.199569722219,6.57642593049346e-07,0.000303677106387568,1.01217891035817,99.9254436183423,0.00155445113243324,0.27442978098307,1.0559867226636,30.8275496,mapping_only_not_source_operating_comparison,diagnostic_only_not_gating
772,ROCK TAVERN,interior_pq,772,147,168,1.0184516745423,75.450481078454,1.0184516745423,75.450481078454,0,0,1.01845112241369,75.4496251117182,5.52128605946223e-07,0.000855966735770153,1.01728878146842,77.8950320302626,0.0011628930738754,2.44455095180862,0.973672302589243,4.31233808900001,mapping_only_not_source_operating_comparison,diagnostic_only_not_gating
