variant_id,allocation_mode,tie_mode,scenario_count,pf_success_count,sum_classic_interface_objective,sum_fixed_scale_interface_objective,fixed_objective_improvement_pct,mean_max_abs_interface_residual_mw,max_abs_interface_residual_mw,max_voltage_violation_count,max_branch_overload_count,max_branch_overload_mva,max_reference_p_violation_mw,mean_total_abs_bus_redispatch_vs_s4_mw
PERFORM_GSK__current,perform,current,6,6,163.223401327124,3.53393883206264,0.00522955621207463,934.499492386048,1857.69659656781,5,3,938.463654086881,279.528706612292,2659.61503863983
S4_GSK__current,s4,current,6,6,161.565410297838,3.53412365104558,0,938.998066579227,1884.71079387417,2,3,921.189119326086,263.050517687354,0
S4_GSK__perform_rx,s4,perform_rx,6,6,168.678733999729,3.54926763324431,-0.428507423452798,947.834799576449,1930.57835129766,2,3,897.663364156104,256.861377009456,0
S4_GSK__perform_rxb,s4,perform_rxb,6,6,168.804665561431,3.5499168041049,-0.446876075053202,948.118273776792,1932.01269129538,2,3,896.335598473858,255.863670880899,0
PERFORM_GSK__perform_rx,perform,perform_rx,6,6,170.952366844639,3.55444820369072,-0.575094553896819,944.149959505798,1907.4857346525,2,3,911.870747115458,271.894815680105,2659.61503863983
PERFORM_GSK__perform_rxb,perform,perform_rxb,6,6,171.078672399316,3.55519194355214,-0.596139088125245,944.443322396816,1908.98433883427,2,3,910.471920981122,270.837043326612,2659.61503863983
PERFORM_CAP_GSK__current,perform_cap,current,6,6,206.135327552077,3.72077705415998,-5.281462154251,944.451972946405,1917.56090024268,2,3,896.329399550786,235.463459970695,5763.50993457165
PERFORM_CAP_GSK__perform_rx,perform_cap,perform_rx,6,6,215.773539486771,3.79488898801605,-7.37850066149577,967.08839130647,1970.50555937727,1,3,868.394777034553,226.112286337821,5763.50993457165
PERFORM_CAP_GSK__perform_rxb,perform_cap,perform_rxb,6,6,215.971876061849,3.79675283830144,-7.43123934495499,967.799499041518,1972.0631273717,1,3,867.080992755843,225.099632253879,5763.50993457165
