candidate_id,mode,gilboa_leeds_scale,pleasant_wood_scale,wood_millwood_scale,lower_hudson_b_fraction
CURRENT,current,NaN,NaN,NaN,NaN
PERF_GL1p6_PV0p7_WM0p8_B1,perform_scaled,1.6,0.7,0.8,1
PERF_GL1p6_PV0p7_WM1_B1,perform_scaled,1.6,0.7,1,1
PERF_GL1p6_PV0p85_WM0p8_B1,perform_scaled,1.6,0.85,0.8,1
PERF_GL1p6_PV0p85_WM1_B1,perform_scaled,1.6,0.85,1,1
PERF_GL1p6_PV1_WM0p8_B1,perform_scaled,1.6,1,0.8,1
PERF_GL1p6_PV1_WM1_B1,perform_scaled,1.6,1,1,1
PERF_GL2_PV0p7_WM0p8_B1,perform_scaled,2,0.7,0.8,1
PERF_GL2_PV0p7_WM1_B1,perform_scaled,2,0.7,1,1
PERF_GL2_PV0p85_WM0p8_B1,perform_scaled,2,0.85,0.8,1
PERF_GL2_PV0p85_WM1_B1,perform_scaled,2,0.85,1,1
PERF_GL2_PV1_WM0p8_B1,perform_scaled,2,1,0.8,1
PERF_GL2_PV1_WM1_B1,perform_scaled,2,1,1,1
PERF_GL2p5_PV0p7_WM0p8_B1,perform_scaled,2.5,0.7,0.8,1
PERF_GL2p5_PV0p7_WM1_B1,perform_scaled,2.5,0.7,1,1
PERF_GL2p5_PV0p85_WM0p8_B1,perform_scaled,2.5,0.85,0.8,1
PERF_GL2p5_PV0p85_WM1_B1,perform_scaled,2.5,0.85,1,1
PERF_GL2p5_PV1_WM0p8_B1,perform_scaled,2.5,1,0.8,1
PERF_GL2p5_PV1_WM1_B1,perform_scaled,2.5,1,1,1
PERF_GL3_PV0p7_WM0p8_B1,perform_scaled,3,0.7,0.8,1
PERF_GL3_PV0p7_WM1_B1,perform_scaled,3,0.7,1,1
PERF_GL3_PV0p85_WM0p8_B1,perform_scaled,3,0.85,0.8,1
PERF_GL3_PV0p85_WM1_B1,perform_scaled,3,0.85,1,1
PERF_GL3_PV1_WM0p8_B1,perform_scaled,3,1,0.8,1
PERF_GL3_PV1_WM1_B1,perform_scaled,3,1,1,1
