bus_id,bus_name,load_allocation_group,nyiso_zone_name,original_pd_mw,allocation_weight,weight_source
54,NIAGARA W,A,WEST,20.0,0.007630057333977107,base_pd
55,NIAGARA E,A,WEST,939.0,0.3582311918302252,base_pd
56,HUNTLEY,A,WEST,198.818159,0.07584969761028884,base_pd
57,HUNTLEY,A,WEST,277.420687,0.10583678737206588,base_pd
58,GARDENVILLE,A,WEST,97.0972405,0.037042875599298204,base_pd
59,GARDENVILLE,A,WEST,814.923268,0.3108955628815996,base_pd
60,DUNKIRK,A,WEST,0.0,0.0,base_pd
61,DUNKIRK,A,WEST,273.952928,0.10451382737254512,base_pd
62,STOLLE RD,A,WEST,0.0,0.0,base_pd
52,ROCHESTER,B,GENESE,0.0,0.0,base_pd
53,ROCHESTER,B,GENESE,1066.91373,1.0,base_pd
50,CLAY,C,CENTRL,0.0,0.0,base_pd
51,CLAY,C,CENTRL,844.977176,0.4725274725274725,base_pd
63,MEYER,C,CENTRL,0.0,0.0,base_pd
64,MEYER,C,CENTRL,165.296493,0.09243697495439221,base_pd
65,GESONIDGE,C,CENTRL,105.188677,0.058823529313078965,base_pd
66,WATERCURE,C,CENTRL,0.0,0.0,base_pd
67,WRHL,C,CENTRL,0.0,0.0,base_pd
68,HILLSIDE,C,CENTRL,243.899021,0.13639301891043618,base_pd
69,BINGHAMTON,C,CENTRL,0.0,0.0,base_pd
70,BINGHAMTON,C,CENTRL,0.0,0.0,base_pd
71,BINGHAMTON,C,CENTRL,428.846145,0.23981900429462014,base_pd
72,LAPEER,C,CENTRL,0.0,0.0,base_pd
46,COLTON,D,NORTH,26.5861492,0.030303030316846127,base_pd
47,MOSES W,D,NORTH,610.325512,0.6956521741509158,base_pd
48,MOSES E,D,NORTH,0.0,0.0,base_pd
49,PLATTSBURGH,D,NORTH,240.431262,0.27404479553223804,base_pd
43,EDIC,E,MHK VL,0.0,0.0,base_pd
44,PORTER,E,MHK VL,0.0,0.0,base_pd
45,PORTER,E,MHK VL,295.9154,1.0,base_pd
37,NEW SEATHED,F,CAPITL,0.0,0.0,base_pd
38,GILBOA,F,CAPITL,0.0,0.0,base_pd
40,NEW SEATHED,F,CAPITL,0.0,0.0,base_pd
41,ROTTERDAM,F,CAPITL,809.143671,0.7981755984821013,base_pd
42,ALBANY,F,CAPITL,204.597757,0.2018244015178987,base_pd
39,LEEDS,G,HUD VL,0.0,0.2,proxy_weight
73,PLEASANT VLY,G,HUD VL,0.0,0.5,proxy_weight
75,RAMAPO,G,HUD VL,0.0,0.0,proxy_weight
76,RAMAPO,G,HUD VL,0.0,0.3,proxy_weight
74,MILLWOOD,H,MILLWD,117.903792,1.0,base_pd
77,BUCHANAN,H,MILLWD,0.0,0.0,base_pd
78,CE UG,I,DUNWOD,2311.83906,1.0,base_pd
79,RAV A-3,J,N.Y.C.,0.0,0.45,proxy_weight
81,GOETHALS,J,N.Y.C.,0.0,0.1,proxy_weight
82,AK-3,J,N.Y.C.,0.0,0.45,proxy_weight
80,NORTHPORT,K,LONGIL,809.143671,1.0,base_pd
