scenario,interface_name,aggregate_name,zone_boundary,reference_flow_mw,reference_limit_mw,flow_direction,source_case,status,note
S1_PERFORM_COMPATIBLE_PEAK,Moses_South,Moses_South,D-E,,,D_to_E,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S1_PERFORM_COMPATIBLE_PEAK,Central_East,Central_East,E-F,,,E_to_F,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S1_PERFORM_COMPATIBLE_PEAK,Total_East_proxy,Total_East_proxy,F-G,,,F_to_G,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S1_PERFORM_COMPATIBLE_PEAK,UPNY_ConEd,UPNY_ConEd,G-H,,,G_to_H,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S1_PERFORM_COMPATIBLE_PEAK,Millwood_South,Millwood_South,H-I,,,H_to_I,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S1_PERFORM_COMPATIBLE_PEAK,Dunwoodie_South,Dunwoodie_South,I-J,,,I_to_J,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S1_PERFORM_COMPATIBLE_PEAK,ConEd_LIPA_total,ConEd_LIPA_total,I-K/J-K,,,NY_to_LI,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S2_SHOULDER_LOAD,Moses_South,Moses_South,D-E,,,D_to_E,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S2_SHOULDER_LOAD,Central_East,Central_East,E-F,,,E_to_F,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S2_SHOULDER_LOAD,Total_East_proxy,Total_East_proxy,F-G,,,F_to_G,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S2_SHOULDER_LOAD,UPNY_ConEd,UPNY_ConEd,G-H,,,G_to_H,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S2_SHOULDER_LOAD,Millwood_South,Millwood_South,H-I,,,H_to_I,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S2_SHOULDER_LOAD,Dunwoodie_South,Dunwoodie_South,I-J,,,I_to_J,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S2_SHOULDER_LOAD,ConEd_LIPA_total,ConEd_LIPA_total,I-K/J-K,,,NY_to_LI,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S3_HIGH_DOWNSTATE_LOAD,Moses_South,Moses_South,D-E,,,D_to_E,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S3_HIGH_DOWNSTATE_LOAD,Central_East,Central_East,E-F,,,E_to_F,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S3_HIGH_DOWNSTATE_LOAD,Total_East_proxy,Total_East_proxy,F-G,,,F_to_G,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S3_HIGH_DOWNSTATE_LOAD,UPNY_ConEd,UPNY_ConEd,G-H,,,G_to_H,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S3_HIGH_DOWNSTATE_LOAD,Millwood_South,Millwood_South,H-I,,,H_to_I,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S3_HIGH_DOWNSTATE_LOAD,Dunwoodie_South,Dunwoodie_South,I-J,,,I_to_J,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S3_HIGH_DOWNSTATE_LOAD,ConEd_LIPA_total,ConEd_LIPA_total,I-K/J-K,,,NY_to_LI,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S4_HIGH_WESTERN_NORTHERN_GENERATION,Moses_South,Moses_South,D-E,,,D_to_E,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S4_HIGH_WESTERN_NORTHERN_GENERATION,Central_East,Central_East,E-F,,,E_to_F,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S4_HIGH_WESTERN_NORTHERN_GENERATION,Total_East_proxy,Total_East_proxy,F-G,,,F_to_G,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S4_HIGH_WESTERN_NORTHERN_GENERATION,UPNY_ConEd,UPNY_ConEd,G-H,,,G_to_H,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S4_HIGH_WESTERN_NORTHERN_GENERATION,Millwood_South,Millwood_South,H-I,,,H_to_I,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S4_HIGH_WESTERN_NORTHERN_GENERATION,Dunwoodie_South,Dunwoodie_South,I-J,,,I_to_J,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S4_HIGH_WESTERN_NORTHERN_GENERATION,ConEd_LIPA_total,ConEd_LIPA_total,I-K/J-K,,,NY_to_LI,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S5_ALTERED_EXTERNAL_INTERCHANGE,Moses_South,Moses_South,D-E,,,D_to_E,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S5_ALTERED_EXTERNAL_INTERCHANGE,Central_East,Central_East,E-F,,,E_to_F,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S5_ALTERED_EXTERNAL_INTERCHANGE,Total_East_proxy,Total_East_proxy,F-G,,,F_to_G,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S5_ALTERED_EXTERNAL_INTERCHANGE,UPNY_ConEd,UPNY_ConEd,G-H,,,G_to_H,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S5_ALTERED_EXTERNAL_INTERCHANGE,Millwood_South,Millwood_South,H-I,,,H_to_I,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S5_ALTERED_EXTERNAL_INTERCHANGE,Dunwoodie_South,Dunwoodie_South,I-J,,,I_to_J,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
S5_ALTERED_EXTERNAL_INTERCHANGE,ConEd_LIPA_total,ConEd_LIPA_total,I-K/J-K,,,NY_to_LI,Perform case required,template,Populate from matched detailed-case solve; public limits are validation envelopes only
