scenario_id,timestamp,opf_success,bus_id,bus_name,zone,zone_name,base_kv,pd_mw,qd_mvar,voltage_pu,original_vmin_pu,original_vmax_pu,excess_over_original_vmax_pu,at_relaxed_vmax
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,80,NORTHPORT,K,LONGIL,138,1852.92849582782,57.2496752504358,1.95338990793213,0.9,1.1,0.853389907932129,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,68,HILLSIDE,C,CENTRL,115,124.229573318862,20.8832839311534,1.9592769574238,0.9,1.1,0.8592769574238,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,54,NIAGARA W,A,WEST,230,7.11381140556069,0,1.961141410163,0.9,1.1,0.861141410162999,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,39,LEEDS,G,HUD VL,345,163.200464475727,40.9018919030762,1.96713383523966,0.9,1.1,0.867133835239658,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,45,PORTER,E,MHK VL,115,444.549582437007,25.5388631393605,1.97105994053078,0.9,1.1,0.871059940530784,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,63,MEYER,C,CENTRL,230,0,0,1.97756188429118,0.9,1.1,0.877561884291176,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,44,PORTER,E,MHK VL,230,0,0,1.9780893599476,0.9,1.1,0.878089359947599,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,73,PLEASANT VLY,G,HUD VL,345,408.001161189318,102.25472975769,1.97832124035258,0.9,1.1,0.878321240352577,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,40,NEW SEATHED,F,CAPITL,230,0,0,1.9786479166935,0.9,1.1,0.878647916693501,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,43,EDIC,E,MHK VL,345,0,0,1.97872599629761,0.9,1.1,0.878725996297608,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,64,MEYER,C,CENTRL,115,84.193502344949,12.7337097141179,1.9811447702159,0.9,1.1,0.881144770215896,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,52,ROCHESTER,B,GENESE,345,0,0,1.98158595878847,0.9,1.1,0.881585958788468,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,37,NEW SEATHED,F,CAPITL,345,0,0,1.98177354530134,0.9,1.1,0.881773545301341,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,71,BINGHAMTON,C,CENTRL,115,218.432092897941,26.99546459393,1.98179063497544,0.9,1.1,0.881790634975435,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,75,RAMAPO,G,HUD VL,138,0,0,1.98199688221332,0.9,1.1,0.881996882213317,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,46,COLTON,D,NORTH,115,5.1571325201351,-8.24407214662519,1.98218447642947,0.9,1.1,0.882184476429473,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,72,LAPEER,C,CENTRL,115,0,0,1.98408126910216,0.9,1.1,0.884081269102163,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,41,ROTTERDAM,F,CAPITL,115,627.224143070687,96.8962876357168,1.98577985613093,0.9,1.1,0.885779856130934,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,51,CLAY,C,CENTRL,115,430.387762969565,38.2011291423538,1.98580333499369,0.9,1.1,0.885803334993689,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,70,BINGHAMTON,C,CENTRL,230,0,0,1.98789998773567,0.9,1.1,0.887899987735666,0
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,1,67,WRHL,C,CENTRL,230,0,0,1.98819308892946,0.9,1.1,0.888193088929463,0
