case_id,case_group,scenario_id,include_s4,apply_abc_caps,x_spine_multiplier,device_group,device_name,zone,bus_id,bus_name,gen_index,pg_mw,qg_mvar,pmax_mw,pmin_mw,qmax_mvar,qmin_mvar,fraction_pmax_used
S3_BASE_3GW_X0P75,s3_baseline_x,S2_2025_WINTER_PEAK_PUBLIC,0,0,0.75,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,200.590979161855,0,900,0,0,-0,0.222878865735394
S3_BASE_3GW_X0P75,s3_baseline_x,S2_2025_WINTER_PEAK_PUBLIC,0,0,0.75,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,195.91035485751,0,900,0,0,-0,0.2176781720639
S3_BASE_3GW_X0P75,s3_baseline_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,0.75,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,395.00079995051,0,1200,0,0,-0,0.329167333292092
S3_BASE_3GW_X0P75,s3_baseline_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,0.75,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,401.813026063608,0,900,0,0,-0,0.446458917848454
S3_BASE_3GW_X0P75,s3_baseline_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,0.75,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,385.765923706809,0,900,0,0,-0,0.428628804118676
S3_BASE_3GW_X0P75,s3_baseline_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,0.75,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,645.587983156036,0,1200,0,0,-0,0.537989985963363
S3_BASE_3GW_X0P75,s3_baseline_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,0.75,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,647.497942089351,0,900,0,0,-0,0.719442157877057
S3_BASE_3GW_X0P75,s3_baseline_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,0.75,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,660.28259213989,0,900,0,0,-0,0.733647324599878
S3_BASE_3GW_X0P75,s3_baseline_x,S5_2025_HIGH_TOTAL_EAST_PUBLIC,0,0,0.75,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,672.831400617074,0,1200,0,0,-0,0.560692833847562
S3_BASE_3GW_X0P75,s3_baseline_x,S5_2025_HIGH_TOTAL_EAST_PUBLIC,0,0,0.75,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,674.682538810546,0,900,0,0,-0,0.749647265345051
S3_BASE_3GW_X0P75,s3_baseline_x,S5_2025_HIGH_TOTAL_EAST_PUBLIC,0,0,0.75,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,683.162467954292,0,900,0,0,-0,0.759069408838103
S3_BASE_3GW_X0P75,s3_baseline_x,S6_2025_LOW_TOTAL_EAST_PUBLIC,0,0,0.75,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,289.678546457072,0,1200,0,0,-0,0.241398788714227
S3_BASE_3GW_X0P75,s3_baseline_x,S6_2025_LOW_TOTAL_EAST_PUBLIC,0,0,0.75,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,294.40521616319,0,900,0,0,-0,0.327116906847989
S3_BASE_3GW_X0P75,s3_baseline_x,S6_2025_LOW_TOTAL_EAST_PUBLIC,0,0,0.75,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,298.536973200201,0,900,0,0,-0,0.331707748000223
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,0,0,1200,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,0,0,900,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,0,0,900,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,EDIC_E_EQ_SUPPLY,E,43,EDIC,33,0,0,400,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,PORTER_E_EQ_SUPPLY,E,44,PORTER,34,0,0,200,0,0,-0,0
