scenario_id,experiment,eta,opf_success,zone,zone_name,bus_count,pd_mw,qd_mvar,original_gen_q_mvar,boundary_gen_q_mvar,total_gen_q_mvar,incident_charging_scale_mvar,branch_terminal_q_out_mvar,min_voltage,max_voltage,above_original_vmax_count,below_original_vmin_count
S1_2025_SUMMER_PEAK_PUBLIC,LOAD_ONLY_S1_BOUNDARY,0,1,F,CAPITL,5,1013.741428,142,240.708265385246,-22.7784134526646,217.929851932581,219.084608332988,75.9298472021776,1.06090199092842,1.1,0,0
S1_2025_SUMMER_PEAK_PUBLIC,LOAD_ONLY_S1_BOUNDARY,0,1,G,HUD VL,4,0,0,0,-187.309089713853,-187.309089713853,210.962813287516,-187.30908743996,1.05756290275087,1.08585153254582,0,0
S1_2025_SUMMER_PEAK_PUBLIC,LOAD_ONLY_S1_BOUNDARY,0,1,E,MHK VL,3,295.9154,17,0,0,0,218.74039995056,-16.9999029846491,1.07256321250505,1.07783451851052,0,0
S1_2025_SUMMER_PEAK_PUBLIC,LOAD_ONLY_S1_BOUNDARY,0,1,D,NORTH,4,877.3429232,74.5,185.795615838948,-63.9130038842423,121.882611954706,70.062685967271,47.3825991571552,1.00430269604209,1.1,0,0
S1_2025_SUMMER_PEAK_PUBLIC,LOAD_ONLY_S1_BOUNDARY,0,1,C,CENTRL,12,1788.207512,194,590.138172146785,-99.5016536481964,490.636518498589,351.004588786312,296.636367415512,1.05731817338736,1.1,0,0
S1_2025_SUMMER_PEAK_PUBLIC,LOAD_ONLY_S1_BOUNDARY,0,1,B,GENESE,2,1066.91373,250,237.11143745716,0,237.11143745716,109.604617737944,-12.8885085432829,1.08540408286254,1.09554261585474,0,0
S1_2025_SUMMER_PEAK_PUBLIC,LOAD_ONLY_S1_BOUNDARY,0,1,A,WEST,9,2621.2122825,414,867.835757517404,-422.919110433243,444.916647084161,113.128305495711,30.9166308143352,1.04621686027699,1.1,0,0
S1_2025_SUMMER_PEAK_PUBLIC,LOAD_ONLY_S1_BOUNDARY,0,1,H,MILLWD,2,117.903792,0,0,0,0,168.489502532987,2.70006239588838e-12,1.08537080302361,1.08930485856053,0,0
S1_2025_SUMMER_PEAK_PUBLIC,LOAD_ONLY_S1_BOUNDARY,0,1,I,DUNWOD,1,2311.83906,600,999,0,999,67.8219671989084,399.00012621113,1.09080661607136,1.09080661607136,0,0
S1_2025_SUMMER_PEAK_PUBLIC,LOAD_ONLY_S1_BOUNDARY,0,1,J,N.Y.C.,3,0,0,148.13029014048,-56.9381965045628,91.1920936359167,0,91.1919748757123,1.07054731700926,1.1,0,0
