scenario_id,timestamp,variant,limit_mode,status,opf_success,opf_raw_info,objective,total_load_mw,total_generation_mw,losses_mw,total_qd_mvar,total_qg_mvar,min_voltage,max_voltage,voltage_upper_bound_count,voltage_lower_bound_count,min_qg_mvar,max_qg_mvar,sum_abs_qg_mvar,number_of_generators_at_qmax,number_of_generators_at_qmin,number_of_generators_at_pmax,number_of_generators_at_pmin,rate_a_overload_count,max_rate_a_overload_mva,branch80_loading_pct,branch190_loading_pct,q_abs_limit_mvar,note
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,original_topology,q_limits_relaxed,ok,0,0,966700.965692531,30349.7613567,30179.8620025962,-169.899354103825,4195.27221376401,26098.7148366894,0.9,1.1,37,7,-227.217782661703,3083.42755528816,27129.9885935704,0,0,31,7,1,2.39154053360835e-06,35.6088492185067,100.000000007816,100000,
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,original_topology,pq_limits_relaxed,ok,1,1,837834.133431539,30349.7613567,32340.0215679205,1990.26021122051,4195.27221376401,22063.193744546,0.9,1.1,37,3,-926.978978587884,2154.41848405348,26494.1327445412,0,0,0,26,0,2.82979186749799e-07,99.9999935963998,99.9999980708918,100000,
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,gilboa_leeds,q_limits_relaxed,ok,0,0,964209.35262115,30349.7613567,30414.7675873665,65.0062306664913,4195.27221376401,26646.0579913841,0.9,1.1,35,9,-1077.60983220788,3245.3050179411,32982.0403482203,0,0,34,7,1,2.36861740177119e-06,42.2471527695543,100.000000008287,100000,
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,gilboa_leeds,pq_limits_relaxed,ok,1,1,833581.859682786,30349.7613567,32376.1753826074,2026.41402590745,4195.27221376401,22598.9803836478,0.9,1.1,37,3,-909.669739135056,2305.01117766914,26954.0260440976,0,0,0,26,0,2.82967619114061e-07,99.9999929239971,99.9999980845109,100000,
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,original_topology,q_limits_relaxed,ok,0,0,963359.006983303,30349.7613567,30708.4809771662,358.719620466218,4182.47457485567,24046.3627970835,0.9,1.1,37,9,-601.081217975326,2431.27315092084,29136.3333020501,0,0,35,7,0,5.17671878697001e-08,37.7027330924774,100.000000006689,100000,
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,original_topology,pq_limits_relaxed,ok,1,1,821806.951865828,30349.7613567,32362.8621691147,2013.10081241474,4182.47457485567,22166.4261447967,0.9,1.1,37,3,-936.302109314089,2090.26028183654,26670.6378388147,0,0,0,26,0,2.82988992239552e-07,99.9999935120331,99.9999980439734,100000,
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,gilboa_leeds,q_limits_relaxed,ok,0,0,962665.14808915,30349.7613567,30845.8778849696,496.116528269573,4182.47457485567,23321.6937047832,0.9,1.1,35,9,-655.259117029272,2415.81170065029,29046.8711443426,0,0,35,8,0,4.23452775066835e-08,43.5412987343228,100.000000005471,100000,
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,gilboa_leeds,pq_limits_relaxed,ok,1,1,817629.463134863,30349.7613567,32403.5885301607,2053.82717346066,4182.47457485567,22726.7493670393,0.9,1.1,37,3,-901.864643671162,2238.42122120457,27150.7105795387,0,0,0,26,0,2.82992033362461e-07,99.9999928545109,99.9999980570732,100000,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,original_topology,q_limits_relaxed,ok,0,0,965687.163541044,30349.7613567,30292.667032807,-57.0943238930122,4299.00701812996,24492.6792091013,0.9,1.1,37,6,-220.598013169505,2641.88182433717,25789.3159014618,0,0,33,7,1,2.48902244948113e-06,32.9006565982739,100.000000007976,100000,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,original_topology,pq_limits_relaxed,ok,1,1,824302.987231017,30349.7613567,32351.4752301559,2001.71387345593,4299.00701812996,22673.7755235415,0.9,1.1,39,3,-901.377541939992,2415.66304485328,26845.5114500539,0,0,0,26,0,2.82948064977973e-07,99.9999936220653,99.9999981689853,100000,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,gilboa_leeds,q_limits_relaxed,ok,0,0,960149.830608887,30349.7613567,30575.8615087878,226.100152087791,4299.00701812996,25218.3277724296,0.9,1.1,35,9,-657.210445794984,3034.96635278673,30401.9462489973,0,0,34,7,1,1.53756377585523e-06,41.9979361633681,100.000000008288,100000,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,gilboa_leeds,pq_limits_relaxed,ok,1,1,820115.620090333,30349.7613567,32336.7249835107,1986.96362681068,4299.00701812996,23184.9086332649,0.9,1.1,40,3,-819.559981396456,2586.62044717434,25610.5908183844,0,0,0,26,0,2.82968500187053e-07,99.9999930574622,99.9999982199012,100000,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,original_topology,q_limits_relaxed,ok,0,0,967247.20095338,30349.7613567,30044.2369401609,-305.524416539054,4204.49425179317,26195.5311241313,0.9,1.1,37,6,-146.478106596896,3286.57819150622,27081.2617563881,0,0,25,3,0,7.22107984074682e-07,36.2219039485983,100.000000005197,100000,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,original_topology,pq_limits_relaxed,ok,1,1,840709.089558153,30349.7613567,32335.3704160785,1985.60905937854,4204.49425179317,22063.3407309738,0.9,1.1,37,3,-929.365423459111,2176.15298160846,26458.5163019323,0,0,0,26,0,2.82967079101581e-07,99.9999936154597,99.9999980805791,100000,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,gilboa_leeds,q_limits_relaxed,ok,0,0,965255.695324414,30349.7613567,30321.3519592867,-28.4093974132775,4204.49425179317,26948.58859612,0.9,1.1,34,10,-1453.08325426368,3273.15649397621,32995.1830737627,0,0,30,7,1,2.24262316805834e-06,42.5235340159354,100.000000007717,100000,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,gilboa_leeds,pq_limits_relaxed,ok,1,1,836443.505331959,30349.7613567,32370.5450527187,2020.78369601868,4204.49425179317,22594.2790297092,0.9,1.1,37,3,-913.265138795831,2327.89718545175,26916.4511173359,0,0,0,26,0,2.8296963705543e-07,99.9999929401468,99.9999980941124,100000,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,original_topology,q_limits_relaxed,ok,0,0,965332.965966865,30349.7613567,30127.6111694555,-222.150187244548,4198.12780101926,26356.7285322863,0.9,1.1,35,9,-1294.36309135672,2967.57387080723,31051.9543023363,0,0,31,7,1,1.88713283932884e-06,36.549037554491,100.000000006881,100000,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,original_topology,pq_limits_relaxed,ok,1,1,840452.463944036,30349.7613567,32344.2279762962,1994.46661959615,4198.12780101926,22124.2713015105,0.9,1.1,37,3,-937.203600991128,2149.65186128195,26570.0083712474,0,0,0,26,0,2.82959319974907e-07,99.9999935837002,99.9999980731668,100000,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,gilboa_leeds,q_limits_relaxed,ok,0,0,964014.684505639,30349.7613567,30353.1091674844,3.34781078436208,4198.12780101926,26710.135680586,0.9,1.1,34,10,-1377.32560135302,3164.53063783893,32828.2984690242,0,0,30,7,1,1.53514042722236e-06,42.5930036240264,100.000000006734,100000,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,gilboa_leeds,pq_limits_relaxed,ok,1,1,836232.197683043,30349.7613567,32379.4956030706,2029.73424637062,4198.12780101926,22656.7112963757,0.9,1.1,37,3,-920.073222527358,2301.17609550497,27025.9743606457,0,0,0,26,0,2.82976543530822e-07,99.9999929159881,99.9999980870181,100000,
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,original_topology,q_limits_relaxed,ok,0,0,964252.933474491,30349.7613567,30560.9374578654,211.176101165453,4219.01737679448,25176.3475274085,0.9,1.1,37,8,-598.573319036626,3078.37873736215,29371.1651801138,0,0,34,7,1,2.32967374813597e-06,35.1619348873879,100.000000008287,100000,
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,original_topology,pq_limits_relaxed,ok,1,1,824799.28855585,30349.7613567,32352.216339558,2002.45498285797,4219.01737679448,22290.2694201804,0.9,1.1,37,3,-906.779509947842,2208.58408320536,26660.6664185319,0,0,0,26,0,2.83255985777942e-07,99.9999935959767,99.9999980736325,100000,
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,gilboa_leeds,q_limits_relaxed,ok,0,0,962252.59741976,30349.7613567,30724.1330038302,374.371647130163,4219.01737679448,24643.8164994199,0.9,1.1,36,9,-580.208637742966,2594.58175034763,29582.5426348015,0,0,34,7,0,2.62592550370755e-07,41.4454752367726,100.000000008288,100000,
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,gilboa_leeds,pq_limits_relaxed,ok,1,1,820565.906064299,30349.7613567,32390.7684650531,2041.00710835314,4219.01737679448,22850.7711902798,0.9,1.1,37,3,-889.209462889019,2367.88493317546,27152.0945990391,0,0,0,26,0,2.8299461973802e-07,99.9999929255968,99.9999980864866,100000,
