reduced_control_group_id,retained_device_bus,retained_pilot_bus,reduced_device_type,source_record_count,scaled_source_q_mvar,reduced_pf_q_mvar,q_error_mvar,absolute_q_error_mvar,scaled_usable_q_range_mvar,normalized_q_error,source_q_limit_saturated,reduced_q_limit_saturated,mapping_confidence,source_bus_ids
BUS_37__PILOT_37__AGGREGATE_PV_GENERATOR,37,37,aggregate_pv_generator,58,25.4320989907479,-80.1282428154724,-105.56034180622,105.56034180622,345.820162536122,0.305246348368118,0,0,medium,6|31|32|84|194|463|469|474|563|632|682|683|685|693|705|706|811|867|870|1213
BUS_43__PILOT_43__AGGREGATE_PV_GENERATOR,43,43,aggregate_pv_generator,32,-26.8386070124527,222.36391937525,249.202526387703,249.202526387703,397.569712380856,0.626814665773575,0,1,low,15|21|60|80|83|368|378|395|405|408|526|573|1039|1052|1053|1194|1223|1230
BUS_9003__PILOT_9003__AGGREGATE_PV_GENERATOR,9003,9003,aggregate_pv_generator,51,-342.534064099097,-397.976506497078,-55.4424423979815,55.4424423979815,1536.85553375052,0.0360752466191019,0,0,medium,17|18|552|554|564|569|577|589|609|614|619|735|737|738|994|1146|1147|1164|1169|1170
BUS_80__PILOT_80__AGGREGATE_PV_GENERATOR,80,80,aggregate_pv_generator,4,18.6465424929915,219.008044844475,200.361502351484,200.361502351484,516.836967590352,0.387668674873682,0,0,high,19
BUS_9003__PILOT_9003__BOUNDARY_IMPORT_EQUIVALENT,9003,9003,boundary_import_equivalent,3,98.0243733747736,98.0243733747736,0,0,21731.5182805032,0,0,1,medium,19|580|1148
BUS_44__PILOT_44__AGGREGATE_PV_GENERATOR,44,44,aggregate_pv_generator,25,-53.2331038938767,-53.4803856245314,-0.247281730654713,0.247281730654713,523.821053179153,0.000472072913362151,0,0,low,21|82|83|378|381|395|399|406|407|409|768|1052|1194|1230|1287
BUS_72__PILOT_72__AGGREGATE_PV_GENERATOR,72,72,aggregate_pv_generator,11,3.44279495445327,-38.8533205621118,-42.2961155165651,42.2961155165651,88.0236245503211,0.480508678580775,0,1,medium,24|52|339|575|1173|1181|1250|1460
BUS_68__PILOT_68__AGGREGATE_PV_GENERATOR,68,68,aggregate_pv_generator,13,20.4214942023129,-19.2124278579056,-39.6339220602184,39.6339220602184,131.951291215978,0.300367822815357,0,0,medium,24|27|30|53|575|1172|1181|1460
BUS_79__PILOT_79__AGGREGATE_PV_GENERATOR,79,79,aggregate_pv_generator,28,337.892163106816,-4.95233122524392,-342.84449433206,342.84449433206,2815.83221315812,0.121756009725999,0,0,high,26|556|557|1133|1457
BUS_65__PILOT_65__AGGREGATE_PV_GENERATOR,65,65,aggregate_pv_generator,1,-2.99570318028426,-1.36779117486837,1.6279120054159,1.6279120054159,49.1703039882093,0.0331076254034601,0,0,high,29
