scenario_id,envelope_name,solution_type,zone,base_generation_mw,delta_generation_mw,proposed_generation_mw,pmin_mw,effective_pmax_mw,capability_relaxation_mw
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,A,1292.64986194606,0.150138053940054,1292.8,0,1292.8,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,B,288.773724769062,0.0262752309379835,288.8,0,288.8,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,C,2506.04245062123,5.15754937877,2511.2,0,2511.2,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,D,983.526102854315,1.45460484568503,984.9807077,0,984.9807077,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,E,598.288312340651,-331.021217885354,267.267094455297,0,600,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,F,1793.65957305411,-104.620828511528,1689.03874454258,0,2168.003995,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,G,1338.93652413803,46.9813002381755,1385.91782437621,0,2200,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,H,0,0,0,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,I,14.9393294189239,-14.9393294189239,0,0,565.099092,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,J,1397.35924501855,458.591723940322,1855.95096895887,0,4197.07746,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,K,1145.78035727822,-61.780215872025,1084.00014140619,0,2384.929342,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,A,1292.64986194606,5.56382677087345,1298.21368871693,0,1298.21368911237,5.4136891123709
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,B,288.773724769062,267.19251180963,555.966236578692,0,555.966236900525,267.166236900525
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,C,2506.04245062123,5.15754937829206,2511.19999999952,0,2511.2,2.5664595777085e-14
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,D,983.526102854315,1.45460484567764,984.980707699993,0,984.9807077,0
