scenario_id,envelope_name,solution_type,interface_name,base_residual_mw,linear_predicted_residual_mw,linear_normalized_residual,nonlinear_residual_mw,nonlinear_normalized_residual,accuracy_scale_mw
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,Dysinger_East,-96.9053071791976,-86.0711971517462,-0.860711971517462,-99.7096829465232,-0.997096829465232,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,West_Central,-416.002007589673,-405.195620773127,-2.70130413848751,-422.435066245542,-2.81623377497028,150
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,Moses_South,-14.6188878379072,-13.2227250222485,-0.132227250222485,-25.7190741166625,-0.257190741166625,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,Central_East,-9.77610230266123,-270.130413848751,-2.70130413848751,-327.940682515853,-3.27940682515853,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,Total_East_proxy,-11.2910464063934,-405.195620773127,-2.70130413848751,-500.543063673369,-3.33695375782246,150
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,UPNY_ConEd,-9.45876351169363,-270.130413848751,-2.70130413848751,-394.915987486196,-3.94915987486196,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,strict_min_eta,Dunwoodie_South,-2.48175647034486,-270.130413848751,-2.70130413848751,-411.178321684902,-4.11178321684902,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,Dysinger_East,-96.9053071791976,-99.999999998255,-0.999999999982551,-104.060917070251,-1.04060917070251,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,West_Central,-416.002007589673,-149.999999991346,-0.999999999942307,-157.169329084439,-1.04779552722959,150
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,Moses_South,-14.6188878379072,-13.156254575079,-0.13156254575079,-17.1642318463759,-0.171642318463759,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,Central_East,-9.77610230266123,-99.9999999914412,-0.999999999914412,-120.918487323708,-1.20918487323708,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,Total_East_proxy,-11.2910464063934,-149.999999998685,-0.999999999991235,-183.139326853328,-1.22092884568886,150
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,UPNY_ConEd,-9.45876351169363,-99.999999996289,-0.99999999996289,-135.569708149701,-1.35569708149701,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,Dunwoodie_South,-2.48175647034486,-53.1231366990179,-0.531231366990179,-90.6017049486804,-0.906017049486804,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,Dysinger_East,-96.9053071791976,48.1017070709238,0.481017070709238,40.1637930787045,0.401637930787045,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,West_Central,-416.002007589673,-236.123447932565,-1.57415631955044,-246.47596203078,-1.6431730802052,150
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,Moses_South,-14.6188878379072,-34.3282879951415,-0.343282879951415,-40.4175405950606,-0.404175405950606,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,Central_East,-9.77610230266123,-157.415631955044,-1.57415631955044,-190.138219907337,-1.90138219907337,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,Total_East_proxy,-11.2910464063934,-236.123447932565,-1.57415631955044,-286.602647128081,-1.91068431418721,150
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,UPNY_ConEd,-9.45876351169363,-157.415631955044,-1.57415631955044,-216.017465928774,-2.16017465928774,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,Dunwoodie_South,-2.48175647034486,-157.415631955044,-1.57415631955044,-220.767903988278,-2.20767903988278,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,Dysinger_East,-96.9053071791976,41.7421789959316,0.417421789959316,38.3394286613155,0.383394286613155,100
