scenario_id,iteration,row_type,pf_success,reporting_interface_objective,calibration_huber_objective,max_abs_interface_residual_mw,mean_abs_interface_residual_mw,mean_signed_interface_residual_mw,total_load_mw,total_generation_mw,losses_mw,required_internal_generation_mw,scheduled_internal_generation_mw,actual_internal_generation_mw,reference_adjustment_mw,loss_total_adjustment_mw,redispatch_step_inf_norm_mw,redispatch_solver_exitflag,min_voltage_pu,max_voltage_pu,voltage_violation_count,branch_overload_count,max_branch_overload_mva,generator_p_violation_count,max_generator_p_violation_mw,generator_q_violation_count,max_generator_q_violation_mvar
S1_2025_SUMMER_PEAK_PUBLIC,1,iterate,1,0.00573096464747399,1.27664146600805,128.218067035491,49.0846404959014,-48.7654950370926,10902.2197987,11138.9911814418,236.771382741823,11034.8201985485,11034.8201985485,11046.2022077129,11.3820091644193,225.389373577409,263.894335149318,1,0.952721175,1.10148075352836,1,1,13.4719593871314,0,0,0,0
S1_2025_SUMMER_PEAK_PUBLIC,2,iterate,1,0.00221552854903052,0.423043493568471,70.422149667103,28.9694372318819,-27.2025226453446,10902.2197987,11142.6769894198,240.457190719802,11049.1131013127,11049.1131013127,11049.8880156909,0.774914378243921,14.2929027641567,159.004496894923,1,0.952721175,1.10149100852211,1,1,10.0507280883187,0,0,0,0
S1_2025_SUMMER_PEAK_PUBLIC,3,iterate,1,0.00111369289811524,0.172864430269594,40.9849505604452,18.5287639818822,-17.1826941179859,10902.2197987,11145.3419811324,243.122182432389,11052.3746172734,11052.3746172734,11052.5530074035,0.178390130098705,3.26151596073032,95.8373884082898,1,0.952721175,1.10146788575123,1,1,8.00224515856189,0,0,0,0
S1_2025_SUMMER_PEAK_PUBLIC,4,iterate,1,0.0006825774457761,0.082976030506079,28.585884294791,12.4429302228262,-11.4380739095421,10902.2197987,11147.2578949405,245.038096240527,11054.3600822012,11054.3600822012,11054.4689212116,0.108839010434167,1.98546492780042,57.6526642091445,1,0.952721175,1.1014419079173,1,1,6.77922697135705,0,0,0,0
S1_2025_SUMMER_PEAK_PUBLIC,5,iterate,1,0.000502269117567121,0.0494482740167669,26.1412648296912,8.87997546209206,-8.13098966549406,10902.2197987,11148.5118852632,246.292086563175,11055.6520628213,11055.6520628213,11055.7229115343,0.0708487130123103,1.29198062006981,34.6290338327717,1,0.952721175,1.10142203691466,1,1,6.04747091353886,0,0,0,0
S1_2025_SUMMER_PEAK_PUBLIC,6,iterate,1,0.000421821599322732,0.0364345229421044,24.6926874959723,6.86509530075787,-6.27137873840883,10902.2197987,11149.291473883,247.071675183,11056.4585966097,11056.4585966097,11056.5025001541,0.0439035444360343,0.806533788405432,20.7796848559343,1,0.952721175,1.10140879732965,1,1,5.61351980410018,0,0,0,0
S1_2025_SUMMER_PEAK_PUBLIC,7,final,1,0.00042182159914624,0.0364345229116171,24.69268749588,6.86509530412338,-6.27137871672543,10902.2197987,11149.2914738647,247.071675164676,11056.5025001358,11056.4585966097,11056.5025001358,0.043903526111535,0.0439035261060781,0,1,0.952721175,1.10140879733057,1,1,5.61351980405129,0,0,0,0
S2_2025_WINTER_PEAK_PUBLIC,1,iterate,1,0.00688884733501235,1.43966158026756,118.704253145002,68.5348373081302,-66.6754581849038,10902.2197987,11136.170135562,233.950336861973,9666.53944551162,9666.53944551163,9674.31823348164,7.77878797000994,226.171548891964,109.345793577646,1,0.952721175,1.11195352929306,3,1,111.733927670995,0,0,0,0
S2_2025_WINTER_PEAK_PUBLIC,2,iterate,1,0.00217676095984867,0.45836298151592,79.4571986903373,38.6853328822647,-37.1721430772203,10902.2197987,11146.2516373642,244.031838664152,9683.77023985981,9683.77023985981,9684.39973528381,0.629495424000197,17.2307943481846,83.8663120113698,1,0.952721175,1.11072788461056,3,1,104.423408621888,0,0,0,0
S2_2025_WINTER_PEAK_PUBLIC,3,iterate,1,0.000754707889193734,0.166930091972834,55.9397541963519,22.928165586807,-21.854964484918,10902.2197987,11153.0266515292,250.806852829177,9690.91309839376,9690.91309839375,9691.17474944884,0.261651055083348,7.14285853394358,64.0567570327742,1,0.952721175,1.10989986444832,3,2,100.032715196643,0,0,0,0
