scenario_id,variant,opf_success,opf_raw_info,bound_type,bus_number,bus_name,nyiso_zone_letter,nyiso_zone_name,vm_pu,vmin_pu,vmax_pu,pd_mw,qd_mvar,note
S1_2025_SUMMER_PEAK_PUBLIC,diagnostic_no_rate_relaxed_voltage,1,1,above_1p10,1,MILLSTONE PT,NON_NY,NON_NY,1.44802539166846,0.5,1.5,0,0,RATE_A removed and V bounds relaxed to 0.5-1.5 pu
S1_2025_SUMMER_PEAK_PUBLIC,diagnostic_no_rate_relaxed_voltage,1,1,above_1p10,2,MONTVILLE,NON_NY,NON_NY,1.44183064449436,0.5,1.5,0,0,RATE_A removed and V bounds relaxed to 0.5-1.5 pu
S1_2025_SUMMER_PEAK_PUBLIC,diagnostic_no_rate_relaxed_voltage,1,1,above_1p10,3,MONTVILLE,NON_NY,NON_NY,1.42873788055924,0.5,1.5,11.1796635,88,RATE_A removed and V bounds relaxed to 0.5-1.5 pu
S1_2025_SUMMER_PEAK_PUBLIC,diagnostic_no_rate_relaxed_voltage,1,1,above_1p10,4,MONTVILLE,NON_NY,NON_NY,1.44258281718364,0.5,1.5,0,0,RATE_A removed and V bounds relaxed to 0.5-1.5 pu
S1_2025_SUMMER_PEAK_PUBLIC,diagnostic_no_rate_relaxed_voltage,1,1,above_1p10,5,CARD ST,NON_NY,NON_NY,1.43429986281224,0.5,1.5,0,0,RATE_A removed and V bounds relaxed to 0.5-1.5 pu
S1_2025_SUMMER_PEAK_PUBLIC,diagnostic_no_rate_relaxed_voltage,1,1,above_1p10,6,SHERMAN RD,NON_NY,NON_NY,1.44210002468634,0.5,1.5,397.499146,153,RATE_A removed and V bounds relaxed to 0.5-1.5 pu
S1_2025_SUMMER_PEAK_PUBLIC,diagnostic_no_rate_relaxed_voltage,1,1,above_1p10,7,MEDWAY,NON_NY,NON_NY,1.4577755061038,0.5,1.5,408.678809,32,RATE_A removed and V bounds relaxed to 0.5-1.5 pu
S1_2025_SUMMER_PEAK_PUBLIC,diagnostic_no_rate_relaxed_voltage,1,1,above_1p10,8,MILLBURY,NON_NY,NON_NY,1.44757517535987,0.5,1.5,0,0,RATE_A removed and V bounds relaxed to 0.5-1.5 pu
S1_2025_SUMMER_PEAK_PUBLIC,diagnostic_no_rate_relaxed_voltage,1,1,above_1p10,9,CARPENTER HL,NON_NY,NON_NY,1.43340010533396,0.5,1.5,196.265203,30,RATE_A removed and V bounds relaxed to 0.5-1.5 pu
S1_2025_SUMMER_PEAK_PUBLIC,diagnostic_no_rate_relaxed_voltage,1,1,above_1p10,10,BRAYTON PT,NON_NY,NON_NY,1.48198792241841,0.5,1.5,0,0,RATE_A removed and V bounds relaxed to 0.5-1.5 pu
