scenario_id,interface_name,lite_flow_mw,target_flow_mw,target_limit_mw,residual_mw,scale_mw,scale_source,objective_term,prior_dc_flow_mw,inferred_dc_flow_mw,inferred_dc_residual_mw
S1_2019_SUMMER_PEAK_PUBLIC,Dysinger_East,475.875891645272,542.193272731521,1129.78600995184,-66.3173810862492,1399.91077525026,fixed_interface_scale,0.00224416105788645,217.900092467704,506.954763458404,-35.2385092731167
S1_2019_SUMMER_PEAK_PUBLIC,West_Central,32.8171856321857,123.69184166733,3586.26359158997,-90.8746560351443,4478.94684851229,fixed_interface_scale,0.000411655329755112,-189.630513815825,73.6615191124962,-50.0303225548338
S1_2019_SUMMER_PEAK_PUBLIC,Moses_South,739.109346790628,785.459513718801,1129.78600995184,-46.3501669281732,1280.05315879757,fixed_interface_scale,0.00131113253362936,540.678358778172,753.225824243898,-32.2336894749028
S1_2019_SUMMER_PEAK_PUBLIC,Central_East,768.535940237695,871.897110035751,1025.77396459119,-103.361169798056,1288.73627827504,fixed_interface_scale,0.00643260262002009,1223.40421366152,894.112486464283,22.2153764285322
S1_2019_SUMMER_PEAK_PUBLIC,Total_East_proxy,1343.30105008906,1577.70133011957,2438.90313259444,-234.400280030507,3022.02961006405,fixed_interface_scale,0.00601615229800298,1616.91771296375,1517.35774769025,-60.3435824293199
S1_2019_SUMMER_PEAK_PUBLIC,UPNY_ConEd,1150.34776292309,1288.9029196201,2044.37468467475,-138.555156697008,2533.17187902427,fixed_interface_scale,0.00299168642774325,1769.3170854938,1351.7197222087,62.8168025886032
S1_2019_SUMMER_PEAK_PUBLIC,Dunwoodie_South,814.460852720294,1066.37452850438,1560.18068040968,-251.913675784086,1988.32171313462,fixed_interface_scale,0.0160520380126446,1009.75269135574,1038.18570322856,-28.1888252758204
S2_2019_WINTER_PEAK_PUBLIC,Dysinger_East,484.451883532582,984.279858700553,1388.81219228332,-499.827975167971,1399.91077525026,fixed_interface_scale,0.127479516257072,233.909938064093,520.382388206677,-463.897470493876
S2_2019_WINTER_PEAK_PUBLIC,West_Central,73.2668726508358,575.686902803206,4408.48670179076,-502.42003015237,4478.94684851229,fixed_interface_scale,0.0125829384733718,-203.75086682983,118.7002360245,-456.986666778706
S2_2019_WINTER_PEAK_PUBLIC,Moses_South,384.72452183802,422.313538571587,1388.81219228332,-37.5890167335668,1280.05315879757,fixed_interface_scale,0.000862314957956712,37.7595928278508,393.445758412139,-28.8677801594482
S2_2019_WINTER_PEAK_PUBLIC,Central_East,1142.40045120025,1229.32364547806,1287.40685760866,-86.9231942778106,1288.73627827504,fixed_interface_scale,0.00454928606447587,520.712812228007,1230.87553249439,1.55188701633051
S2_2019_WINTER_PEAK_PUBLIC,Total_East_proxy,1956.1389220864,2283.25133338972,2998.07076429415,-327.112411303319,3022.02961006405,fixed_interface_scale,0.0117164653999877,712.794044155313,2096.49701620768,-186.754317182044
S2_2019_WINTER_PEAK_PUBLIC,UPNY_ConEd,1161.28527558788,1226.26825865504,2513.08872889362,-64.9829830671581,2533.17187902427,fixed_interface_scale,0.000658066785601125,1051.58968245387,1347.45981801919,121.191559364151
S2_2019_WINTER_PEAK_PUBLIC,Dunwoodie_South,938.953615774548,1171.71218860007,2028.1066934931,-232.758572825522,1988.32171313462,fixed_interface_scale,0.0137037068900706,607.890462737121,1147.55183933789,-24.1603492621798
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Dysinger_East,824.507736036587,882.524160943875,2873.5423823669,-58.0164249072882,1399.91077525026,fixed_interface_scale,0.00171751766917629,815.928445683985,899.741564487464,17.2174035435892
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,West_Central,385.182605914709,733.300648909723,9121.44453374177,-348.118042995014,4478.94684851229,fixed_interface_scale,0.00604089447507298,356.158474260539,479.460770843088,-253.839878066635
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Moses_South,679.909543128849,761.406630116302,2873.5423823669,-81.4970869874528,1280.05315879757,fixed_interface_scale,0.00405348117177254,-11.0859046898779,700.264172313407,-61.1424578028953
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Central_East,1534.37118161273,1724.74574968046,2002.35731088741,-190.374568067726,1288.73627827504,fixed_interface_scale,0.0218217589239377,990.170683277532,1737.67563917228,12.9298894918165
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Total_East_proxy,2349.06995382904,3239.14819697166,6203.20260320473,-890.078243142625,3022.02961006405,fixed_interface_scale,0.0867478940184013,1142.95927895622,2644.30968879394,-594.838508177721
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,UPNY_ConEd,1273.65576984242,1214.8516180538,5199.74335856867,58.8041517886159,2533.17187902427,fixed_interface_scale,0.000538873297048929,1213.20012879468,1641.82060679829,426.968988744495
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Dunwoodie_South,1389.61088169888,1835.66448563982,4196.28411393261,-446.053603940939,1988.32171313462,fixed_interface_scale,0.0503269712767284,912.072103202052,1792.85987280293,-42.8046128368894
