case_id,case_group,scenario_id,include_s4,apply_abc_caps,x_spine_multiplier,zone_j_total_pmax_mw,zone_j_cost_c1,zone_j_cost_c2,s4_equiv_cost_c1,s4_equiv_cost_c2,status,note,scaled_branch_count,added_device_count,boundary_target_p_mw,boundary_target_q_mvar,opf_success,opf_raw_info,objective,interface_objective,max_abs_interface_residual_mw,mean_abs_interface_residual_mw,bus_count,branch_count,gen_count,total_pd_mw,total_qd_mvar,total_pg_mw,total_qg_mvar,zone_j_equiv_pg_mw,zone_j_equiv_pmax_mw,zone_j_fraction_pmax_used,s4_equiv_pg_mw,s4_equiv_pmax_mw,s4_fraction_pmax_used,min_voltage,max_voltage,voltage_bound_count_high,voltage_bound_count_low,branch_overload_count,max_branch_overload_mva,central_east_residual_mw,total_east_residual_mw,upny_coned_residual_mw,dunwoodie_south_residual_mw,moses_south_residual_mw,total_east_proxy_flow_mw,upny_coned_flow_mw,dunwoodie_south_flow_mw
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,3000,250,0.02,180,0.02,ok,,12,3,92.7889737289091,23.2551088959784,1,1,711994.893855392,8.54793685608669,2234.29002165129,914.641342866742,49,81,32,10902.2197987,1845.27221376401,11689.3458704219,7360.50999410658,1794.61035652399,3000,0.598203452174664,0,0,NaN,0.905025676619216,1.1,21,0,0,0,1859.89446957802,2234.29002165129,291.853726027904,184.414843372638,-2.75365370385703,3299.15751584108,2178.87948372321,1198.14914534536
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,3000,250,0.02,180,0.02,ok,,12,3,1461.85190208034,366.374621967386,1,1,410108.946202348,40.0487015052697,1651.84073272741,915.044194907932,49,81,32,10902.2197987,1832.47457485567,11672.1550176523,7306.02762163094,639.202546871801,3000,0.213067515623934,0,0,NaN,0.903634072677678,1.1,20,0,0,0,1651.84073272741,1395.07641153946,395.0019885104,528.451029378725,604.850812383669,3280.77414780023,2581.03123554886,1816.25749301067
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,3000,250,0.02,180,0.02,ok,,12,3,82.3046423956917,20.6274877783239,1,1,563696.840721045,0.498173066999187,1048.22810598148,635.763554555556,49,81,32,10902.2197987,1949.00701812996,11655.165933526,7519.56636365839,1225.13889531371,3000,0.408379631771238,0,0,NaN,0.912171317715954,1.1,20,0,0,1.9658273231471e-08,901.914731843267,262.83687033597,-1048.22810598148,-953.849577038387,-11.9884875786778,3424.2518247668,2897.38745256418,2219.91600217349
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,3000,250,0.02,180,0.02,ok,,12,3,-47.771236693892,-11.9726004800706,1,1,768030.284422812,9.07603045408463,2246.23751591344,898.133722633087,49,81,32,10902.2197987,1854.49425179317,11688.513655329,7380.26837803783,2002.26301687424,3000,0.667421005624747,0,0,NaN,0.905240419484545,1.1,21,0,0,0,1901.65292959683,2246.23751591344,198.008901565141,64.2437974808679,-80.5254686091655,3307.72894850611,2130.83521723638,1126.41629370165
S3_BASE_3GW,s3_baseline,S5_2025_HIGH_TOTAL_EAST_PUBLIC,0,0,1,3000,250,0.02,180,0.02,ok,,12,3,420.059642000211,105.276869922714,1,1,789330.691111294,2.13578692488919,1595.17144393484,601.599954992963,49,81,32,10902.2197987,1848.12780101926,11691.4683989424,7340.65038613946,2073.93817227252,3000,0.691312724090841,0,0,NaN,0.904102558238476,1.1,20,0,0,0,1595.17144393484,1275.34316815737,-41.0360357199113,-16.8688807534072,-79.5802463992782,3190.56302370545,1960.23742424794,1033.58228147959
S3_BASE_3GW,s3_baseline,S6_2025_LOW_TOTAL_EAST_PUBLIC,0,0,1,3000,250,0.02,180,0.02,ok,,12,3,-389.215064635112,-97.546490151821,1,1,487014.018016042,832.893614671204,3750.77423594134,1920.17102819232,49,81,32,10902.2197987,1869.01737679448,11631.1441853511,7185.60778342446,922.701876362472,3000,0.307567292120824,0,0,NaN,0.916997537464493,1.1,21,0,0,1.99515852727927e-08,2631.01931071517,3750.77423594134,1470.20923866693,1153.9533383689,594.89901726927,3425.2077065095,2720.78804903984,1928.34004264056
S3_BASE_3GW_X0P75,s3_baseline_x,S1_2025_SUMMER_PEAK_PUBLIC,0,0,0.75,3000,250,0.02,180,0.02,ok,,12,3,92.7889737289091,23.2551088959784,1,1,700145.201492147,8.85108142641376,2273.92432700164,949.593064524324,49,81,32,10902.2197987,1845.27221376401,11689.4650673994,7421.90940553,1746.18679623693,3000,0.582062265412311,0,0,NaN,0.902232590004698,1.1,21,0,0,0,1884.30716001458,2273.92432700164,332.180659670692,255.592050168338,-1.96112576636983,3338.79182119143,2219.206417366,1269.32635214106
S3_BASE_3GW_X0P75,s3_baseline_x,S2_2025_WINTER_PEAK_PUBLIC,0,0,0.75,3000,250,0.02,180,0.02,ok,,12,3,1461.85190208034,366.374621967386,1,1,399369.19276669,40.2168989321674,1678.64218453516,948.725236063395,49,81,32,10902.2197987,1832.47457485567,11675.5071115248,7381.45320844176,592.324321299232,3000,0.197441440433077,0,0,NaN,0.900969868042922,1.1,20,0,0,0,1678.64218453516,1434.58179177379,435.2464816829,590.311594040687,604.844128284436,3320.27952803456,2621.27572872136,1878.11805767263
S3_BASE_3GW_X0P75,s3_baseline_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,0.75,3000,250,0.02,180,0.02,ok,,12,3,82.3046423956917,20.6274877783239,1,1,553469.518057108,0.472651755904681,1020.41025471616,618.944487225306,49,81,32,10902.2197987,1949.00701812996,11599.2627959258,7065.65793718943,1182.57974972093,3000,0.394193249906976,0,0,NaN,0.934688848185939,1.1,20,0,0,1.99811438506003e-08,883.066924199935,277.398273431626,-1020.41025471616,-901.842795516651,-12.0041882621607,3438.81322786246,2925.2053038295,2271.92278369523
S3_BASE_3GW_X0P75,s3_baseline_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,0.75,3000,250,0.02,180,0.02,ok,,12,3,-47.771236693892,-11.9726004800706,1,1,755946.536260493,9.35929060667487,2286.18212208539,932.190210001115,49,81,32,10902.2197987,1854.49425179317,11686.320915324,7432.73531106906,1953.36851738528,3000,0.651122839128426,0,0,NaN,0.90237261531094,1.1,21,0,0,0,1923.59525170711,2286.18212208539,238.675574786113,136.610821005184,-75.8872804217832,3347.67355467806,2171.50189045735,1198.78331722596
S3_BASE_3GW_X0P75,s3_baseline_x,S5_2025_HIGH_TOTAL_EAST_PUBLIC,0,0,0.75,3000,250,0.02,180,0.02,ok,,12,3,420.059642000211,105.276869922714,1,1,778589.330185377,2.20716648363446,1616.58043126472,612.12894387546,49,81,32,10902.2197987,1848.12780101926,11691.4297093691,7393.12779469622,2030.67640738191,3000,0.676892135793971,0,0,NaN,0.901923316378432,1.1,20,0,0,0,1616.58043126472,1310.1656160307,-5.15115214441471,49.940714654648,-78.8068052828162,3225.38547157878,1996.12230782344,1100.39187688765
S3_BASE_3GW_X0P75,s3_baseline_x,S6_2025_LOW_TOTAL_EAST_PUBLIC,0,0,0.75,3000,250,0.02,180,0.02,ok,,12,3,-389.215064635112,-97.546490151821,1,1,477551.538946694,825.521051505454,3763.60423427734,1935.66484887167,49,81,32,10902.2197987,1869.01737679448,11582.1711277376,6784.50540716075,882.620735820463,3000,0.294206911940154,0,0,NaN,0.937197330489073,1.1,21,0,0,1.99852365767583e-08,2614.71971037561,3763.60423427734,1495.04680751751,1210.05902496341,594.894467224477,3438.0377048455,2745.62561789042,1984.44572923507
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,3000,250,0.02,180,0.02,ok,,12,14,92.7889737289091,23.2551088959784,1,1,678921.802022358,10.7897242838641,2201.04619838063,1351.25661016131,49,81,43,10902.2197987,1845.27221376401,11705.0372889634,7472.71599809712,0,3000,0,2397.65167610856,6200,0.386718012275575,0.907578679789076,1.1,21,0,0,0,1852.27411333539,2201.04619838063,1209.82711008444,1450.6273864494,42.5082425567127,3265.91369257042,3096.85286777975,2464.36168842212
