candidate_id,scenario_id,is_train,interface_name,lite_flow_mw,target_flow_mw,target_limit_mw,residual_mw,scale_mw,scale_source,objective_term
CURRENT,S1_2019_SUMMER_PEAK_PUBLIC,1,Dysinger_East,475.875891645275,542.193272731521,1129.78600995184,-66.3173810862461,1399.91077525026,fixed_interface_scale,0.00224416105788625
CURRENT,S1_2019_SUMMER_PEAK_PUBLIC,1,West_Central,32.8171856321878,123.69184166733,3586.26359158997,-90.8746560351422,4478.94684851229,fixed_interface_scale,0.000411655329755093
CURRENT,S1_2019_SUMMER_PEAK_PUBLIC,1,Moses_South,739.109346790628,785.459513718801,1129.78600995184,-46.3501669281733,1280.05315879757,fixed_interface_scale,0.00131113253362937
CURRENT,S1_2019_SUMMER_PEAK_PUBLIC,1,Central_East,768.535940237698,871.897110035751,1025.77396459119,-103.361169798053,1288.73627827504,fixed_interface_scale,0.00643260262001969
CURRENT,S1_2019_SUMMER_PEAK_PUBLIC,1,Total_East_proxy,1343.30105008907,1577.70133011957,2438.90313259444,-234.400280030505,3022.02961006405,fixed_interface_scale,0.00601615229800284
CURRENT,S1_2019_SUMMER_PEAK_PUBLIC,1,UPNY_ConEd,1150.3477629231,1288.9029196201,2044.37468467475,-138.555156697003,2533.17187902427,fixed_interface_scale,0.00299168642774305
CURRENT,S1_2019_SUMMER_PEAK_PUBLIC,1,Dunwoodie_South,814.460852720301,1066.37452850438,1560.18068040968,-251.913675784079,1988.32171313462,fixed_interface_scale,0.0160520380126437
CURRENT,S2_2019_WINTER_PEAK_PUBLIC,1,Dysinger_East,484.451883532582,984.279858700553,1388.81219228332,-499.827975167971,1399.91077525026,fixed_interface_scale,0.127479516257071
CURRENT,S2_2019_WINTER_PEAK_PUBLIC,1,West_Central,73.2668726508369,575.686902803206,4408.48670179076,-502.420030152369,4478.94684851229,fixed_interface_scale,0.0125829384733717
CURRENT,S2_2019_WINTER_PEAK_PUBLIC,1,Moses_South,384.72452183802,422.313538571587,1388.81219228332,-37.5890167335674,1280.05315879757,fixed_interface_scale,0.000862314957956741
CURRENT,S2_2019_WINTER_PEAK_PUBLIC,1,Central_East,1142.40045120025,1229.32364547806,1287.40685760866,-86.923194277806,1288.73627827504,fixed_interface_scale,0.00454928606447539
CURRENT,S2_2019_WINTER_PEAK_PUBLIC,1,Total_East_proxy,1956.1389220864,2283.25133338972,2998.07076429415,-327.11241130332,3022.02961006405,fixed_interface_scale,0.0117164653999877
CURRENT,S2_2019_WINTER_PEAK_PUBLIC,1,UPNY_ConEd,1161.28527558788,1226.26825865504,2513.08872889362,-64.9829830671601,2533.17187902427,fixed_interface_scale,0.000658066785601166
CURRENT,S2_2019_WINTER_PEAK_PUBLIC,1,Dunwoodie_South,938.953615774549,1171.71218860007,2028.1066934931,-232.758572825521,1988.32171313462,fixed_interface_scale,0.0137037068900705
CURRENT,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,0,Dysinger_East,824.507736036588,882.524160943875,2873.5423823669,-58.0164249072875,1399.91077525026,fixed_interface_scale,0.00171751766917625
CURRENT,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,0,West_Central,385.18260591471,733.300648909723,9121.44453374177,-348.118042995013,4478.94684851229,fixed_interface_scale,0.00604089447507292
CURRENT,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,0,Moses_South,679.909543128849,761.406630116302,2873.5423823669,-81.4970869874535,1280.05315879757,fixed_interface_scale,0.0040534811717726
CURRENT,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,0,Central_East,1534.37118161274,1724.74574968046,2002.35731088741,-190.374568067723,1288.73627827504,fixed_interface_scale,0.021821758923937
