case_id,case_group,scenario_id,load_mode,zone_j_total_pmax_mw,zone_j_cost_c1,rho_j_cost_c2,x_spine_multiplier,x_gl_multiplier,zone_j_q_abs_ratio,status,note,scaled_branch_count,opf_success,opf_raw_info,objective,interface_objective,max_abs_interface_residual_mw,mean_abs_interface_residual_mw,bus_count,branch_count,gen_count,total_pd_mw,total_qd_mvar,total_pg_mw,total_qg_mvar,boundary_target_p_mw,boundary_target_q_mvar,zone_j_equiv_count,zone_j_equiv_pg_mw,zone_j_equiv_pmax_mw,zone_j_fraction_pmax_used,min_voltage,max_voltage,voltage_bound_count_high,voltage_bound_count_low,branch_overload_count,max_branch_overload_mva,central_east_residual_mw,total_east_residual_mw,upny_coned_residual_mw,dunwoodie_south_residual_mw,moses_south_residual_mw,total_east_proxy_flow_mw,upny_coned_flow_mw,dunwoodie_south_flow_mw
BASE_3GW_NO_INTERFACE_OBJECTIVE,baseline,S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,250,0.02,1,1,0,ok,,12,1,1,711994.893855392,8.54793685608669,2234.29002165129,914.641342866742,49,81,32,10902.2197987,1845.27221376401,11689.3458704219,7360.50999410658,92.7889737289091,23.2551088959784,3,1794.61035652399,3000,0.598203452174664,0.905025676619216,1.1,21,0,0,0,1859.89446957802,2234.29002165129,291.853726027904,184.414843372638,-2.75365370385703,3299.15751584108,2178.87948372321,1198.14914534536
BASE_3GW_NO_INTERFACE_OBJECTIVE,baseline,S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,250,0.02,1,1,0,ok,,12,1,1,410108.946202348,40.0487015052697,1651.84073272741,915.044194907932,49,81,32,10902.2197987,1832.47457485567,11672.1550176523,7306.02762163094,1461.85190208034,366.374621967386,3,639.202546871801,3000,0.213067515623934,0.903634072677678,1.1,20,0,0,0,1651.84073272741,1395.07641153946,395.0019885104,528.451029378725,604.850812383669,3280.77414780023,2581.03123554886,1816.25749301067
BASE_3GW_NO_INTERFACE_OBJECTIVE,baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,250,0.02,1,1,0,ok,,12,1,1,563696.840721045,0.498173066999187,1048.22810598148,635.763554555556,49,81,32,10902.2197987,1949.00701812996,11655.165933526,7519.56636365839,82.3046423956917,20.6274877783239,3,1225.13889531371,3000,0.408379631771238,0.912171317715954,1.1,20,0,0,1.9658273231471e-08,901.914731843267,262.83687033597,-1048.22810598148,-953.849577038387,-11.9884875786778,3424.2518247668,2897.38745256418,2219.91600217349
BASE_3GW_NO_INTERFACE_OBJECTIVE,baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,250,0.02,1,1,0,ok,,12,1,1,768030.284422812,9.07603045408463,2246.23751591344,898.133722633087,49,81,32,10902.2197987,1854.49425179317,11688.513655329,7380.26837803783,-47.771236693892,-11.9726004800706,3,2002.26301687424,3000,0.667421005624747,0.905240419484545,1.1,21,0,0,0,1901.65292959683,2246.23751591344,198.008901565141,64.2437974808679,-80.5254686091655,3307.72894850611,2130.83521723638,1126.41629370165
BASE_3GW_NO_INTERFACE_OBJECTIVE,baseline,S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,250,0.02,1,1,0,ok,,12,1,1,789330.691111294,2.13578692488919,1595.17144393484,601.599954992963,49,81,32,10902.2197987,1848.12780101926,11691.4683989424,7340.65038613946,420.059642000211,105.276869922714,3,2073.93817227252,3000,0.691312724090841,0.904102558238476,1.1,20,0,0,0,1595.17144393484,1275.34316815737,-41.0360357199113,-16.8688807534072,-79.5802463992782,3190.56302370545,1960.23742424794,1033.58228147959
BASE_3GW_NO_INTERFACE_OBJECTIVE,baseline,S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,250,0.02,1,1,0,ok,,12,1,1,487014.018016042,832.893614671204,3750.77423594134,1920.17102819232,49,81,32,10902.2197987,1869.01737679448,11631.1441853511,7185.60778342446,-389.215064635112,-97.546490151821,3,922.701876362472,3000,0.307567292120824,0.916997537464493,1.1,21,0,0,1.99515852727927e-08,2631.01931071517,3750.77423594134,1470.20923866693,1153.9533383689,594.89901726927,3425.2077065095,2720.78804903984,1928.34004264056
RHO_SWEEP_3GW_RHO_0p02,rho_sweep,S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,250,0.02,1,1,0,ok,,12,1,1,711994.893855392,8.54793685608669,2234.29002165129,914.641342866742,49,81,32,10902.2197987,1845.27221376401,11689.3458704219,7360.50999410658,92.7889737289091,23.2551088959784,3,1794.61035652399,3000,0.598203452174664,0.905025676619216,1.1,21,0,0,0,1859.89446957802,2234.29002165129,291.853726027904,184.414843372638,-2.75365370385703,3299.15751584108,2178.87948372321,1198.14914534536
RHO_SWEEP_3GW_RHO_0p02,rho_sweep,S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,250,0.02,1,1,0,ok,,12,1,1,410108.946202348,40.0487015052697,1651.84073272741,915.044194907932,49,81,32,10902.2197987,1832.47457485567,11672.1550176523,7306.02762163094,1461.85190208034,366.374621967386,3,639.202546871801,3000,0.213067515623934,0.903634072677678,1.1,20,0,0,0,1651.84073272741,1395.07641153946,395.0019885104,528.451029378725,604.850812383669,3280.77414780023,2581.03123554886,1816.25749301067
RHO_SWEEP_3GW_RHO_0p02,rho_sweep,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,250,0.02,1,1,0,ok,,12,1,1,563696.840721045,0.498173066999187,1048.22810598148,635.763554555556,49,81,32,10902.2197987,1949.00701812996,11655.165933526,7519.56636365839,82.3046423956917,20.6274877783239,3,1225.13889531371,3000,0.408379631771238,0.912171317715954,1.1,20,0,0,1.9658273231471e-08,901.914731843267,262.83687033597,-1048.22810598148,-953.849577038387,-11.9884875786778,3424.2518247668,2897.38745256418,2219.91600217349
RHO_SWEEP_3GW_RHO_0p02,rho_sweep,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,250,0.02,1,1,0,ok,,12,1,1,768030.284422812,9.07603045408463,2246.23751591344,898.133722633087,49,81,32,10902.2197987,1854.49425179317,11688.513655329,7380.26837803783,-47.771236693892,-11.9726004800706,3,2002.26301687424,3000,0.667421005624747,0.905240419484545,1.1,21,0,0,0,1901.65292959683,2246.23751591344,198.008901565141,64.2437974808679,-80.5254686091655,3307.72894850611,2130.83521723638,1126.41629370165
