scenario_id,role,q_multiplier,is_central_q,is_nominal,case_status,build_success,provenance_complete,standard_pf_success,q_limit_pf_success,closure_converged,closure_stop_reason,closure_iteration_count,accepted_step_count,projection_attempted,projection_success,bus_count,branch_count,physical_circuit_row_count,unique_physical_circuit_count,one_branch_per_physical_circuit,total_load_mw,total_generation_mw,internal_generation_mw,external_schedule_mw,active_loss_mw,net_network_q_mvar,active_balance_identity_residual_mw,reactive_balance_identity_residual_mvar,reference_pickup_mw,restoration_slack_mw,restoration_slack_mvar,min_voltage_pu,max_voltage_pu,voltage_violation_count,generator_p_violation_count,generator_q_violation_count,branch_overload_count,max_branch_overload_mva,trusted_static_branch_count,trusted_static_branch_overload_count,trusted_static_max_loading_ratio,legacy_rated_diagnostic_branch_count,legacy_rated_diagnostic_overload_count,legacy_rated_diagnostic_max_loading_ratio,legacy_rated_diagnostic_max_overload_mva,all_rated_branch_count,all_rated_branch_overload_count,all_rated_max_loading_ratio,q_saturation_count,regulating_generator_count,q_saturation_percent,pv_to_pq_conversion_count,regulating_bus_count,unexpected_regulating_bus_count,operational_reference_bus,mapped_operational_reference_bus,mapped_reference_control_match,placeholder_internal_q_limit_count,unrestricted_external_q_count,maximum_external_q_range_mvar,interface_mae_mw,interface_max_residual_mw,interface_signed_bias_mw,original_dispatch_movement_mw,seed_dispatch_movement_mw,source_prior_dispatch_movement_mw,source_balanced_prior_dispatch_movement_mw,scenario_balanced_prior_dispatch_movement_mw,dispatch_movement_percent_of_load,dispatch_justification,non_dlr_correction_file,ward_nonworsening,baseline_ward_relative_frobenius_error,corrected_ward_relative_frobenius_error,operating_gate_pass,structural_2019_pass,included_in_diagnostic_benchmark_set,nominal_diagnostic_pass,case_files_written,input_case_file,solution_case_file,exception_identifier,exception_message
S1_2025_SUMMER_PEAK_PUBLIC,summer_peak,1,1,1,accepted_diagnostic_benchmark_case,1,1,1,1,1,final_loss_closure_tolerance,0,0,1,1,49,83,5,5,1,30644.9878,31433.4612406077,31172.6408870545,260.820353553212,788.47344060773,1954.21215101949,6.85551185597433e-07,-1.10305995804083e-06,1.16530463856179e-06,0,0,0.900006537253272,1.09999809759867,0,0,0,0,0,5,0,0.562501005313393,78,1,1.385017050918,962.542627295006,83,1,1.385017050918,0,35,0,0,7,0,73,73,1,0,0,0,71.6622375460491,98.1908409211119,28.7932529261365,19597.4409144099,176.110196049993,3482.07934598537,1971.29651751663,2102.12559067445,6.43268821114242,,C:\Users\Holiday\Desktop\npcc_ny_lite_package_fixed\WECC and NPCC Systems\System Matpower Format\NY_Lite\s11_non_dlr_admittance_correction.mat,0,0.316997354230848,0.889464927415514,1,1,1,1,1,C:\Users\Holiday\Desktop\npcc_ny_lite_package_fixed\WECC and NPCC Systems\System Matpower Format\npcc_ny_lite_s11_dlr_pf_base.m,C:\Users\Holiday\Desktop\npcc_ny_lite_package_fixed\WECC and NPCC Systems\System Matpower Format\npcc_ny_lite_s11_dlr_pf_solution.m,,
S1_2025_SUMMER_PEAK_PUBLIC,summer_peak,0.9,0,0,accepted_reactive_load_sensitivity_case,1,1,1,1,1,final_loss_closure_tolerance,0,0,1,1,49,83,5,5,1,30644.9878,31433.5953170216,31172.7749828365,260.820334185146,788.607517021617,1961.83835043452,-4.93878360430244e-09,-6.30227532383287e-08,3.00587998935953e-09,0,0,0.900101535597602,1.09998306865142,0,0,0,0,0,5,0,0.561681001993383,78,1,1.38438192197359,960.954804933971,83,1,1.38438192197359,0,35,0,0,7,0,73,73,1,0,0,0,71.5341497557633,98.1279588947952,28.5958252013659,19597.5722347128,176.136397869391,3482.16296683056,1971.38013836182,2102.09938885506,6.43296108070835,,C:\Users\Holiday\Desktop\npcc_ny_lite_package_fixed\WECC and NPCC Systems\System Matpower Format\NY_Lite\s11_non_dlr_admittance_correction.mat,0,0.316997354230848,0.889464927415514,1,1,1,0,1,,C:\Users\Holiday\Desktop\npcc_ny_lite_package_fixed\WECC and NPCC Systems\System Matpower Format\npcc_ny_lite_s11_dlr_summer_peak_q090_sensitivity.m,,
S1_2025_SUMMER_PEAK_PUBLIC,summer_peak,1.1,0,0,accepted_reactive_load_sensitivity_case,1,1,1,1,1,final_loss_closure_tolerance,0,0,1,1,49,83,5,5,1,30644.9878,31433.5282340965,31172.707855974,260.820378122506,788.540434096529,1959.77751128526,-2.06953245651675e-08,-1.13985834104824e-07,1.93267624126747e-11,0,0,0.900045147427437,1.09999035620677,0,0,0,0,0,5,0,0.562159135787616,78,1,1.38496514262371,962.41285655927,83,1,1.38496514262371,0,35,0,0,7,0,73,73,1,0,0,0,71.5704225290582,98.1382940368853,28.6536866571309,19597.5069196182,176.098863553307,3482.12879590816,1971.34596743942,2102.13692317114,6.43284957496189,,C:\Users\Holiday\Desktop\npcc_ny_lite_package_fixed\WECC and NPCC Systems\System Matpower Format\NY_Lite\s11_non_dlr_admittance_correction.mat,0,0.316997354230848,0.889464927415514,1,1,1,0,1,,C:\Users\Holiday\Desktop\npcc_ny_lite_package_fixed\WECC and NPCC Systems\System Matpower Format\npcc_ny_lite_s11_dlr_summer_peak_q110_sensitivity.m,,
S2_2025_WINTER_PEAK_PUBLIC,winter_peak,1,1,0,excluded_by_mandatory_gate,1,1,1,1,1,final_loss_closure_tolerance,0,0,0,0,49,83,5,5,1,23521.3492,24208.6768053191,21054.7568053191,3153.92,687.327605319068,1596.18465403609,1.04591890703887e-11,6.82121026329696e-13,0.0198827961369119,0,0,0.900010889525536,1.09969123226097,0,0,0,0,0,5,0,0.465036954544269,78,2,2.26638958605831,1000.37407291132,83,2,2.26638958605831,8,35,22.8571428571429,3,7,0,73,73,1,0,0,0,41.4412832065327,80.9153888097526,-20.6897238519022,8616.04755559201,216.900621319068,8029.41719468094,3199.39705888345,2175.54057827899,13.602098381684,,C:\Users\Holiday\Desktop\npcc_ny_lite_package_fixed\WECC and NPCC Systems\System Matpower Format\NY_Lite\s11_non_dlr_admittance_correction.mat,0,0.316997354230848,0.889464927415514,0,1,0,0,0,,,,
S2_2025_WINTER_PEAK_PUBLIC,winter_peak,0.9,0,0,excluded_by_mandatory_gate,1,1,1,1,1,final_loss_closure_tolerance,0,0,0,0,49,83,5,5,1,23521.3492,24208.6768053191,21054.7568053191,3153.92,687.327605319057,1596.18465403161,-3.75166564481333e-12,2.27373675443232e-13,0.0198827961512364,0,0,0.900010889525535,1.09969123226097,0,0,0,0,0,5,0,0.465036954544382,78,2,2.2663895860582,1000.37407291124,83,2,2.2663895860582,8,35,22.8571428571429,3,7,0,73,73,1,0,0,0,41.4412832065022,80.9153888096175,-20.6897238518713,8616.04755559202,216.900621319065,8029.41719468094,3199.39705888345,2175.54057827897,13.602098381684,,C:\Users\Holiday\Desktop\npcc_ny_lite_package_fixed\WECC and NPCC Systems\System Matpower Format\NY_Lite\s11_non_dlr_admittance_correction.mat,0,0.316997354230848,0.889464927415514,0,1,0,0,0,,,,
S2_2025_WINTER_PEAK_PUBLIC,winter_peak,1.1,0,0,excluded_by_mandatory_gate,1,1,1,1,1,final_loss_closure_tolerance,0,0,0,0,49,83,5,5,1,23521.3492,24208.6768053191,21054.7568053191,3153.92,687.32760531906,1596.18465403968,8.07176547823474e-12,1.9554136088118e-11,0.0198827961462342,0,0,0.900010889525536,1.09969123226097,0,0,0,0,0,5,0,0.465036954544161,78,2,2.2663895860584,1000.37407291139,83,2,2.2663895860584,8,35,22.8571428571429,3,7,0,73,73,1,0,0,0,41.44128320656,80.9153888098854,-20.6897238519355,8616.047555592,216.900621319063,8029.41719468094,3199.39705888347,2175.54057827897,13.6020983816841,,C:\Users\Holiday\Desktop\npcc_ny_lite_package_fixed\WECC and NPCC Systems\System Matpower Format\NY_Lite\s11_non_dlr_admittance_correction.mat,0,0.316997354230848,0.889464927415514,0,1,0,0,0,,,,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,high_total_east,1,1,0,excluded_by_mandatory_gate,1,1,1,1,0,hard_q_no_improving_redispatch_step,3,2,1,1,49,83,5,5,1,28333.182,29293.0911359982,28201.4151400783,1091.67599591982,959.909135998161,1034.92728048176,1.47792889038101e-12,1.9554136088118e-11,-9.400839871887e-06,0,0,0.931144800317555,1.10000004730498,0,0,0,0,0,5,0,0.528015571861651,78,3,1.49008101209021,387.135478306603,83,3,1.49008101209021,9,35,25.7142857142857,2,7,0,73,73,1,0,0,0,156.799687829111,318.407047076877,-86.4007434193956,16203.2521406518,872.25295650221,3237.88309839451,3410.42391402457,3516.05966006542,12.0368545757571,,C:\Users\Holiday\Desktop\npcc_ny_lite_package_fixed\WECC and NPCC Systems\System Matpower Format\NY_Lite\s11_non_dlr_admittance_correction.mat,0,0.316997354230848,0.889464927415514,0,1,0,0,0,,,,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,high_total_east,0.9,0,0,excluded_by_mandatory_gate,1,1,1,1,0,hard_q_no_improving_redispatch_step,3,2,1,1,49,83,5,5,1,28333.182,29293.0911360017,28201.4151400819,1091.67599591982,959.909136001748,1034.92728058839,1.50066625792533e-11,-3.04680725093931e-11,-9.40081167755125e-06,0,0,0.931144800317558,1.10000004730498,0,0,0,0,0,5,0,0.528015571861936,78,3,1.49008101208922,387.13547830582,83,3,1.49008101208922,9,35,25.7142857142857,2,7,0,73,73,1,0,0,0,156.799687827019,318.40704707658,-86.4007434221736,16203.2521406555,872.252956125758,3237.88309876863,3410.4239140093,3516.05966005594,12.0368545757032,,C:\Users\Holiday\Desktop\npcc_ny_lite_package_fixed\WECC and NPCC Systems\System Matpower Format\NY_Lite\s11_non_dlr_admittance_correction.mat,0,0.316997354230848,0.889464927415514,0,1,0,0,0,,,,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,high_total_east,1.1,0,0,excluded_by_mandatory_gate,1,1,1,1,0,hard_q_no_improving_redispatch_step,3,2,1,1,49,83,5,5,1,28333.182,29293.0911359974,28201.4151400776,1091.67599591982,959.909135997423,1034.92728040561,1.00044417195022e-11,1.20508047984913e-11,-9.40080985856184e-06,0,0,0.931144800317552,1.10000004730498,0,0,0,0,0,5,0,0.528015571861622,78,3,1.49008101209004,387.135478306471,83,3,1.49008101209004,9,35,25.7142857142857,2,7,0,73,73,1,0,0,0,156.799687829002,318.407047076889,-86.4007434196651,16203.2521406511,872.252956573839,3237.88309832251,3410.42391402324,3516.05966006443,12.0368545757523,,C:\Users\Holiday\Desktop\npcc_ny_lite_package_fixed\WECC and NPCC Systems\System Matpower Format\NY_Lite\s11_non_dlr_admittance_correction.mat,0,0.316997354230848,0.889464927415514,0,1,0,0,0,,,,
PERFORM_2019_SOURCE,structural_benchmark_source,1,1,0,shared_structural_benchmark_pass,1,1,1,1,0,,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,625.937880307882,717.582967333684,8.99831320566591e-10,-1.66403424373129e-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,377,16.1803713527851,29,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,0,NaN,NaN,1,1,0,0,0,,,,
