source_bus,bus_name,base_kv,area,pd_mw,retention_reason
573,UNKNOWN130013,115,69,2.08,generator_or_boundary;
575,FAY STREET,115,67,4.18,generator_or_boundary;
577,UNKNOWN130194,69,75,13.91,generator_or_boundary;
580,NEWBRIDGE ROAD,345,75,0,switched_shunt;generator_or_boundary;hv_backbone;
587,WHITESIDE,69,75,13.91,switched_shunt;
589,EAST GARDEN CITY,345,75,0,switched_shunt;generator_or_boundary;hv_backbone;
590,DUFFY AVENUE CONVERTER STATION,345,75,0,hv_backbone;
593,DUNWOODIE,345,72,0,hv_backbone;
594,SPRAIN BROOK,345,72,0,monitored_circuit;hv_backbone;
595,BRUCKNER,138,74,440.64,generator_or_boundary;
596,TREMONT,138,74,522.5,monitored_circuit;
600,EAST 179TH STREET,138,74,557.76,monitored_circuit;
608,HOLBROOK,138,75,148.8,switched_shunt;
609,HOLTSVILLE MGU,69,75,50.64,switched_shunt;generator_or_boundary;
614,BRENTWOOD,69,75,41.74,generator_or_boundary;
619,RONKONKOMA,138,75,19.67,generator_or_boundary;
621,TAP135492,69,75,29.22,switched_shunt;
623,FAR ROCKAWAY,69,74,202.2,switched_shunt;generator_or_boundary;
626,VALLEY STREAM,69,75,36.17,monitored_circuit;
628,JAMAICA,138,74,460.38,monitored_circuit;
630,ROTTERDAM,230,70,0,monitored_circuit;hv_backbone;
632,GROOMS ROAD,115,70,3.42,generator_or_boundary;
637,EASTOVER,230,70,0,hv_backbone;
638,STURGEON POOL,69,71,12.39,generator_or_boundary;
644,HURLEY AVENUE,345,71,0,hv_backbone;
651,PLEASANT VALLEY,345,71,0,monitored_circuit;generator_or_boundary;hv_backbone;
682,TAP135771,115,70,6.84,generator_or_boundary;
683,MOHICAN,115,70,20.53,generator_or_boundary;
685,UNKNOWN135780,115,70,3.42,generator_or_boundary;
693,BATTENKILL,115,70,10.27,generator_or_boundary;
705,JOHNSON ROAD,115,70,10.27,generator_or_boundary;
706,MAPLEWOOD,115,70,13.69,generator_or_boundary;
722,REYNOLDS,345,70,0,hv_backbone;
733,TAP135909,69,75,22.26,switched_shunt;
735,EAST HAMPTON,69,75,6.96,generator_or_boundary;
736,EAST HAMPTON,69,75,48.69,switched_shunt;
737,BRIDGEHAMPTON,69,75,34.78,switched_shunt;generator_or_boundary;
738,SOUTHAMPTON,69,75,15.3,switched_shunt;generator_or_boundary;
739,CANAL,69,75,30.61,switched_shunt;
740,TIANA,69,75,30.61,switched_shunt;
759,TAP135973,230,68,0,generator_or_boundary;hv_backbone;
760,TAP135974,230,68,0,hv_backbone;
761,TAP135975,230,68,0,generator_or_boundary;hv_backbone;
762,TAP135976,230,68,0,hv_backbone;
763,TAP135977,230,68,0,hv_backbone;
764,TAP135978,230,68,0,hv_backbone;
765,RYAN,230,68,0,hv_backbone;
766,DULEY,230,68,0,hv_backbone;
768,WILLIS,230,69,0,generator_or_boundary;hv_backbone;
772,ROCK TAVERN,345,71,0,hv_backbone;
773,RAMAPO,500,71,0,generator_or_boundary;hv_backbone;
774,LADENTOWN,345,71,0,monitored_circuit;hv_backbone;
799,ALPS,345,70,0,generator_or_boundary;hv_backbone;
800,NEW SCOTLAND,345,70,0,monitored_circuit;hv_backbone;
