interface_name,aggregate_name,zone_boundary,positive_direction,branch_index,branch_from,branch_from_name,branch_to,branch_to_name,metered_bus,metered_end,flow_column,sign,original_or_added,candidate_name,target_source
Total_East_proxy,Total_East_proxy,F-G,F_to_G,34,37,NEW SEATHED ,39,LEEDS       ,37,from,PF,1,original,,Matched Perform flow/PTDF target preferred
Central_East,Central_East,E-F,E_to_F,36,37,NEW SEATHED ,43,EDIC        ,43,to,PT,1,original,,Matched Perform flow/PTDF target preferred
Central_East,Central_East,E-F,E_to_F,40,40,NEW SEATHED ,44,PORTER      ,44,to,PT,1,original,,Matched Perform flow/PTDF target preferred
Central_East,Central_East,E-F,E_to_F,42,41,ROTTERDAM   ,45,PORTER      ,45,to,PT,1,original,,Matched Perform flow/PTDF target preferred
Moses_South,Moses_South,D-E,D_to_E,47,44,PORTER      ,48,MOSES E     ,48,to,PT,1,original,,Matched Perform flow/PTDF target preferred
Moses_South,Moses_South,D-E,D_to_E,48,45,PORTER      ,46,COLTON      ,46,to,PT,1,original,,Matched Perform flow/PTDF target preferred
UPNY_ConEd,UPNY_ConEd,G-H,G_to_H,88,73,PLEASANT VLY,74,MILLWOOD    ,73,from,PF,1,original,,Matched Perform flow/PTDF target preferred
UPNY_ConEd,UPNY_ConEd,G-H,G_to_H,89,73,PLEASANT VLY,74,MILLWOOD    ,73,from,PF,1,original,,Matched Perform flow/PTDF target preferred
Millwood_South,Millwood_South,H-I,H_to_I,91,74,MILLWOOD    ,78,CE UG       ,74,from,PF,1,original,,Matched Perform flow/PTDF target preferred
Millwood_South,Millwood_South,H-I,H_to_I,92,74,MILLWOOD    ,78,CE UG       ,74,from,PF,1,original,,Matched Perform flow/PTDF target preferred
UPNY_ConEd,UPNY_ConEd,G-H,G_to_H,94,76,RAMAPO      ,77,BUCHANAN    ,76,from,PF,1,original,,Matched Perform flow/PTDF target preferred
Dunwoodie_South,Dunwoodie_South,I-J,I_to_J,95,78,CE UG       ,79,RAV A-3     ,78,from,PF,1,original,,Matched Perform flow/PTDF target preferred
ConEd_LIPA_IK,ConEd_LIPA_total,I-K,I_to_K,96,78,CE UG       ,80,NORTHPORT   ,78,from,PF,1,original,,Matched Perform flow/PTDF target preferred
Dunwoodie_South,Dunwoodie_South,I-J,I_to_J,97,78,CE UG       ,81,GOETHALS    ,78,from,PF,1,original,,Matched Perform flow/PTDF target preferred
Dunwoodie_South,Dunwoodie_South,I-J,I_to_J,98,78,CE UG       ,82,AK-3        ,78,from,PF,1,original,,Matched Perform flow/PTDF target preferred
Total_East_proxy,Total_East_proxy,F-G,F_to_G,234,38,GILBOA      ,39,LEEDS       ,38,from,PF,1,added,GILBOA_LEEDS,Matched Perform flow/PTDF target preferred
