scenario_id,variant_id,zone,npcc_bus_id,npcc_bus_name,zone_target_generation_mw,perform_bus_weight,ideal_bus_pg_mw,applied_bus_pg_mw,capacity_redispatch_mw,bus_pmin_mw,bus_pmax_mw,source_rule,confidence
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,C,65,GESONIDGE,2511.2,NaN,7.481832143219,7.481832143219,0,0,7.481832143219,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,C,68,HILLSIDE,2511.2,NaN,271.054008885173,271.054008885173,0,0,271.054008885173,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,C,71,BINGHAMTON,2511.2,NaN,643.677757785503,643.677757785503,0,0,643.677757785503,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,C,72,LAPEER,2511.2,NaN,190.859261556085,190.859261556085,0,0,190.859261556085,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,I,78,CE UG,0,NaN,0,0,0,0,565.099092,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,J,79,RAV A-3,2665.32992322799,NaN,1066.94556909402,1066.94556909402,0,0,1777.453484,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,K,80,NORTHPORT,1603.17038873812,NaN,1120.98796628237,1120.98796628237,0,0,1784.929342,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,J,82,AK-3,2665.32992322799,NaN,1112.74317846456,1112.74317846456,0,0,1519.623976,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,J,81,GOETHALS,2665.32992322799,NaN,485.641175669405,485.641175669405,0,0,900,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,E,43,EDIC,0,NaN,0,0,0,0,400,S4 ACOPF bus dispatch,reference
