scenario_id,voltage_reference_set,sweep_direction,start_mode,perturbation_id,boundary_q_mode,reference_weight,external_interface_name,gen_index,bus_id,pg_mw,qg_mvar,target_q_mvar,q_deviation_mvar,qmin_mvar,qmax_mvar
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.875,HQ_NY_MOSES,36,48,-482.986323004847,500,-121.047533070407,621.047533070407,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.875,NE_NY_NORTHFIELD,37,37,95.302847793564,-500,23.8853956683908,-523.885395668391,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.875,NE_NY_PV,38,73,142.956767960399,203.416808975297,35.8280935025862,167.588715472711,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.875,OH_NY_NIAGARA,39,54,406.012236517478,-466.451212709918,101.756508871492,-568.20772158141,-750,750
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.875,PJM_NY_WATERCURE,40,66,-27.6430101593817,214.307608673706,-6.92824201780835,221.235850691514,-750,750
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.875,PJM_NY_WRHL,41,67,-11.8464329254493,18.4098899499416,-2.96924657906072,21.3791365290023,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.875,PJM_NY_RAMAPO,42,75,-19.7447253573325,0.0266782461677903,-4.94874429843453,4.97542254460232,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.875,PJM_NY_GOETHALS,43,81,-19.7447252816309,280.502332346654,-4.94874429843453,285.451076645089,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.9,HQ_NY_MOSES,36,48,-482.986322866686,500,-121.047533070407,621.047533070407,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.9,NE_NY_NORTHFIELD,37,37,95.3028480284999,-500,23.8853956683908,-523.885395668391,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.9,NE_NY_PV,38,73,142.956765983588,296.300717218925,35.8280935025862,260.472623716338,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.9,OH_NY_NIAGARA,39,54,406.012236517478,-450.310283014236,101.756508871492,-552.066791885728,-750,750
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.9,PJM_NY_WATERCURE,40,66,-27.6430101593817,209.188959174519,-6.92824201780835,216.117201192327,-750,750
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.9,PJM_NY_WRHL,41,67,-11.8464329254493,11.746084822743,-2.96924657906072,14.7153314018037,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.9,PJM_NY_RAMAPO,42,75,-19.7447277611347,0.0272660350499546,-4.94874429843453,4.97601033348448,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.9,PJM_NY_GOETHALS,43,81,-19.7447274607697,342.511998836015,-4.94874429843453,347.46074313445,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.925,HQ_NY_MOSES,36,48,-482.98632379245,500,-121.047533070407,621.047533070407,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.925,NE_NY_NORTHFIELD,37,37,95.3028479321944,-500,23.8853956683908,-523.885395668391,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.925,NE_NY_PV,38,73,142.95676665039,391.196530937418,35.8280935025862,355.368437434832,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.925,OH_NY_NIAGARA,39,54,406.012236517478,-433.877623265628,101.756508871492,-535.63413213712,-750,750
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.925,PJM_NY_WATERCURE,40,66,-27.6430101593817,203.989852509122,-6.92824201780835,210.918094526931,-750,750
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.925,PJM_NY_WRHL,41,67,-11.8464329254493,5.08782938658297,-2.96924657906072,8.05707596564369,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.925,PJM_NY_RAMAPO,42,75,-19.7447269840994,0.0279384940546728,-4.94874429843453,4.9766827924892,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.925,PJM_NY_GOETHALS,43,81,-19.7447267479586,404.83550135541,-4.94874429843453,409.784245653844,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.95,HQ_NY_MOSES,36,48,-482.986324521912,500,-121.047533070407,621.047533070407,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.95,NE_NY_NORTHFIELD,37,37,95.3028479861073,-500,23.8853956683908,-523.885395668391,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.95,NE_NY_PV,38,73,142.956766993936,261.474555047632,35.8280935025862,225.646461545046,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.95,OH_NY_NIAGARA,39,54,406.012236517478,-415.004501710041,101.756508871492,-516.761010581533,-750,750
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.95,PJM_NY_WATERCURE,40,66,-27.6430101593817,125.805125385325,-6.92824201780835,132.733367403134,-750,750
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.95,PJM_NY_WRHL,41,67,-11.8464329254493,-1.58808467183192,-2.96924657906072,1.3811619072288,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.95,PJM_NY_RAMAPO,42,75,-19.7447265415008,0.025398293304529,-4.94874429843453,4.97414259173906,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.95,PJM_NY_GOETHALS,43,81,-19.7447263592658,235.389164183593,-4.94874429843453,240.337908482028,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.975,HQ_NY_MOSES,36,48,-482.986326633401,500,-121.047533070407,621.047533070407,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.975,NE_NY_NORTHFIELD,37,37,95.3028477000341,-480.102841127108,23.8853956683908,-503.988236795499,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.975,NE_NY_PV,38,73,142.956768667399,499.99997358832,35.8280935025862,464.171880085734,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.975,OH_NY_NIAGARA,39,54,406.012236517478,-425.727083125699,101.756508871492,-527.483591997191,-750,750
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.975,PJM_NY_WATERCURE,40,66,-27.6430101593817,52.1317498156393,-6.92824201780835,59.0599918334476,-750,750
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.975,PJM_NY_WRHL,41,67,-11.8464329254493,-6.79322153387596,-2.96924657906072,-3.82397495481524,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.975,PJM_NY_RAMAPO,42,75,-19.7447246985642,75.2336151794754,-4.94874429843453,80.18235947791,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.975,PJM_NY_GOETHALS,43,81,-19.7447246537927,15.0771261264965,-4.94874429843453,20.025870424931,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,HQ_NY_MOSES,36,48,-482.986322946499,250.499584063023,-121.047533070407,371.54711713343,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,NE_NY_NORTHFIELD,37,37,95.3028482791351,358.994427283329,23.8853956683908,335.109031614938,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,NE_NY_PV,38,73,142.956756899046,-199.887419977828,35.8280935025862,-235.715513480414,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,OH_NY_NIAGARA,39,54,406.012236517478,-477.326678179255,101.756508871492,-579.083187050747,-750,750
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,PJM_NY_WATERCURE,40,66,-27.6430101593817,38.3509816706771,-6.92824201780835,45.2792236884855,-750,750
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,PJM_NY_WRHL,41,67,-11.8464329254493,-8.50478288830672,-2.96924657906072,-5.535536309246,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,PJM_NY_RAMAPO,42,75,-19.7447373346809,151.848369442273,-4.94874429843453,156.797113740708,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,PJM_NY_GOETHALS,43,81,-19.7447367303084,499.999922516335,-4.94874429843453,504.94866681477,-500,500
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.8,HQ_NY_MOSES,36,48,-482.986326633401,-121.047433070407,-121.047533070407,0.00010000000000332,-121.047633070407,-121.047433070407
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.8,NE_NY_NORTHFIELD,37,37,95.3028474725107,23.8853313042454,23.8853956683908,-6.43641453841326e-05,23.8852956683908,23.8854956683908
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.8,NE_NY_PV,38,73,142.954771208766,35.8281911253149,35.8280935025862,9.76227287026177e-05,35.8279935025862,35.8281935025862
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.8,OH_NY_NIAGARA,39,54,406.012236517478,101.75641074359,101.756508871492,-9.81279020777492e-05,101.756408871492,101.756608871492
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.8,PJM_NY_WATERCURE,40,66,-27.6450101593817,-6.92814513189226,-6.92824201780835,9.68859160925817e-05,-6.92834201780835,-6.92814201780835
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.8,PJM_NY_WRHL,41,67,-11.8484329254493,-2.96914931429026,-2.96924657906072,9.72647704617913e-05,-2.96934657906072,-2.96914657906072
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.8,PJM_NY_RAMAPO,42,75,-19.7467215424155,-4.9486446707191,-4.94874429843453,9.96277154303726e-05,-4.94884429843453,-4.94864429843453
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.8,PJM_NY_GOETHALS,43,81,-19.7467215424155,-4.94864656091674,-4.94874429843453,9.77375177892981e-05,-4.94884429843453,-4.94864429843453
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.825,HQ_NY_MOSES,36,48,-482.985269710382,-121.047533068923,-121.047533070407,1.48391166021611e-09,-121.047633070407,-121.047433070407
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.825,NE_NY_NORTHFIELD,37,37,95.304262051346,23.8853959624858,23.8853956683908,2.94095016784013e-07,23.8852956683908,23.8854956683908
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.825,NE_NY_PV,38,73,142.956258002406,35.8280935587978,35.8280935025862,5.62116184710248e-08,35.8279935025862,35.8281935025862
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.825,OH_NY_NIAGARA,39,54,406.012253000251,101.756412594116,101.756508871492,-9.62773761017388e-05,101.756408871492,101.756608871492
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.825,PJM_NY_WATERCURE,40,66,-27.6431301567751,-6.92824687398067,-6.92824201780835,-4.85617231671398e-06,-6.92834201780835,-6.92814201780835
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.825,PJM_NY_WRHL,41,67,-11.8465265307791,-2.96925236119978,-2.96924657906072,-5.78213906488045e-06,-2.96934657906072,-2.96914657906072
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.825,PJM_NY_RAMAPO,42,75,-19.7452291086265,-4.94874429837301,-4.94874429843453,6.15205664189489e-11,-4.94884429843453,-4.94864429843453
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.825,PJM_NY_GOETHALS,43,81,-19.7452220352565,-4.94874429842932,-4.94874429843453,5.21449550205944e-12,-4.94884429843453,-4.94864429843453
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.85,HQ_NY_MOSES,36,48,-482.984326633401,-121.047433070407,-121.047533070407,0.00010000000000332,-121.047633070407,-121.047433070407
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.85,NE_NY_NORTHFIELD,37,37,95.3028511573822,23.8853351881625,23.8853956683908,-6.04802283383776e-05,23.8852956683908,23.8854956683908
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.85,NE_NY_PV,38,73,142.956765802523,35.828093502585,35.8280935025862,-1.24344978758018e-12,35.8279935025862,35.8281935025862
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.85,OH_NY_NIAGARA,39,54,406.012236517478,101.756408871492,101.756508871492,-0.00010000000000332,101.756408871492,101.756608871492
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.85,PJM_NY_WATERCURE,40,66,-27.6430101593817,-6.92834056703087,-6.92824201780835,-9.85492225176188e-05,-6.92834201780835,-6.92814201780835
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.85,PJM_NY_WRHL,41,67,-11.8464329254493,-2.96934652166586,-2.96924657906072,-9.99426051451202e-05,-2.96934657906072,-2.96914657906072
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.85,PJM_NY_RAMAPO,42,75,-19.7447275565082,-4.94874429633193,-4.94874429843453,2.10259631927556e-09,-4.94884429843453,-4.94864429843453
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.85,PJM_NY_GOETHALS,43,81,-19.744727432217,-4.94874429843133,-4.94874429843453,3.19566595408105e-12,-4.94884429843453,-4.94864429843453
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.875,HQ_NY_MOSES,36,48,-482.984326633401,-121.047433070407,-121.047533070407,0.00010000000000332,-121.047633070407,-121.047433070407
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.875,NE_NY_NORTHFIELD,37,37,95.3028573777528,23.8853816856089,23.8853956683908,-1.39827818728122e-05,23.8852956683908,23.8854956683908
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.875,NE_NY_PV,38,73,142.956762765848,35.8280935024767,35.8280935025862,-1.09501741007989e-10,35.8279935025862,35.8281935025862
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.875,OH_NY_NIAGARA,39,54,406.012236517478,101.756408871492,101.756508871492,-0.00010000000000332,101.756408871492,101.756608871492
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.875,PJM_NY_WATERCURE,40,66,-27.6430101593817,-6.92814201780835,-6.92824201780835,9.99999999997669e-05,-6.92834201780835,-6.92814201780835
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.875,PJM_NY_WRHL,41,67,-11.8464329254493,-2.96914657906072,-2.96924657906072,0.000100000000000211,-2.96934657906072,-2.96914657906072
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.875,PJM_NY_RAMAPO,42,75,-19.7447311312901,-4.94874429786722,-4.94874429843453,5.673079783719e-10,-4.94884429843453,-4.94864429843453
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.875,PJM_NY_GOETHALS,43,81,-19.7447306179723,-4.94874429845636,-4.94874429843453,-2.18269846641306e-11,-4.94884429843453,-4.94864429843453
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.9,HQ_NY_MOSES,36,48,-482.984326633401,-121.047433070407,-121.047533070407,0.00010000000000332,-121.047633070407,-121.047433070407
