source_bus,source_bus_name,generator_id,source_zone,pg_mw,qg_mvar,qmin_mvar,qmax_mvar,pmin_mw,pmax_mw,voltage_target_pu,raw_ireg,regulated_bus,regulated_bus_name,regulated_zone,remote_regulation,regulated_bus_found,status,converted_status,snapshot_effective_status,raw_converted_status_mismatch,mapped_to_nyiso_zone,converted_gen_index,converted_genfuel,device_class,native_generator,reactive_only_QS,fixed_import_or_boundary_equivalent,synchronous_condenser,storage_or_pumping,offline,positive_active_capability,fixed_negative_active,originated_from_shunt_as_generator_conversion,control_group_id,classification_rule,classification_confidence,source_format,source_file
17,UNKNOWN12~15,4,K,11.2,-9.9,-9.9,11.7,11.2,18,1.01,0,17,UNKNOWN12~15,K,0,1,1,1,1,0,1,10,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_17,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
17,UNKNOWN12~15,5,K,11.4,-9.9,-9.9,11.7,11.4,18,1.01,0,17,UNKNOWN12~15,K,0,1,1,1,1,0,1,11,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_17,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
17,UNKNOWN12~15,6,K,10.7,-9.9,-9.9,11.7,10.7,18,1.01,0,17,UNKNOWN12~15,K,0,1,1,1,1,0,1,12,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_17,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
17,UNKNOWN12~15,7,K,9,-9.9,-9.9,11.7,9,18,1.01,0,17,UNKNOWN12~15,K,0,1,1,1,1,0,1,13,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_17,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
17,UNKNOWN12~15,8,K,29.8,-23,-23,27.2,29.8,41.8,1.01,0,17,UNKNOWN12~15,K,0,1,1,1,1,0,1,14,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_17,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
17,UNKNOWN12~15,9,K,0,0,-23,27.2,30,41.8,1.01,0,17,UNKNOWN12~15,K,0,1,0,0,0,0,1,15,ng,offline,0,0,0,0,0,1,0,0,0,K_REG_BUS_17,RAW STAT is offline,high,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
18,GLENWOOD L~1,1,K,15.899,-8.8,-8.8,10.4,10,16,1.01,0,18,GLENWOOD L~1,K,0,1,1,1,1,0,1,20,dfo,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_18,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
18,GLENWOOD L~1,2,K,52.664,-16.382,-29.2,34.5,37,53,1.01,0,18,GLENWOOD L~1,K,0,1,1,1,1,0,1,21,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_18,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
18,GLENWOOD L~1,3,K,52.664,-16.382,-29.2,34.5,37,53,1.01,0,18,GLENWOOD L~1,K,0,1,1,1,1,0,1,22,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_18,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
18,GLENWOOD L~1,4,K,54.651,-16.382,-30.3,35.8,40,55,1.01,0,18,GLENWOOD L~1,K,0,1,1,1,1,0,1,23,dfo,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_18,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
18,GLENWOOD L~1,5,K,0,0,-30.3,35.8,44.1,55,1.01,0,18,GLENWOOD L~1,K,0,1,0,0,0,0,1,24,ng,offline,0,0,0,0,0,1,0,0,0,K_REG_BUS_18,RAW STAT is offline,high,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
19,NORTHPORT,1,K,15.899,-8.8,-8.8,10.4,10.6,16,1.02,0,19,NORTHPORT,K,0,1,1,1,1,0,1,25,dfo,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_19,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
19,NORTHPORT,2,K,0,0,-212.9,251.6,40,387,1.02,0,19,NORTHPORT,K,0,1,0,0,0,0,1,26,ng,offline,0,0,0,0,0,1,0,0,0,K_REG_BUS_19,RAW STAT is offline,high,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
19,NORTHPORT,3,K,384.548,-12.677,-212.9,251.6,30,387,1.02,0,19,NORTHPORT,K,0,1,1,1,1,0,1,27,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_19,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
19,NORTHPORT,4,K,387,-12.677,-212.9,251.6,40,387,1.02,0,19,NORTHPORT,K,0,1,1,1,1,0,1,28,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_19,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
19,NORTHPORT,5,K,387,-12.677,-212.9,251.6,40,387,1.02,0,19,NORTHPORT,K,0,1,1,1,1,0,1,29,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_19,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
19,NORTHPORT,x,K,130,-12.677,-9900,9900,130,130,1.02,0,19,NORTHPORT,K,0,1,1,1,1,0,1,30,import,fixed_import_or_boundary_equivalent,0,0,1,0,0,0,1,0,0,K_REG_BUS_19,converted import/reference fuel or fixed negative P,high,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
21,UNKNOWN12~17,1,E,10.782,7.2,-6.1,7.2,0.2,11,1.02,0,21,UNKNOWN12~17,E,0,1,1,1,1,0,1,31,hydro,native_generator,1,0,0,0,0,0,1,0,0,E_REG_BUS_21,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
21,UNKNOWN12~17,2,E,11.763,7.8,-6.6,7.8,0.2,12,1.02,0,21,UNKNOWN12~17,E,0,1,1,1,1,0,1,32,hydro,native_generator,1,0,0,0,0,0,1,0,0,E_REG_BUS_21,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
21,UNKNOWN12~17,3,E,12.743,8.5,-7.2,8.5,0.2,13,1.02,0,21,UNKNOWN12~17,E,0,1,1,1,1,0,1,33,hydro,native_generator,1,0,0,0,0,0,1,0,0,E_REG_BUS_21,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
24,UNKNOWN12~20,1,C,8.822,4.911,-5,5.9,3,9,1.02,0,24,UNKNOWN12~20,C,0,1,1,1,1,0,1,34,hydro,native_generator,1,0,0,0,0,0,1,0,0,C_REG_BUS_24,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
24,UNKNOWN12~20,2,C,8.822,4.911,-5,5.9,3,9,1.02,0,24,UNKNOWN12~20,C,0,1,1,1,1,0,1,35,hydro,native_generator,1,0,0,0,0,0,1,0,0,C_REG_BUS_24,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
24,UNKNOWN12~20,3,C,8.822,4.911,-5,5.9,3,9,1.02,0,24,UNKNOWN12~20,C,0,1,1,1,1,0,1,36,hydro,native_generator,1,0,0,0,0,0,1,0,0,C_REG_BUS_24,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
24,UNKNOWN12~20,4,C,8.822,4.911,-5,5.9,3,9,1.02,0,24,UNKNOWN12~20,C,0,1,1,1,1,0,1,37,hydro,native_generator,1,0,0,0,0,0,1,0,0,C_REG_BUS_24,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
26,UNKNOWN12~22,C1,J,595,37.491,-416.5,446.25,320,595,1.02,0,26,UNKNOWN12~22,J,0,1,1,1,1,0,1,38,ng,native_generator,1,0,0,0,0,0,1,0,0,J_REG_BUS_26,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
26,UNKNOWN12~22,C2,J,650,37.491,-455,487.5,320,650,1.02,0,26,UNKNOWN12~22,J,0,1,1,1,1,0,1,39,ng,native_generator,1,0,0,0,0,0,1,0,0,J_REG_BUS_26,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
27,UNKNOWN12~23,C1,C,121.823,44.838,-85.82,91.95,42,122.6,1.02,0,27,UNKNOWN12~23,C,0,1,1,1,1,0,1,40,ng,native_generator,1,0,0,0,0,0,1,0,0,C_REG_BUS_27,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
28,UNKNOWN12~24,C1,E,0,0,-44.03,47.175,35,62.9,1.02,0,28,UNKNOWN12~24,E,0,1,0,0,0,0,1,41,ng,offline,0,0,0,0,0,1,0,0,0,E_REG_BUS_28,RAW STAT is offline,high,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
29,UNKNOWN12~25,1,C,111.29,-7.888,-61.6,72.8,32,112,1.02,0,29,UNKNOWN12~25,C,0,1,1,1,1,0,1,42,ng,native_generator,1,0,0,0,0,0,1,0,0,C_REG_BUS_29,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
30,UNKNOWN12~26,1,C,4.074,-1.637,-2.3,2.7,0,4.1,1.02,0,30,UNKNOWN12~26,C,0,1,1,1,1,0,1,43,wind,native_generator,1,0,0,0,0,0,1,0,0,C_REG_BUS_30,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
30,UNKNOWN12~26,2,C,55.049,-1.637,-30.5,36,0,55.4,1.02,0,30,UNKNOWN12~26,C,0,1,1,1,1,0,1,44,wind,native_generator,1,0,0,0,0,0,1,0,0,C_REG_BUS_30,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
31,UNKNOWN12~27,1,F,0.98,-0.6,-0.6,0.7,0.2,1,1.02,0,31,UNKNOWN12~27,F,0,1,1,1,1,0,1,45,hydro,native_generator,1,0,0,0,0,0,1,0,0,F_REG_BUS_31,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
31,UNKNOWN12~27,2,F,0.98,-0.6,-0.6,0.7,0.2,1,1.02,0,31,UNKNOWN12~27,F,0,1,1,1,1,0,1,46,hydro,native_generator,1,0,0,0,0,0,1,0,0,F_REG_BUS_31,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
31,UNKNOWN12~27,3,F,2.549,-1.4,-1.4,1.7,0.9,2.6,1.02,0,31,UNKNOWN12~27,F,0,1,1,1,1,0,1,47,hydro,native_generator,1,0,0,0,0,0,1,0,0,F_REG_BUS_31,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
31,UNKNOWN12~27,4,F,2.549,-1.4,-1.4,1.7,0.9,2.6,1.02,0,31,UNKNOWN12~27,F,0,1,1,1,1,0,1,48,hydro,native_generator,1,0,0,0,0,0,1,0,0,F_REG_BUS_31,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
31,UNKNOWN12~27,5,F,2.549,-1.4,-1.4,1.7,2.3,2.6,1.02,0,31,UNKNOWN12~27,F,0,1,1,1,1,0,1,49,hydro,native_generator,1,0,0,0,0,0,1,0,0,F_REG_BUS_31,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
31,UNKNOWN12~27,6,F,24.113,-3.042,-13.5,16,6,24.6,1.02,0,31,UNKNOWN12~27,F,0,1,1,1,1,0,1,50,hydro,native_generator,1,0,0,0,0,0,1,0,0,F_REG_BUS_31,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
31,UNKNOWN12~27,7,F,24.113,-3.042,-13.5,16,6,24.6,1.02,0,31,UNKNOWN12~27,F,0,1,1,1,1,0,1,51,hydro,native_generator,1,0,0,0,0,0,1,0,0,F_REG_BUS_31,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
32,UNKNOWN12~28,C1,F,147,-32.951,-102.9,110.25,113,147,1.02,0,32,UNKNOWN12~28,F,0,1,1,1,1,0,1,52,ng,native_generator,1,0,0,0,0,0,1,0,0,F_REG_BUS_32,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
33,UNKNOWN12~29,C1,A,56.241,-9.888,-39.62,42.45,44,56.6,1.02,0,33,UNKNOWN12~29,A,0,1,1,1,1,0,1,53,ng,native_generator,1,0,0,0,0,0,1,0,0,A_REG_BUS_33,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
34,HAMMERHILL,C1,C,57.036,14.661,-40.18,43.05,44.5,57.4,1.02,0,34,HAMMERHILL,C,0,1,1,1,1,0,1,54,ng,native_generator,1,0,0,0,0,0,1,0,0,C_REG_BUS_34,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
35,UNKNOWN12~30,1,D,3.137,2.1,-1.8,2.1,0,3.2,1.02,0,35,UNKNOWN12~30,D,0,1,1,1,1,0,1,55,hydro,native_generator,1,0,0,0,0,0,1,0,0,D_REG_BUS_35,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
35,UNKNOWN12~30,2,D,3.137,2.1,-1.8,2.1,0,3.2,1.02,0,35,UNKNOWN12~30,D,0,1,1,1,1,0,1,56,hydro,native_generator,1,0,0,0,0,0,1,0,0,D_REG_BUS_35,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
35,UNKNOWN12~30,3,D,3.921,2.6,-2.2,2.6,0,4,1.02,0,35,UNKNOWN12~30,D,0,1,1,1,1,0,1,57,hydro,native_generator,1,0,0,0,0,0,1,0,0,D_REG_BUS_35,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
