case_id,case_group,zone_j_cost_c1,s4_e_cost_c1,s4_f_cost_c1,s4_g_cost_c1,s4_k_cost_c1,abc_cap_factor,x_spine_multiplier,scenario_count,success_count,sum_classic_interface_objective,sum_fixed_scale_interface_objective,mean_zone_j_equiv_pg_mw,max_zone_j_equiv_pg_mw,mean_s4_equiv_pg_mw,max_s4_equiv_pg_mw,max_abs_interface_residual_mw,max_branch_overload_count,max_voltage_bound_count
S4_COST_main_grid_J220_E180_F180_G180_K180_CAP0p8_X0p75,main_grid,220,180,180,180,180,0.8,0.75,6,6,192.19564006099,7.28914857964997,0,0,3604.67964914898,4067.43506238251,2355.41090643001,0,17
S4_COST_main_grid_J220_E180_F180_G180_K180_CAP0p9_X1,main_grid,220,180,180,180,180,0.9,1,6,6,247.029205249665,8.57045475279714,0,0,3178.2600977848,3621.89512272109,2498.44027936316,0,19
S4_COST_main_grid_J220_E180_F180_G180_K180_CAP0p9_X0p75,main_grid,220,180,180,180,180,0.9,0.75,6,6,250.041585456028,8.6894842305522,0,0,3171.67834537951,3614.75288297334,2521.92943743915,0,19
S4_COST_main_grid_J220_E180_F180_G180_K180_CAP1_X1,main_grid,220,180,180,180,180,1,1,6,6,312.495119490449,10.3727927923572,0,0,2766.69753715676,3187.75851815765,2650.98742328459,0,20
S4_COST_main_grid_J220_E180_F180_G180_K180_CAP1_X0p75,main_grid,220,180,180,180,180,1,0.75,6,6,316.104901518548,10.5119654757957,0,0,2758.69128082386,3180.54232644021,2675.94831806727,0,20
S4_COST_main_grid_J220_E180_F180_G180_K180_CAP1p1_X1,main_grid,220,180,180,180,180,1.1,1,6,6,400.460606781376,12.6275115433032,4.38686797786668e-07,2.63212078672001e-06,2415.77207779486,2811.18935900083,2822.41454019477,0,22
S4_COST_main_grid_J220_E180_F180_G180_K180_CAP1p1_X0p75,main_grid,220,180,180,180,180,1.1,0.75,6,6,402.155624912227,12.7794627966851,0,0,2402.07487520019,2797.97736172005,2849.04774833531,0,21
S4_COST_main_grid_J220_E220_F220_G220_K220_CAP0p8_X1,main_grid,220,220,220,220,220,0.8,1,6,6,123.146801953499,4.36502433233693,1453.57967729452,1610.22879170399,2081.65774421426,2539.34775910844,1778.28437197819,0,18
S4_COST_main_grid_J220_E220_F220_G220_K220_CAP0p8_X0p75,main_grid,220,220,220,220,220,0.8,0.75,6,6,125.312304053033,4.35663280994365,1432.00003020406,1589.07031245476,2101.21728475279,2559.66999235085,1741.62236813538,0,18
S4_COST_main_grid_J220_E220_F220_G220_K220_CAP0p9_X1,main_grid,220,220,220,220,220,0.9,1,6,6,170.596284247981,5.45851740467117,1384.07915935772,1563.43078150961,1723.29723663102,2107.62739990094,1888.69710139811,0,17
S4_COST_main_grid_J220_E220_F220_G220_K220_CAP0p9_X0p75,main_grid,220,220,220,220,220,0.9,0.75,6,6,173.463272378819,5.46937298305976,1365.09311969364,1545.53623413346,1739.04482851787,2129.128172372,1919.49222205903,0,17
S4_COST_main_grid_J220_E220_F220_G220_K220_CAP1_X1,main_grid,220,220,220,220,220,1,1,6,6,251.974963017654,7.33605279205762,1276.56914207273,1457.40127801457,1436.79482483569,1701.94923560638,2124.85790548559,0,18
S4_COST_main_grid_J220_E220_F220_G220_K220_CAP1_X0p75,main_grid,220,220,220,220,220,1,0.75,6,6,253.178801466726,7.37222022571516,1262.4388716109,1447.70313420479,1444.42571552672,1722.56296627394,2152.83026784445,0,19
S4_COST_main_grid_J220_E220_F220_G220_K220_CAP1p1_X1,main_grid,220,220,220,220,220,1.1,1,6,6,373.902757603069,9.79713528534556,1165.2849244711,1334.24631117352,1212.35681395036,1442.97626433712,2493.1136973302,0,21
S4_COST_main_grid_J220_E220_F220_G220_K220_CAP1p1_X0p75,main_grid,220,220,220,220,220,1.1,0.75,6,6,374.446059260741,9.88641728555985,1149.36093858654,1310.9540090897,1216.64740807687,1445.06132994023,2500.74849348865,0,21
S4_COST_main_grid_J220_E260_F260_G260_K260_CAP0p8_X1,main_grid,220,260,260,260,260,0.8,1,6,6,93.520678621135,7.72768317782114,2861.34210585331,3000,649.432877174423,959.365966373239,2741.53932176899,0,17
S4_COST_main_grid_J220_E260_F260_G260_K260_CAP0p8_X0p75,main_grid,220,260,260,260,260,0.8,0.75,6,6,93.6033201697721,7.61796980096209,2862.87613864094,3000,644.93545686181,956.539320175227,2727.22018280864,0,16
S4_COST_main_grid_J220_E260_F260_G260_K260_CAP0p9_X1,main_grid,220,260,260,260,260,0.9,1,6,6,156.537856170847,7.93372106926119,2732.93183771369,2921.36712116995,361.437666938743,598.647226085774,2556.30349345802,0,17
S4_COST_main_grid_J220_E260_F260_G260_K260_CAP0p9_X0p75,main_grid,220,260,260,260,260,0.9,0.75,6,6,156.325546559648,7.85688332938444,2739.41416645055,2932.82268750741,349.887156455025,582.017930799409,2543.10445028402,0,17
S4_COST_main_grid_J220_E260_F260_G260_K260_CAP1_X1,main_grid,220,260,260,260,260,1,1,6,6,250.757147707141,8.93324612440991,2573.39013695782,2807.37812699972,136.276290695145,313.867704221679,2282.03068142753,0,18
S4_COST_main_grid_J220_E260_F260_G260_K260_CAP1_X0p75,main_grid,220,260,260,260,260,1,0.75,6,6,250.612175715022,8.87561282025453,2579.73470432869,2820.02807662278,121.438085882446,292.227065011081,2261.51686856713,0,19
S4_COST_main_grid_J220_E260_F260_G260_K260_CAP1p1_X1,main_grid,220,260,260,260,260,1.1,1,6,6,373.713330988038,10.4924168098606,2353.65658732382,2696.04062081286,25.9542568112765,76.4934039773443,2493.11434114173,0,21
S4_COST_main_grid_J220_E260_F260_G260_K260_CAP1p1_X0p75,main_grid,220,260,260,260,260,1.1,0.75,6,6,373.670211422647,10.4803815709889,2356.79250496106,2711.65036302535,8.66170422344871,45.3431742786651,2493.11794782009,0,21
S4_COST_main_grid_J250_E160_F160_G160_K160_CAP0p8_X1,main_grid,250,160,160,160,160,0.8,1,6,6,195.022763148521,7.35272394299458,0,0,3617.36407005374,4082.39131616607,2385.33319541929,0,17
S4_COST_main_grid_J250_E160_F160_G160_K160_CAP0p8_X0p75,main_grid,250,160,160,160,160,0.8,0.75,6,6,196.91985794969,7.46757429400063,0,0,3610.98672287178,4075.6510519567,2404.92344634602,0,17
S4_COST_main_grid_J250_E160_F160_G160_K160_CAP0p9_X1,main_grid,250,160,160,160,160,0.9,1,6,6,254.718288704651,8.73234696124184,0,0,3184.87371526167,3629.58927408462,2551.11396887286,0,19
S4_COST_main_grid_J250_E160_F160_G160_K160_CAP0p9_X0p75,main_grid,250,160,160,160,160,0.9,0.75,6,6,257.690331218254,8.85433314950068,0,0,3178.0626101118,3622.3227043783,2573.6645011708,0,19
S4_COST_main_grid_J250_E160_F160_G160_K160_CAP1_X1,main_grid,250,160,160,160,160,1,1,6,6,323.563543783189,10.5524067717492,0,0,2772.72397644182,3196.12614525363,2715.75649450831,0,20
S4_COST_main_grid_J250_E160_F160_G160_K160_CAP1_X0p75,main_grid,250,160,160,160,160,1,0.75,6,6,327.760135419397,10.7090431880146,0,0,2764.68971139768,3188.85965251552,2744.21317728345,0,20
S4_COST_main_grid_J250_E160_F160_G160_K160_CAP1p1_X1,main_grid,250,160,160,160,160,1.1,1,6,6,405.895188415165,12.7444077203989,0,0,2419.40515634474,2816.42841295764,2882.77636588711,0,22
S4_COST_main_grid_J250_E160_F160_G160_K160_CAP1p1_X0p75,main_grid,250,160,160,160,160,1.1,0.75,6,6,409.468096690029,12.9093838176155,0,0,2405.56001427977,2802.63232831317,2911.72013654398,0,22
S4_COST_main_grid_J250_E180_F180_G180_K180_CAP0p8_X1,main_grid,250,180,180,180,180,0.8,1,6,6,190.403566758783,7.19105019025094,0,0,3610.9608234439,4074.16243930783,2336.38184795866,0,17
S4_COST_main_grid_J250_E180_F180_G180_K180_CAP0p8_X0p75,main_grid,250,180,180,180,180,0.8,0.75,6,6,192.195640212136,7.28914860978553,0,0,3604.67964980695,4067.43506241839,2355.41090643073,0,17
S4_COST_main_grid_J250_E180_F180_G180_K180_CAP0p9_X1,main_grid,250,180,180,180,180,0.9,1,6,6,247.029205170967,8.57045475096465,0,0,3178.2600977837,3621.89512273043,2498.44027917741,0,19
S4_COST_main_grid_J250_E180_F180_G180_K180_CAP0p9_X0p75,main_grid,250,180,180,180,180,0.9,0.75,6,6,250.04158505852,8.6894842346244,0,0,3171.67834537605,3614.7528829809,2521.92943644957,0,19
S4_COST_main_grid_J250_E180_F180_G180_K180_CAP1_X1,main_grid,250,180,180,180,180,1,1,6,6,312.495119496162,10.3727927949406,0,0,2766.69753719808,3187.75851824281,2650.98742328513,0,20
S4_COST_main_grid_J250_E180_F180_G180_K180_CAP1_X0p75,main_grid,250,180,180,180,180,1,0.75,6,6,316.104904984896,10.5119654900542,0,0,2758.69128118878,3180.5423266783,2675.94834269459,0,20
S4_COST_main_grid_J250_E180_F180_G180_K180_CAP1p1_X1,main_grid,250,180,180,180,180,1.1,1,6,6,400.460606794794,12.6275115474118,0,0,2415.77207871733,2811.18935900818,2822.41454019508,0,22
S4_COST_main_grid_J250_E180_F180_G180_K180_CAP1p1_X0p75,main_grid,250,180,180,180,180,1.1,0.75,6,6,402.155624912001,12.7794627965563,0,0,2402.074875203,2797.97736172439,2849.0477483356,0,21
S4_COST_main_grid_J250_E220_F220_G220_K220_CAP0p8_X1,main_grid,250,220,220,220,220,0.8,1,6,6,174.849591323712,6.08193735808059,217.485367914144,394.4346738641,3369.76913705217,3964.04281970783,2213.72347033279,0,17
S4_COST_main_grid_J250_E220_F220_G220_K220_CAP0p8_X0p75,main_grid,250,220,220,220,220,0.8,0.75,6,6,179.105241030026,6.282721025326,179.841325281659,351.424800116654,3404.3529283378,4001.66893537305,2251.58633701495,0,17
S4_COST_main_grid_J250_E220_F220_G220_K220_CAP0p9_X1,main_grid,250,220,220,220,220,0.9,1,6,6,230.488936976939,7.54993282597898,183.776620812231,362.186794714336,2972.66659640654,3529.92257255992,2398.39165550301,0,17
S4_COST_main_grid_J250_E220_F220_G220_K220_CAP0p9_X0p75,main_grid,250,220,220,220,220,0.9,0.75,6,6,234.18504619161,7.73921519090728,150.236580312277,316.250130222489,3002.24002120557,3537.96704998994,2426.15478252336,0,17
S4_COST_main_grid_J250_E220_F220_G220_K220_CAP1_X1,main_grid,250,220,220,220,220,1,1,6,6,291.518408691661,9.42509485905784,157.348681203172,327.480291137324,2592.5184362111,3058.01188950006,2540.14344970479,0,20
S4_COST_main_grid_J250_E220_F220_G220_K220_CAP1_X0p75,main_grid,250,220,220,220,220,1,0.75,6,6,295.657225766848,9.60136280816902,129.335875931659,288.063777798964,2613.81590220861,3053.13318610561,2569.83939238563,0,20
S4_COST_main_grid_J250_E220_F220_G220_K220_CAP1p1_X1,main_grid,250,220,220,220,220,1.1,1,6,6,393.533624811614,11.9094393842292,132.906584501387,298.218658947807,2271.570989102,2588.36846423667,2726.9810609192,0,21
S4_COST_main_grid_J250_E220_F220_G220_K220_CAP1p1_X0p75,main_grid,250,220,220,220,220,1.1,0.75,6,6,395.293158397774,12.122970734325,106.074866188651,246.906187334711,2285.92107804934,2582.66186002172,2751.19314503248,0,21
S4_COST_main_grid_J250_E260_F260_G260_K260_CAP0p8_X1,main_grid,250,260,260,260,260,0.8,1,6,6,106.098827097061,4.95931434261038,1937.58083286526,2102.81727413989,1581.98761227013,2004.75440184817,2168.75643653013,0,17
S4_COST_main_grid_J250_E260_F260_G260_K260_CAP0p8_X0p75,main_grid,250,260,260,260,260,0.8,0.75,6,6,107.592015287514,4.89342205530357,1923.67176601289,2087.89613179376,1594.13972474682,2019.14456515228,2136.52404931274,0,16
S4_COST_main_grid_J250_E260_F260_G260_K260_CAP0p9_X1,main_grid,250,260,260,260,260,0.9,1,6,6,154.8866131352,5.75100155518389,1827.92673182098,2002.53370344563,1268.80651950074,1575.8483754385,1952.40007931269,0,17
S4_COST_main_grid_J250_E260_F260_G260_K260_CAP0p9_X0p75,main_grid,250,260,260,260,260,0.9,0.75,6,6,155.482605247013,5.71457899226315,1819.01852135241,1993.34329654867,1274.15833573772,1589.36764329121,1930.03780159647,0,17
S4_COST_main_grid_J250_E260_F260_G260_K260_CAP1_X1,main_grid,250,260,260,260,260,1,1,6,6,247.853036446094,7.42376017175545,1683.84367208993,1855.16264440448,1022.88179463148,1262.9595694707,2014.78131869866,0,18
S4_COST_main_grid_J250_E260_F260_G260_K260_CAP1_X0p75,main_grid,250,260,260,260,260,1,0.75,6,6,248.143358714972,7.41961177945811,1678.65416452624,1852.7201782639,1021.45353566745,1258.35869352939,2025.43803802603,0,19
S4_COST_main_grid_J250_E260_F260_G260_K260_CAP1p1_X1,main_grid,250,260,260,260,260,1.1,1,6,6,372.641019054589,9.72607515465738,1542.38427937767,1722.07689944621,830.597006586902,1040.4031962209,2493.11434114465,0,21
S4_COST_main_grid_J250_E260_F260_G260_K260_CAP1p1_X0p75,main_grid,250,260,260,260,260,1.1,0.75,6,6,372.799094942108,9.77684779924532,1540.13435469096,1715.09851870446,820.719130949866,1035.10117215508,2493.11794782314,0,21
S4_COST_gk_split_J120_E180_F180_G180_K180_CAP1_X1,gk_split,120,180,180,180,180,1,1,6,6,251.722258704666,9.16101089997898,2692.00426712838,3000,20.7833100086697,124.699860052018,2281.59647038179,0,18
S4_COST_gk_split_J120_E180_F180_G180_K220_CAP1_X1,gk_split,120,180,180,180,220,1,1,6,6,251.637244062317,9.13308944908629,2692.00426712822,3000,21.1108597932792,126.665158759675,2281.596470382,0,18
S4_COST_gk_split_J120_E180_F180_G180_K260_CAP1_X1,gk_split,120,180,180,180,260,1,1,6,6,251.637244048282,9.13308944247657,2692.00426711416,3000,21.1108597932488,126.665158759493,2281.59647038211,0,18
S4_COST_gk_split_J120_E180_F180_G220_K180_CAP1_X1,gk_split,120,180,180,220,180,1,1,6,6,251.732195147334,9.16434676646195,2692.00426712895,3000,20.763528835619,124.581173013714,2281.59647038214,0,18
S4_COST_gk_split_J120_E180_F180_G220_K220_CAP1_X1,gk_split,120,180,180,220,220,1,1,6,6,252.0247025234,9.1777411160351,2692.00426712955,3000,24.2108659510387,145.265195706232,2281.59647038256,0,18
S4_COST_gk_split_J120_E180_F180_G220_K260_CAP1_X1,gk_split,120,180,180,220,260,1,1,6,6,252.024702543158,9.17774112124527,2692.00426688248,3000,24.210865952489,145.265195714934,2281.5964703826,0,18
S4_COST_gk_split_J150_E180_F180_G180_K180_CAP1_X1,gk_split,150,180,180,180,180,1,1,6,6,249.590148137513,8.46578338447556,2383.61990799226,2606.72691154389,324.032227364263,512.179645955364,2133.24061035858,0,18
S4_COST_gk_split_J150_E180_F180_G180_K220_CAP1_X1,gk_split,150,180,180,180,220,1,1,6,6,250.075462636471,8.64374483513819,2540.15415478304,2800.97285913292,172.676810996325,328.379345509225,2203.85837860399,0,18
S4_COST_gk_split_J150_E180_F180_G180_K260_CAP1_X1,gk_split,150,180,180,180,260,1,1,6,6,250.075462647706,8.64374483500247,2540.15415478189,2800.9728591328,172.676810998019,328.379345509725,2203.85837869017,0,18
S4_COST_gk_split_J150_E180_F180_G220_K180_CAP1_X1,gk_split,150,180,180,220,180,1,1,6,6,250.102630365457,8.65133693937399,2434.73558213335,2691.32020115158,273.004637864709,427.848562626274,2167.30323855328,0,18
S4_COST_gk_split_J150_E180_F180_G220_K220_CAP1_X1,gk_split,150,180,180,220,220,1,1,6,6,255.865359009872,9.18767856788869,2670.45614586841,3000,46.1305719131328,145.265195707301,2281.72809752545,0,18
S4_COST_gk_split_J150_E180_F180_G220_K260_CAP1_X1,gk_split,150,180,180,220,260,1,1,6,6,255.865359027736,9.18767858190677,2670.45614586914,3000,46.1305719136243,145.26519570991,2281.72810754818,0,18
S4_COST_gk_split_J180_E180_F180_G180_K180_CAP1_X1,gk_split,180,180,180,180,180,1,1,6,6,255.962007462184,7.39757809400422,1241.75691362331,1426.4292177029,1475.56999271616,1772.78624604687,2222.72313215931,0,18
S4_COST_gk_split_J180_E180_F180_G180_K220_CAP1_X1,gk_split,180,180,180,180,220,1,1,6,6,277.945478078059,7.69918333209127,1746.24313004341,2027.35812790937,998.758978956057,1422.47644881394,2467.02777793029,0,20
S4_COST_gk_split_J180_E180_F180_G180_K260_CAP1_X1,gk_split,180,180,180,180,260,1,1,6,6,277.945478073309,7.69918333230686,1746.24313003931,2027.35812791033,998.758978962431,1422.47644885004,2467.02777794953,0,20
S4_COST_gk_split_J180_E180_F180_G220_K180_CAP1_X1,gk_split,180,180,180,220,180,1,1,6,6,284.872012377683,7.84170989889121,1554.81968630565,1843.25657127499,1157.22614699609,1519.13330683571,2534.14850102206,0,19
S4_COST_gk_split_J180_E180_F180_G220_K220_CAP1_X1,gk_split,180,180,180,220,220,1,1,6,6,343.716209882715,9.16578489071393,2353.70391454081,2739.58379843569,393.254845186883,961.330185017774,2971.47676770116,0,18
S4_COST_gk_split_J180_E180_F180_G220_K260_CAP1_X1,gk_split,180,180,180,220,260,1,1,6,6,343.890293449808,9.19347440125672,2374.1792616867,2801.41580396858,374.739843529754,961.330185018441,2971.47676770181,0,18
