bus_number,bus_name,base_kv,area,nyiso_zone_letter,nyiso_zone_name,physical_zone,load_allocation_group,pd_mw,qd_mvar,mapping_note
1,MILLSTONE PT,345,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
2,MONTVILLE,345,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
3,MONTVILLE,115,1,NON_NY,NON_NY,NON_NY,NON_NY,11.1796635,88,outside retained New York zone mapping
4,MONTVILLE,345,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
5,CARD ST,345,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
6,SHERMAN RD,345,1,NON_NY,NON_NY,NON_NY,NON_NY,397.499146,153,outside retained New York zone mapping
7,MEDWAY,345,1,NON_NY,NON_NY,NON_NY,NON_NY,408.678809,32,outside retained New York zone mapping
8,MILLBURY,115,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
9,CARPENTER HL,115,1,NON_NY,NON_NY,NON_NY,NON_NY,196.265203,30,outside retained New York zone mapping
10,BRAYTON PT,115,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
11,BRAYTON PT,115,1,NON_NY,NON_NY,NON_NY,NON_NY,844.685684,103,outside retained New York zone mapping
12,BRIDGEWATER,115,1,NON_NY,NON_NY,NON_NY,NON_NY,340.358643,115,outside retained New York zone mapping
13,PILGRIM,345,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
14,CANAL,345,1,NON_NY,NON_NY,NON_NY,NON_NY,308.061838,85,outside retained New York zone mapping
15,WALPOLA,345,1,NON_NY,NON_NY,NON_NY,NON_NY,383.835112,-92,outside retained New York zone mapping
16,VERMONT YNK,345,1,NON_NY,NON_NY,NON_NY,NON_NY,224,47,outside retained New York zone mapping
17,SCOBIE,345,1,NON_NY,NON_NY,NON_NY,NON_NY,172.663691,17,outside retained New York zone mapping
18,SANDY POND,115,1,NON_NY,NON_NY,NON_NY,NON_NY,349.053937,76,outside retained New York zone mapping
