case_id,case_group,scenario_id,zone_j_cost_c1,s4_e_cost_c1,s4_f_cost_c1,s4_g_cost_c1,s4_k_cost_c1,abc_cap_factor,x_spine_multiplier,device_group,device_name,zone,bus_id,bus_name,gen_index,pg_mw,qg_mvar,pmax_mw,pmin_mw,qmax_mvar,qmin_mvar,fraction_pmax_used
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,1177.9993153304,0,1200,0,0,-0,0.981666096108667
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,900,0,900,0,0,-0,1
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,900,0,900,0,0,-0,1
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,EDIC_E_EQ_SUPPLY,E,43,EDIC,33,0,0,400,0,0,-0,0
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,PORTER_E_EQ_SUPPLY,E,44,PORTER,34,0,0,200,0,0,-0,0
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,GILBOA_F_EQ_SUPPLY,F,38,GILBOA,35,0,0,500,0,0,-0,0
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,ALBANY_F_EQ_SUPPLY,F,42,ALBANY,36,0,0,500,0,0,-0,0
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,ROTTERDAM_F_EQ_SUPPLY,F,41,ROTTERDAM,37,33.6137103419507,0,300,0,0,-0,0.112045701139836
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,NEW_SCOTLAND_F_EQ_SUPPLY,F,37,NEW SEATHED,38,0,0,300,0,0,-0,0
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,PLEASANT_VLY_G_EQ_SUPPLY,G,73,PLEASANT VLY,39,108.053099143184,0,900,0,0,-0,0.120058999047982
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,RAMAPO_G_EQ_SUPPLY,G,76,RAMAPO,40,188.887165309711,0,700,0,0,-0,0.269838807585301
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,LEEDS_G_EQ_SUPPLY,G,39,LEEDS,41,27.0876018835029,0,600,0,0,-0,0.0451460031391715
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,NORTHPORT_K_EQ_SUPPLY,K,80,NORTHPORT,42,264.608876588257,0,1200,0,0,-0,0.220507397156881
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,EAST_GARDEN_CITY_K_EQ_SUPPLY,K,9003,EAST GARDEN CITY,43,213.242955292204,0,600,0,0,-0,0.355404925487006
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S2_2025_WINTER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,766.481255839953,0,1200,0,0,-0,0.638734379866627
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S2_2025_WINTER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,766.898844955624,0,900,0,0,-0,0.852109827728471
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S2_2025_WINTER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,765.386369665002,0,900,0,0,-0,0.85042929962778
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S2_2025_WINTER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,EDIC_E_EQ_SUPPLY,E,43,EDIC,33,0,0,400,0,0,-0,0
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S2_2025_WINTER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,PORTER_E_EQ_SUPPLY,E,44,PORTER,34,0,0,200,0,0,-0,0
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S2_2025_WINTER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,GILBOA_F_EQ_SUPPLY,F,38,GILBOA,35,0,0,500,0,0,-0,0
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S2_2025_WINTER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,s4_zonal_capability_equivalent,ALBANY_F_EQ_SUPPLY,F,42,ALBANY,36,0,0,500,0,0,-0,0
