boundary_q_mode,pf_success,min_voltage_pu,max_voltage_pu,voltage_rmse_pu,interface_mae_mw,mean_normalized_control_group_q_error,external_q_total_abs_error_mvar,reference_generation_adjustment_mw,q_violation_count,branch_overload_count,q_saturation_count,pv_to_pq_conversion_count
fixed_source_q,1,1.0154163836713,1.03045295136742,0.00261287612493598,225.142912100311,0.196361959766223,3.5527136788005e-15,-125.491283337624,0,0,6,6
limited_source_q,1,1.01507326595865,1.03043018465963,0.00207723685920841,225.041500532292,0.183099950081458,1887.64473254557,-125.772281660002,0,0,4,4
no_discretionary_q,1,1.0154163836713,1.03047939547402,0.00266897039129421,224.96347673189,0.17980985627937,0,-126.161614256356,0,0,5,5
