case_id,case_group,include_s4,apply_abc_caps,x_spine_multiplier,scenario_count,success_count,sum_interface_objective,mean_interface_objective,max_abs_interface_residual_mw,mean_zone_j_equiv_pg_mw,max_zone_j_equiv_pg_mw,mean_s4_equiv_pg_mw,max_s4_equiv_pg_mw,mean_abs_zonal_generation_residual_mw,mean_abs_downstate_generation_residual_mw,max_branch_overload_count,max_voltage_bound_count
S3_BASE_3GW,s3_baseline,0,0,1,6,6,893.200243478533,148.866707246422,3750.77423594134,1442.97581070312,2073.93817227252,0,0,1156.66074848716,1053.78251283055,0,21
S3_BASE_3GW_X0P75,s3_baseline_x,0,0,0.75,6,6,886.62814071025,147.771356785042,3763.60423427734,1397.95942130746,2030.67640738191,0,0,1157.52953239369,1048.43920148917,0,21
S4_EQUIV_ABC_CAPS,s4_equiv_abc_caps,1,1,1,6,6,312.495119496162,52.082519916027,2650.98742328513,0,0,2766.69753719808,3187.75851824281,997.252576340335,616.117252928034,0,20
S4_EQUIV_ABC_CAPS_X0P75,s4_equiv_abc_caps_x,1,1,0.75,6,6,316.104904984896,52.684150830816,2675.94834269459,0,0,2758.69128118878,3180.5423266783,993.785296120813,609.652347434391,0,20
S4_EQUIV_ONLY,s4_equiv_only,1,0,1,6,6,910.114380882827,151.685730147138,3742.70529051624,0,0,2035.13850222567,2689.49700802216,1118.55337107804,743.933790664592,0,21
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,1,0,0.75,6,6,901.646847648271,150.274474608045,3757.51414924367,0,0,1991.08073660807,2644.47110688333,1116.41956692668,727.94711871369,0,21
