scenario_id,zone,target_load_mw,external_import_mw,generation_prior_mw,target_generation_mw,target_native_net_injection_mw,target_effective_net_injection_mw,pmin_mw,pmax_mw,at_pmin,at_pmax,prior_source,initial_dc_generation_mw,final_actual_generation_mw,dc_to_ac_generation_change_mw,final_generation_error_mw,loss_participation_factor
S1_2025_SUMMER_PEAK_PUBLIC,A,932.340491582214,-137.337073147412,981.933369326393,1290.08646596621,357.745974383998,220.408901236586,0,1292.8,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,1256.824847901,1290.08646596621,33.2616180652105,0,0.000442200619797915
S1_2025_SUMMER_PEAK_PUBLIC,B,636.148567337793,0,267.61028345646,286.172736503182,-349.975830834611,-349.975830834611,0,288.8,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,253.652417930575,286.172736503182,32.5203185726077,0,0.000428141874101898
S1_2025_SUMMER_PEAK_PUBLIC,C,910.820614656522,-38.382801838862,1685.38703260324,1862.17599557271,951.355380916185,912.972579077323,0,2511.2,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,1201.68363327791,1862.17599557271,660.492362294794,0,0.105765696485798
S1_2025_SUMMER_PEAK_PUBLIC,D,170.185373086867,515.850057154045,232.075406410032,380.463995495628,210.27862240876,726.128679562805,0,984.9807077,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,354.6404071087,380.463995495628,25.823588386927,0,0.0985127370751396
S1_2025_SUMMER_PEAK_PUBLIC,E,444.549582437007,0,599.999999592186,44.700386862842,-399.849195574165,-399.849195574165,0,600,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,569.694860892267,44.700386862842,-524.994474029425,0,0.0904922621368546
S1_2025_SUMMER_PEAK_PUBLIC,F,785.822247965843,-83.5833626399999,1263.38842562937,998.965193930097,213.142945964254,129.559583324254,0,2168.003995,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,1109.87560932292,998.965193930097,-110.910415392822,-1.13686837721616e-13,0.190507904439044
S1_2025_SUMMER_PEAK_PUBLIC,G,816.002322378635,-144.566444879431,1152.73545843461,1799.96301891721,983.960696538574,839.394251659143,0,2200,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,1660.02839345122,1799.96301891721,139.934625465987,2.27373675443232e-13,0.0651904854607532
S1_2025_SUMMER_PEAK_PUBLIC,H,227.774482133019,0,0,0,-227.774482133019,-227.774482133019,0,0,1,1,scaled_PERFORM_2019_on_peak_zonal_PG,0,0,0,0,0
S1_2025_SUMMER_PEAK_PUBLIC,I,486.15217802916,0,22.1546949580217,2.96113644021889,-483.191041588941,-483.191041588941,0,565.099092,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,9.81889744536493,2.96113644021889,-6.85776100514604,0,0.0916066462647195
S1_2025_SUMMER_PEAK_PUBLIC,J,3639.49544326512,-19.191400919431,3068.95134899334,3059.13114065541,-580.364302609713,-599.555703529144,0,4197.07746,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,3026.086783292,3059.17504418152,33.0443573634029,0.0439035261119898,0.185441037939937
S1_2025_SUMMER_PEAK_PUBLIC,K,1852.92849582782,0,1535.19480556744,1331.83852626616,-521.089969561664,-521.089969561664,0,2384.929342,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,1367.12497434912,1331.83852626616,-35.286448082966,-2.27373675443232e-13,0.171612887703855
S2_2025_WINTER_PEAK_PUBLIC,A,930.721354169113,877.916709748932,857.077191968856,1289.51120956265,358.789855393534,1236.70656514247,0,1292.8,0,0,scaled_PERFORM_2019_on_peak_zonal_PG,1219.84477367334,1289.51120956265,69.6664358893029,4.54747350886464e-13,0.00043909954864531
