reduced_control_group_id,retained_device_bus,retained_pilot_bus,scaled_source_q_mvar,reduced_pf_q_mvar,q_error_mvar,absolute_q_error_mvar,mapping_confidence,source_bus_ids
BUS_9003__PILOT_9003__BOUNDARY_IMPORT_EQUIVALENT,9003,9003,98.0243733747736,98.0243733747736,0,0,medium,19|580|1148
BUS_81__PILOT_81__BOUNDARY_IMPORT_EQUIVALENT,81,81,214.685227926577,214.685227926577,0,0,medium,571|1132|1136|1528
BUS_76__PILOT_76__BOUNDARY_IMPORT_EQUIVALENT,76,76,33.8613244513605,33.8613244513605,0,0,medium,651|773
BUS_37__PILOT_37__BOUNDARY_IMPORT_EQUIVALENT,37,37,21.2058078062393,21.2058078062393,0,0,medium,799
BUS_43__PILOT_43__BOUNDARY_IMPORT_EQUIVALENT,43,43,-252.576259158596,-252.576259158596,0,0,medium,1231|1263|1546
BUS_56__PILOT_56__BOUNDARY_IMPORT_EQUIVALENT,56,56,-25.5941253483695,-25.5941253483695,3.5527136788005e-15,3.5527136788005e-15,medium,1313|1570
