scenario_id,zone,npcc_bus_id,npcc_bus_name,target_bus_pg_mw
S1_2025_SUMMER_PEAK_PUBLIC,F,42,ALBANY,635.087276993205
S1_2025_SUMMER_PEAK_PUBLIC,D,47,MOSES W,937.740947737805
S1_2025_SUMMER_PEAK_PUBLIC,D,48,MOSES E,40.0600457
S1_2025_SUMMER_PEAK_PUBLIC,C,50,CLAY,1105.24857748821
S1_2025_SUMMER_PEAK_PUBLIC,C,51,CLAY,292.878562141814
S1_2025_SUMMER_PEAK_PUBLIC,B,53,ROCHESTER,288.8
S1_2025_SUMMER_PEAK_PUBLIC,A,54,NIAGARA W,394.385301787287
S1_2025_SUMMER_PEAK_PUBLIC,A,55,NIAGARA E,197.192650893643
S1_2025_SUMMER_PEAK_PUBLIC,A,56,HUNTLEY,495.093851384339
S1_2025_SUMMER_PEAK_PUBLIC,A,57,HUNTLEY,14.3166985641929
S1_2025_SUMMER_PEAK_PUBLIC,A,60,DUNKIRK,59.5351288283759
S1_2025_SUMMER_PEAK_PUBLIC,A,61,DUNKIRK,132.276368542162
S1_2025_SUMMER_PEAK_PUBLIC,C,65,GESONIDGE,7.481832143219
S1_2025_SUMMER_PEAK_PUBLIC,C,68,HILLSIDE,271.054008885173
S1_2025_SUMMER_PEAK_PUBLIC,C,71,BINGHAMTON,643.677757785503
S1_2025_SUMMER_PEAK_PUBLIC,C,72,LAPEER,190.859261556085
S1_2025_SUMMER_PEAK_PUBLIC,I,78,CE UG,0
S1_2025_SUMMER_PEAK_PUBLIC,J,79,RAV A-3,1066.94556909402
S1_2025_SUMMER_PEAK_PUBLIC,K,80,NORTHPORT,1120.98796628237
S1_2025_SUMMER_PEAK_PUBLIC,J,82,AK-3,1112.74317846456
S1_2025_SUMMER_PEAK_PUBLIC,J,81,GOETHALS,485.641175669405
S1_2025_SUMMER_PEAK_PUBLIC,E,43,EDIC,0
S1_2025_SUMMER_PEAK_PUBLIC,E,44,PORTER,0
S1_2025_SUMMER_PEAK_PUBLIC,F,38,GILBOA,106.951627185816
S1_2025_SUMMER_PEAK_PUBLIC,F,41,ROTTERDAM,141.157799264905
S1_2025_SUMMER_PEAK_PUBLIC,F,37,NEW SEATHED,110.550223771275
S1_2025_SUMMER_PEAK_PUBLIC,G,73,PLEASANT VLY,325.871613985751
S1_2025_SUMMER_PEAK_PUBLIC,G,76,RAMAPO,414.056521488942
S1_2025_SUMMER_PEAK_PUBLIC,G,39,LEEDS,195.514433299795
S1_2025_SUMMER_PEAK_PUBLIC,K,9003,EAST GARDEN CITY,482.182422455747
S2_2025_WINTER_PEAK_PUBLIC,F,42,ALBANY,577.134013162546
S2_2025_WINTER_PEAK_PUBLIC,D,47,MOSES W,944.920662
S2_2025_WINTER_PEAK_PUBLIC,D,48,MOSES E,40.0600457
S2_2025_WINTER_PEAK_PUBLIC,C,50,CLAY,1105.24857748821
S2_2025_WINTER_PEAK_PUBLIC,C,51,CLAY,292.878562141814
S2_2025_WINTER_PEAK_PUBLIC,B,53,ROCHESTER,288.8
