mutation_id,expected_failed_gate,actual_failed_gate,exception_identifier,pass
original_bus_id_changed,original_bus_row_identity,original_bus_row_identity|s7_bus_rows_preserved|parent_bus_structural_controls|full_npcc_not_boundary_equivalent,,1
original_branch_endpoint_changed,original_branch_row_identity,original_branch_row_identity|s7_branch_rows_preserved|parent_branch_status_and_controls|full_npcc_not_boundary_equivalent,,1
original_bus_name_changed,parent_bus_names_stable,parent_bus_names_stable,,1
generator_cost_changed,generator_capability_and_identity,generator_capability_and_identity,,1
added_branch_r_x_b_changed,added_physical_r_x_b_and_ratings,added_physical_r_x_b_and_ratings|no_s12_kron_admittance,,1
source_branch_row_changed,added_physical_r_x_b_and_ratings,s13_metadata_coherence|added_physical_r_x_b_and_ratings|source_backed_e_g_overlay_present|phase1a_report_rebuild_identity|only_physical_rows_can_be_dlr_eligible|no_s12_kron_admittance,,1
s12_source_label_injected,no_s12_kron_admittance,s13_metadata_coherence|added_physical_r_x_b_and_ratings|phase1a_report_rebuild_identity|only_physical_rows_can_be_dlr_eligible|no_s12_kron_admittance,,1
unregistered_parent_r_x_b_changed,changed_parent_r_x_b_registered,changed_parent_r_x_b_registered,,1
s13_model_role_changed,s13_metadata_coherence,s13_metadata_coherence|phase1a_report_rebuild_identity,,1
s13_current_phase_mismatch,s13_metadata_coherence,s13_metadata_coherence|phase1a_report_rebuild_identity,,1
phase1b_placeholder_report,s13_metadata_coherence,s13_metadata_coherence|phase1a_report_rebuild_identity,,1
phase_report_nonkey_diverged,s13_metadata_coherence,s13_metadata_coherence|phase1a_report_rebuild_identity,,1
phase_reports_missing,s13_metadata_coherence,s13_metadata_coherence|phase1a_report_rebuild_identity,,1
phase1a_alias_diverged,s13_metadata_coherence,s13_metadata_coherence|phase1a_report_rebuild_identity,,1
s13_metadata_schema_changed,s13_metadata_coherence,s13_metadata_coherence|phase1a_report_rebuild_identity,,1
s13_construction_source_claimed,s13_metadata_coherence,s13_metadata_coherence|phase1a_report_rebuild_identity,,1
s13_promotion_claimed,s13_metadata_coherence,s13_metadata_coherence|phase1a_report_rebuild_identity,,1
s13_current_phase_vector,s13_metadata_coherence,s13_metadata_coherence|phase1a_report_rebuild_identity,,1
s13_governing_role_vector,s13_metadata_coherence,s13_metadata_coherence|phase1a_report_rebuild_identity,,1
csv_physical_register_truncated,all_artifacts_match,all_artifacts_match,,1
