case_id,case_group,scenario_id,include_s4,apply_abc_caps,x_spine_multiplier,zone,load_mw,qload_mvar,total_pg_mw,local_pg_excluding_boundary_mw,boundary_equiv_pg_mw,s4_equiv_pg_mw,zone_j_equiv_pg_mw,local_pmax_excluding_boundary_mw,local_net_injection_mw,target_load_mw,target_net_export_mw,target_generation_mw,generation_prior_mw,local_generation_residual_mw
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,A,932.340491582214,147.255896095106,2195.61643535526,2332.9535084751,-137.337073119841,0,0,5244.8202066,1400.61301689289,932.340491582214,0,932.340491582214,1616,1400.61301689289
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,B,636.148567337793,149.062794265895,1246.75388,1246.75388,0,0,0,1246.75388,610.605312662207,636.148567337793,0,636.148567337793,361,610.605312662207
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,C,910.820614656522,98.8135873815551,2892.69003500068,2931.07083683955,-38.380801838862,0,0,4056.6810405,2020.25022218303,910.820614656522,0,910.820614656522,3139,2020.25022218303
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,D,170.185373086867,14.4513735276136,891.902482980806,376.051425826761,515.851057154045,0,0,984.9807077,205.866052739894,170.185373086867,713.559374921485,883.744748008352,888,-507.693322181591
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,E,444.549582437007,25.5388631393605,0,0,0,0,0,0,-444.549582437007,444.549582437007,206.265313542996,650.814895980003,599,-650.814895980003
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,F,785.822247965843,110.074182754174,484.42163236,568.003995,-83.5823626399999,0,0,568.003995,-217.818252965843,785.822247965843,145.042805725309,930.865053691152,2210,-362.861058691152
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,G,816.002322378635,204.509459515381,-144.564444879431,0,-144.564444879431,0,0,0,-816.002322378635,816.002322378635,822.15826350552,1638.16058588415,2177,-1638.16058588415
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,H,227.774482133019,0,0,0,0,0,0,0,-227.774482133019,227.774482133019,-1887.02575769531,-1659.25127556229,25,1659.25127556229
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,I,486.15217802916,126.172843025455,565.099092,565.099092,0,0,0,565.099092,78.9469139708401,486.15217802916,1013.73430197272,1499.88648000188,0,-934.78738800188
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,J,3639.49544326512,912.143538809038,2972.49741560456,2991.68781652399,-19.190400919431,0,1794.61035652399,4197.07746,-647.807626741129,3639.49544326512,-1013.73430197272,2625.7611412924,4029,365.92667523159
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,K,1852.92849582782,57.2496752504358,584.929342,584.929342,0,0,0,584.929342,-1267.99915382782,1852.92849582782,0,1852.92849582782,2405,-1267.99915382782
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,A,930.721354169113,147.00016599133,2142.1888510274,1264.27314127847,877.915709748932,0,0,5244.8202066,333.551787109355,930.721354169112,0,930.721354169112,1616,333.551787109356
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,B,693.312159348906,162.457408657799,1246.75388,1246.75388,0,0,0,1246.75388,553.441720651094,693.312159348906,0,693.312159348906,361,553.441720651094
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,C,1131.40543191626,122.744509414495,3486.31994160197,3159.97695072167,326.342990880306,0,0,4056.6810405,2028.5715188054,1131.40543191626,0,1131.40543191626,3139,2028.57151880541
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,D,257.652139346724,21.878656422416,820.901587298582,984.9807077,-164.079120401418,0,0,984.9807077,727.328568353276,257.652139346724,-55.8104160947309,201.841723251993,888,783.138984448007
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,E,620.716578688692,35.659454822925,0,0,0,0,0,0,-620.716578688692,620.716578688692,1058.1452804181,1678.86185910679,599,-1678.86185910679
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,F,871.041660003481,122.011306141959,606.138327388886,568.003995,38.1343323888855,0,0,568.003995,-303.03766500348,871.04166000348,883.3628719374,1754.40453194088,2210,-1186.40053694088
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,G,763.133766267374,191.259350368442,220.372494023481,0,220.372494023481,0,0,0,-763.133766267374,763.133766267373,300.33151077769,1063.46527704506,2177,-1063.46527704506
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,H,252.133160811041,0,0,0,0,0,0,0,-252.133160811041,252.133160811041,-2186.02924703846,-1933.89608622742,25,1933.89608622742
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,I,450.569665360907,116.937984089837,565.099092,565.099092,0,0,0,565.099092,114.529426639093,450.569665360907,1287.80646363194,1738.37612899285,0,-1173.27703699285
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,J,3459.55499275624,867.046210934707,1999.45150231195,1836.2800068718,163.171495440153,0,639.202546871801,4197.07746,-1623.27498588444,3459.55499275624,-1287.80646363194,2171.7485291243,4029,-335.468522252499
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,K,1471.97889003126,45.4795280117584,584.929342,584.929342,0,0,0,584.929342,-887.049548031261,1471.97889003126,0,1471.97889003126,2405,-887.04954803126
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,A,1244.86540457269,196.616764286467,2459.92666876139,2053.91443224391,406.012236517478,0,0,5244.8202066,809.049027671218,1244.86540457269,0,1244.86540457269,1616,809.049027671219
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,B,505.285153437801,118.398784088616,1246.75388,1246.75388,0,0,0,1246.75388,741.468726562199,505.285153437801,0,505.285153437801,361,741.468726562199
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,C,901.170089087343,97.7666160720974,3107.46804378784,3146.95748687267,-39.489443084831,0,0,4056.6810405,2245.78739778533,901.170089087342,0,901.170089087342,3139,2245.78739778533
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,D,525.499765020787,44.6230675130482,501.996381066599,984.9807077,-482.984326633401,0,0,984.9807077,459.480942679213,525.499765020787,-18.0281665798467,507.47159844094,888,477.50910925906
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,E,310.722794351992,17.8506678056764,0,0,0,0,0,0,-310.722794351992,310.722794351992,1622.50542165601,1933.228216008,599,-1933.228216008
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,F,607.181454913555,85.0510438029813,663.308842472511,568.003995,95.3048474725107,0,0,568.003995,-39.1774599135551,607.181454913555,1556.93769935467,2164.11915426823,2210,-1596.11515926823
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,G,477.380725475773,119.642887615226,123.212049666351,0,123.212049666351,0,0,0,-477.380725475773,477.380725475773,784.20060411483,1261.5813295906,2177,-1261.5813295906
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,H,201.257521397288,0,0,0,0,0,0,0,-201.257521397288,201.257521397288,-3945.61555854566,-3744.35803714837,25,3744.35803714837
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,I,524.487960045707,136.122267969391,565.099092,565.099092,0,0,0,565.099092,40.6111319542928,524.487960045707,3173.76557921188,3698.25353925759,0,-3133.15444725759
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,J,4368.0500990318,1094.73654717688,2402.4716337713,2422.21635531371,-19.7447215424155,0,1225.13889531371,4197.07746,-1945.83374371809,4368.0500990318,-3173.76557921188,1194.28451981992,4029,1227.93183549379
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,K,1236.31883136526,38.1983717995756,584.929342,584.929342,0,0,0,584.929342,-651.38948936526,1236.31883136526,0,1236.31883136526,2405,-651.38948936526
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,A,933.986786519434,147.515915517631,2203.10720912088,2327.82788202986,-124.720672908984,0,0,5244.8202066,1393.84109551043,933.986786519434,0,933.986786519434,1616,1393.84109551043
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,B,618.641960022222,144.960633326516,1246.75388,1246.75388,0,0,0,1246.75388,628.111919977778,618.641960022222,0,618.641960022222,361,628.111919977778
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,C,860.171569150202,93.3187470107995,2801.22444254945,2887.7551610464,-86.530718496955,0,0,4056.6810405,2027.5835918962,860.171569150202,0,860.171569150202,3139,2027.5835918962
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,D,168.972029516236,14.3483418696134,876.328147558364,356.568062947089,519.760084611275,0,0,984.9807077,187.596033430853,168.972029516236,777.591851487167,946.563881003403,888,-589.995818056314
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,E,415.391998103143,23.8637933941709,0,0,0,0,0,0,-415.391998103143,415.391998103143,111.651420465324,527.043418568467,599,-527.043418568467
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,F,752.205742431129,105.365345121538,460.107310489193,568.003995,-107.896684510807,0,0,568.003995,-184.201747431129,752.205742431129,172.248160640179,924.453903071308,2210,-356.449908071308
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,G,810.88521680194,203.22699196955,-205.110886014689,0,-205.110886014689,0,0,0,-810.88521680194,810.88521680194,871.33488307857,1682.22009988051,2177,-1682.22009988051
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,H,230.237430792078,0,0,0,0,0,0,0,-230.237430792078,230.237430792078,-1932.82631567124,-1702.58888487916,25,1702.58888487916
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,I,492.648737521584,127.858918740196,565.099092,565.099092,0,0,0,565.099092,72.4503544784159,492.648737521584,1062.17249622078,1554.82123374236,0,-989.72214174236
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,J,3733.8359205215,935.787491142268,3156.07511762576,3199.34047687424,-43.2653592484775,0,2002.26301687424,4197.07746,-534.49544364726,3733.8359205215,-1062.17249622078,2671.66342430072,4029,527.677052573521
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,K,1885.24240732053,58.2480737008858,584.929342,584.929342,0,0,0,584.929342,-1300.31306532053,1885.24240732053,0,1885.24240732053,2405,-1300.31306532053
S3_BASE_3GW,s3_baseline,S5_2025_HIGH_TOTAL_EAST_PUBLIC,0,0,1,A,829.945765539073,131.083449145701,2070.93604473953,1703.74319021576,367.192854523768,0,0,5244.8202066,873.797424676685,829.945765539074,0,829.945765539074,1616,873.797424676685
