source_bus,source_generator_id,source_bus_name,source_zone,source_plant_name,source_fuel,device_class,source_regulated_bus,source_regulated_bus_name,regulated_zone,source_VS,source_QMIN,source_QMAX,source_PG,source_QG,source_PMIN,source_PMAX,retained_device_bus,retained_pilot_bus,reduced_device_type,q_participation_factor,status,converted_status,snapshot_effective_status,raw_converted_status_mismatch,remote_regulation,converted_gen_index,reduced_control_group_id,mapping_method,device_mapping_method,pilot_mapping_method,mapping_confidence,classification_confidence
6,1,UNKNOWN124~5,F,"Crescent",hydro,native_generator,6,UNKNOWN124~5,F,1.02,-1.5,1.8,2.745,-0.209,1,2.8,37,37,aggregate_pv_generator,0.0034911399100767,1,1,1,0,0,1,BUS_37__PILOT_37__AGGREGATE_PV_GENERATOR,residual Zone-F New Scotland proxy; local source regulation aggregated at device proxy,residual Zone-F New Scotland proxy,local source regulation aggregated at device proxy,medium,medium
6,2,UNKNOWN124~5,F,"Crescent",hydro,native_generator,6,UNKNOWN124~5,F,1.02,-1.5,1.8,2.745,-0.209,1,2.8,37,37,aggregate_pv_generator,0.0034911399100767,1,1,1,0,0,2,BUS_37__PILOT_37__AGGREGATE_PV_GENERATOR,residual Zone-F New Scotland proxy; local source regulation aggregated at device proxy,residual Zone-F New Scotland proxy,local source regulation aggregated at device proxy,medium,medium
6,3,UNKNOWN124~5,F,"Crescent",hydro,native_generator,6,UNKNOWN124~5,F,1.02,-1.7,2,2.941,-0.209,1,3,37,37,aggregate_pv_generator,0.00391430838402539,1,1,1,0,0,3,BUS_37__PILOT_37__AGGREGATE_PV_GENERATOR,residual Zone-F New Scotland proxy; local source regulation aggregated at device proxy,residual Zone-F New Scotland proxy,local source regulation aggregated at device proxy,medium,medium
6,4,UNKNOWN124~5,F,"Crescent",hydro,native_generator,6,UNKNOWN124~5,F,1.02,-1.7,2,2.941,-0.209,1,3,37,37,aggregate_pv_generator,0.00391430838402539,1,1,1,0,0,4,BUS_37__PILOT_37__AGGREGATE_PV_GENERATOR,residual Zone-F New Scotland proxy; local source regulation aggregated at device proxy,residual Zone-F New Scotland proxy,local source regulation aggregated at device proxy,medium,medium
15,1,UNKNOWN12~14,E,"Browns Falls",hydro,native_generator,15,UNKNOWN12~14,E,1.02,-4.4,5.2,7.842,-1.275,7,8,43,43,aggregate_pv_generator,0.00883408484402319,1,1,1,0,0,5,BUS_43__PILOT_43__AGGREGATE_PV_GENERATOR,Zone-E Edic/Porter proxies; local source regulation aggregated at device proxy,Zone-E Edic/Porter proxies,local source regulation aggregated at device proxy,low,medium
15,2,UNKNOWN12~14,E,"Browns Falls",hydro,native_generator,15,UNKNOWN12~14,E,1.02,-4.4,5.2,7.842,-1.275,7,8,43,43,aggregate_pv_generator,0.00883408484402319,1,1,1,0,0,6,BUS_43__PILOT_43__AGGREGATE_PV_GENERATOR,Zone-E Edic/Porter proxies; local source regulation aggregated at device proxy,Zone-E Edic/Porter proxies,local source regulation aggregated at device proxy,low,medium
17,1,UNKNOWN12~15,K,"E F Barrett",ng,offline,17,UNKNOWN12~15,K,1.01,-9.9,11.7,0,-9.9,10.5,18,9003,9003,offline_preserved_record,0,0,0,0,0,0,7,BUS_9003__PILOT_9003__OFFLINE_PRESERVED_RECORD,residual Zone-K East-Garden-City proxy; local source regulation aggregated at device proxy,residual Zone-K East-Garden-City proxy,local source regulation aggregated at device proxy,medium,high
17,10,UNKNOWN12~15,K,"E F Barrett",ng,offline,17,UNKNOWN12~15,K,1.01,-23,27.2,0,-23,30,41.8,9003,9003,offline_preserved_record,0,0,0,0,0,0,16,BUS_9003__PILOT_9003__OFFLINE_PRESERVED_RECORD,residual Zone-K East-Garden-City proxy; local source regulation aggregated at device proxy,residual Zone-K East-Garden-City proxy,local source regulation aggregated at device proxy,medium,high
17,11,UNKNOWN12~15,K,"E F Barrett",ng,native_generator,17,UNKNOWN12~15,K,1.01,-23,27.2,30,-23,30,41.8,9003,9003,aggregate_pv_generator,0.0119501758604067,1,1,1,0,0,17,BUS_9003__PILOT_9003__AGGREGATE_PV_GENERATOR,residual Zone-K East-Garden-City proxy; local source regulation aggregated at device proxy,residual Zone-K East-Garden-City proxy,local source regulation aggregated at device proxy,medium,medium
17,12,UNKNOWN12~15,K,"E F Barrett",ng,native_generator,17,UNKNOWN12~15,K,1.01,-103.4,122.2,183,-27.652,15,188,9003,9003,aggregate_pv_generator,0.0537043759782421,1,1,1,0,0,18,BUS_9003__PILOT_9003__AGGREGATE_PV_GENERATOR,residual Zone-K East-Garden-City proxy; local source regulation aggregated at device proxy,residual Zone-K East-Garden-City proxy,local source regulation aggregated at device proxy,medium,medium
