audit_group,scenario_id,voltage_reference_set,sweep_direction,start_mode,perturbation_id,boundary_q_mode,reference_weight,external_interface_name,gen_index,bus_id,pg_mw,qg_mvar,target_q_mvar,q_deviation_mvar,qmin_mvar,qmax_mvar
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.805,PJM_NY_RAMAPO,42,75,-19.7467215424155,398.364095922608,-4.94874429843453,403.312840221042,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.805,PJM_NY_GOETHALS,43,81,-19.7467215424155,499.999993941639,-4.94874429843453,504.948738240074,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8075,HQ_NY_MOSES,36,48,-482.986326633401,-14.8223560486984,-121.047533070407,106.225177021709,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8075,NE_NY_NORTHFIELD,37,37,95.3028474725107,-473.161645515403,23.8853956683908,-497.047041183793,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8075,NE_NY_PV,38,73,142.954771208766,179.948962105903,35.8280935025862,144.120868603317,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8075,OH_NY_NIAGARA,39,54,406.012236517478,-441.597318433549,101.756508871492,-543.353827305041,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8075,PJM_NY_WATERCURE,40,66,-27.6450101593817,143.065167399934,-6.92824201780835,149.993409417742,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8075,PJM_NY_WRHL,41,67,-11.8484329254493,68.8761581016238,-2.96924657906072,71.8454046806845,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8075,PJM_NY_RAMAPO,42,75,-19.7467215424155,402.121889711618,-4.94874429843453,407.070634010052,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8075,PJM_NY_GOETHALS,43,81,-19.7467215424155,500,-4.94874429843453,504.948744298435,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.81,HQ_NY_MOSES,36,48,-482.986050609011,146.195523476976,-121.047533070407,267.243056547383,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.81,NE_NY_NORTHFIELD,37,37,95.3031203274715,-486.816934173801,23.8853956683908,-510.702329842192,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.81,NE_NY_PV,38,73,142.955018164301,153.434786948747,35.8280935025862,117.60669344616,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.81,OH_NY_NIAGARA,39,54,406.012528551576,-439.612545291653,101.756508871492,-541.369054163145,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.81,PJM_NY_WATERCURE,40,66,-27.6447349930913,141.767861625267,-6.92824201780835,148.696103643075,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.81,PJM_NY_WRHL,41,67,-11.8481585333494,67.3474081473004,-2.96924657906072,70.3166547263611,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.81,PJM_NY_RAMAPO,42,75,-19.7464826367258,405.572456466278,-4.94874429843453,410.521200764713,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.81,PJM_NY_GOETHALS,43,81,-19.7464847570905,499.978414292352,-4.94874429843453,504.927158590786,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,HQ_NY_MOSES,36,48,-482.986149627015,145.903481082661,-121.047533070407,266.951014153067,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,NE_NY_NORTHFIELD,37,37,95.303020798517,-487.826851615149,23.8853956683908,-511.71224728354,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,NE_NY_PV,38,73,142.954916903918,168.125758139751,35.8280935025862,132.297664637165,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,OH_NY_NIAGARA,39,54,406.01243272119,-438.87254616184,101.756508871492,-540.629055033332,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,PJM_NY_WATERCURE,40,66,-27.644834198893,141.09723948805,-6.92824201780835,148.025481505858,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,PJM_NY_WRHL,41,67,-11.8482578485661,66.5159313046301,-2.96924657906072,69.4851778836909,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,PJM_NY_RAMAPO,42,75,-19.7465835677856,402.573866665158,-4.94874429843453,407.522610963592,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,PJM_NY_GOETHALS,43,81,-19.7465855775907,499.978117174503,-4.94874429843453,504.926861472938,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,HQ_NY_MOSES,36,48,-482.986085051566,-9.15382996590718,-121.047533070407,111.8937031045,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,NE_NY_NORTHFIELD,37,37,95.3030876947765,-482.685032012304,23.8853956683908,-506.570427680694,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,NE_NY_PV,38,73,142.954994649447,182.885900599334,35.8280935025862,147.057807096748,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,OH_NY_NIAGARA,39,54,406.012489363663,-438.176324380104,101.756508871492,-539.932833251596,-750,750
