scenario_id,timestamp,source_load_file,source_interface_file,nyiso_total_load_mw,npcc_ny_total_load_mw,scale_factor_gamma,solver,notes
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,20190701palIntegrated_csv.zip,20190701ExternalLimitsFlows_csv.zip,30396.9,10902.2197987,0.358662225381536,IPOPT,summer max total load from July 2019 P-58C (30396.9 MW)
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,20190101palIntegrated_csv.zip,20190101ExternalLimitsFlows_csv.zip,24727.6,10902.2197987,0.440892759455022,IPOPT,winter max total load from January 2019 P-58C (24727.6 MW)
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,20190401palIntegrated_csv.zip,20190401ExternalLimitsFlows_csv.zip,11951.1,10902.2197987,0.912235676941871,IPOPT,shoulder minimum total load from April 2019 P-58C (11951.1 MW)
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,20190701palIntegrated_csv.zip,20190701ExternalLimitsFlows_csv.zip,29319.7,10902.2197987,0.371839404860896,IPOPT,summer max NYC plus Long Island load from July 2019 P-58C (15816.5 MW)
S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,20190701palIntegrated_csv.zip,20190701ExternalLimitsFlows_csv.zip,24338.6,10902.2197987,0.447939478799109,IPOPT,maximum on-the-hour Total East flow from July 2019 P-32 (5781.1 MW)
S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,20190701palIntegrated_csv.zip,20190701ExternalLimitsFlows_csv.zip,16935.2,10902.2197987,0.643760912106146,IPOPT,minimum on-the-hour Total East flow from July 2019 P-32 (2206.4 MW)
