source_bus,reduced_bus,modsw,vswhi,vswlo,binit_mvar,raw_record
240,57,2,1.01,1.01,43.25,"240,2,0,0,1.01000,1.01000,    0,100.0,'        ',   43.25, 1,  50.00"
485,92,2,1.01,1.01,40.31,"485,2,0,0,1.01000,1.01000,    0,100.0,'        ',   40.31, 1, 100.00"
489,93,2,1.01,1.01,15.12,"489,2,0,0,1.01000,1.01000,    0,100.0,'        ',   15.12, 1, 100.00"
512,96,2,1.01,1.01,30.06,"512,2,0,0,1.01000,1.01000,    0,100.0,'        ',   30.06, 1, 100.00, 1, 1.9E-0037"
539,101,2,1.02,1.02,1.47,"539,2,0,0,1.02000,1.02000,    0,100.0,'        ',    1.47, 1,  30.00"
570,114,2,1,1,0,"570,2,0,0,1.00000,1.00000,    0,100.0,'        ',    0.00, 1, 300.00"
580,120,2,1.01,1.01,0,"580,2,0,0,1.01000,1.01000,    0,100.0,'        ',    0.00, 1, 500.00"
587,121,2,1.01,1.01,31.13,"587,2,0,0,1.01000,1.01000,    0,100.0,'        ',   31.13, 1,  50.00"
589,122,2,1.02,1.02,500,"589,2,0,0,1.02000,1.02000,    0,100.0,'        ',  500.00, 1, 500.00"
608,130,2,1.0075,1.0075,0,"608,2,0,0,1.00750,1.00750,    0,100.0,'        ',    0.00, 1, 200.00"
609,131,2,1.0075,1.0075,-99.74,"609,2,0,0,1.00750,1.00750,    0,100.0,'        ',  -99.74, 1,-200.00, 1, 200.00"
621,134,2,1,1,0,"621,2,0,0,1.00000,1.00000,  627,100.0,'        ',    0.00, 1, 150.00"
623,135,2,1,1,0,"623,2,0,0,1.00000,1.00000,    0,100.0,'        ',    0.00, 1, 250.00"
733,151,2,1,1,13.49,"733,2,0,0,1.00000,1.00000,    0,100.0,'        ',   13.49, 1, 100.00"
736,153,2,1,1,14.07,"736,2,0,0,1.00000,1.00000,    0,100.0,'        ',   14.07, 1, 200.00"
737,154,2,1,1,0,"737,2,0,0,1.00000,1.00000,    0,100.0,'        ',    0.00, 1, 200.00"
738,155,2,1,1,0,"738,2,0,0,1.00000,1.00000,    0,100.0,'        ',    0.00, 1, 200.00"
739,156,2,1,1,9.82,"739,2,0,0,1.00000,1.00000,    0,100.0,'        ',    9.82, 1, 200.00"
740,157,2,1,1,0,"740,2,0,0,1.00000,1.00000,    0,100.0,'        ',    0.00, 1, 275.00"
822,179,2,1,1,0,"822,2,0,0,1.00000,1.00000,    0,100.0,'        ',    0.00, 1, 100.00, 1, 1.9E-0037"
840,182,2,1.01,1.01,12.71,"840,2,0,0,1.01000,1.01000,    0,100.0,'        ',   12.71, 1, 500.00"
842,183,2,1.01,1.01,0,"842,2,0,0,1.01000,1.01000,    0,100.0,'        ',    0.00, 1, 500.00"
846,184,2,1,1,0,"846,2,0,0,1.00000,1.00000,    0,100.0,'        ',    0.00, 1, 200.00"
861,188,2,1,1,23.96,"861,2,0,0,1.00000,1.00000,    0,100.0,'        ',   23.96, 1, 100.00"
999,205,2,1.01,1.01,40,"999,2,0,0,1.01000,1.01000,    0,100.0,'        ',   40.00, 1,  40.00"
1138,221,2,1.01,1.01,19.19,"1138,2,0,0,1.01000,1.01000,    0,100.0,'        ',   19.19, 1,  60.00"
1160,225,2,1.02,1.02,204.33,"1160,2,0,0,1.02000,1.02000,    0,100.0,'        ',  204.33, 1,-400.00, 1, 400.00"
1161,226,2,1.01,1.01,19.64,"1161,2,0,0,1.01000,1.01000,    0,100.0,'        ',   19.64, 1,  30.00"
1164,228,2,1.01,1.01,0,"1164,2,0,0,1.01000,1.01000,    0,100.0,'        ',    0.00, 1, 500.00"
1204,235,2,1.01,1.01,10.5,"1204,2,0,0,1.01000,1.01000,    0,100.0,'        ',   10.50, 1,  50.00"
1484,293,2,1.01,1.01,23.06,"1484,2,0,0,1.01000,1.01000,    0,100.0,'        ',   23.06, 1,  50.00"
1489,294,2,1,1,0,"1489,2,0,0,1.00000,1.00000,    0,100.0,'        ',    0.00, 1, 200.00"
1496,295,2,1.01,1.01,0,"1496,2,0,0,1.01000,1.01000,    0,100.0,'        ',    0.00, 1, 500.00"
1539,308,2,1.02,1.02,83.53,"1539,2,0,0,1.02000,1.02000,    0,100.0,'        ',   83.53, 1, 500.00"
