model_branch_row,model_from_bus,model_to_bus,overlay_path_id,npcc_attachment_from_bus,npcc_attachment_to_bus,source_model,source_case,source_branch_row,source_from_bus,source_to_bus,source_circuit_id,source_r_pu,source_x_pu,source_b_pu,source_rate_a_mva,source_rate_b_mva,source_rate_c_mva,branch_classification,construction_method,residual_overlap_status,dlr_eligible,dlr_data_status,mapping_confidence,implementation_status
247,1228,43,phase1a_e_g_edic_ramapo,43,76,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,2137,1228,1233,1,0.00232,0.03545,0.91639,1216,2454,1804,physical_circuit,direct_perform_electrical_copy_neutral_angle_bounds,pending_phase1d_passive_fit,0,pending_conductor_and_weather_mapping,high,implemented_unpromoted_phase1a
248,1228,1222,phase1a_e_g_edic_ramapo,43,76,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,2131,1228,1222,1,0.00141,0.02147,0.55498,1216,2454,1804,physical_circuit,direct_perform_electrical_copy_neutral_angle_bounds,pending_phase1d_passive_fit,0,pending_conductor_and_weather_mapping,high,implemented_unpromoted_phase1a
249,43,1567,phase1a_e_g_edic_ramapo,43,76,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,2154,1233,1567,1,5e-05,0.00073,0.01892,1216,2454,1804,physical_circuit,direct_perform_electrical_copy_neutral_angle_bounds,pending_phase1d_passive_fit,0,pending_conductor_and_weather_mapping,high,implemented_unpromoted_phase1a
250,1567,1222,phase1a_e_g_edic_ramapo,43,76,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,2133,1567,1222,1,0.00425,0.06486,1.67665,1216,2454,1804,physical_circuit,direct_perform_electrical_copy_neutral_angle_bounds,pending_phase1d_passive_fit,0,pending_conductor_and_weather_mapping,high,implemented_unpromoted_phase1a
251,772,1222,phase1a_e_g_edic_ramapo,43,76,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1567,772,1222,1,0.00155,0.0236,0.61003,1216,2454,1804,physical_circuit,direct_perform_electrical_copy_neutral_angle_bounds,pending_phase1d_passive_fit,0,pending_conductor_and_weather_mapping,high,implemented_unpromoted_phase1a
252,772,1222,phase1a_e_g_edic_ramapo,43,76,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1568,772,1222,2,0.00155,0.02362,0.61058,1216,2454,1804,physical_circuit,direct_perform_electrical_copy_neutral_angle_bounds,pending_phase1d_passive_fit,0,pending_conductor_and_weather_mapping,high,implemented_unpromoted_phase1a
253,772,76,phase1a_e_g_edic_ramapo,43,76,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1571,772,1519,1,0.00083,0.01265,0.32696,1216,2454,1804,physical_circuit,direct_perform_electrical_copy_neutral_angle_bounds,pending_phase1d_passive_fit,0,pending_conductor_and_weather_mapping,high,implemented_unpromoted_phase1a
254,73,858,phase1b_pv_wood_mesh,73,9002,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1389,651,858,1,0.00035,0.00527,0.13611,1216,2454,1804,physical_circuit,direct_perform_electrical_copy_neutral_angle_bounds,pending_phase1d_passive_fit,0,pending_conductor_and_weather_mapping,high,implemented_unpromoted_phase1b
255,73,858,phase1b_pv_wood_mesh,73,9002,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1390,651,858,2,0.00035,0.00527,0.13612,1216,2454,1804,physical_circuit,direct_perform_electrical_copy_neutral_angle_bounds,pending_phase1d_passive_fit,0,pending_conductor_and_weather_mapping,high,implemented_unpromoted_phase1b
256,73,9002,phase1b_pv_wood_mesh,73,9002,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1391,651,902,1,0.00081,0.01237,0.31971,1216,2454,1804,physical_circuit,direct_perform_electrical_copy_neutral_angle_bounds,pending_phase1d_passive_fit,0,pending_conductor_and_weather_mapping,high,implemented_unpromoted_phase1b
257,73,9002,phase1b_pv_wood_mesh,73,9002,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1392,651,902,2,0.00081,0.01237,0.31972,1216,2454,1804,physical_circuit,direct_perform_electrical_copy_neutral_angle_bounds,pending_phase1d_passive_fit,0,pending_conductor_and_weather_mapping,high,implemented_unpromoted_phase1b
258,858,9002,phase1b_pv_wood_mesh,73,9002,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1689,858,902,1,0.00047,0.00713,0.18428,1216,2454,1804,physical_circuit,direct_perform_electrical_copy_neutral_angle_bounds,pending_phase1d_passive_fit,0,pending_conductor_and_weather_mapping,high,implemented_unpromoted_phase1b
