score_type,sum_reporting_interface_objective,mean_abs_residual_mw,max_abs_residual_mw,mean_signed_residual_mw,negative_residual_count,positive_residual_count,scenario_count
initial_dc,0.0155993635276304,36.4106123466437,354.886891391138,-21.0796697051182,30,12,6
structural_frozen_s6_ac,0.23330263476232,138.350505256231,424.907845405738,-137.977274703196,41,1,6
operational_reoptimized_ac,0.0153097682237959,19.4948001389454,416.002007589673,-18.1133401015055,33,9,6
