interface_name,fixed_scale_mw,min_scale_mw,available_limit_count,missing_limit_count,source,note
Dysinger_East,1399.91077525026,500,6,0,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
West_Central,4478.94684851229,500,5,1,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
Moses_South,1280.05315879757,500,6,0,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
Central_East,1288.73627827504,500,6,0,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
Total_East_proxy,3022.02961006405,500,6,0,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
UPNY_ConEd,2533.17187902427,500,6,0,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
Dunwoodie_South,1988.32171313462,500,6,0,median_available_scaled_p32_target_limit,Fixed scale for objective normalization; not a branch rating.
