branch_row,branch_key,temperature_c,series_phase_current_amp,subconductor_current_amp,from_terminal_current_amp,to_terminal_current_amp,series_loss_mw,total_conductor_joule_mw,heating_identity_error_mw
82,PERFORM2019:AC:651:858:1,32.7162874824322,603.023465861679,301.51173293084,604.558791798756,601.519686362613,0.391069309851619,0.391069309851619,1.11022302462516e-16
83,PERFORM2019:AC:651:858:2,32.7162874824322,603.023465861679,301.51173293084,604.558913666667,601.51958502085,0.391069309851619,0.391069309851619,1.11022302462516e-16
84,PERFORM2019:AC:651:902:1,32.7133224213497,602.52733637602,301.26366818801,605.720959835526,599.517185295815,0.903547230088201,0.903547230088201,1.11022302462516e-16
85,PERFORM2019:AC:651:902:2,32.7133224213497,602.52733637602,301.26366818801,605.721081056298,599.517112815345,0.903547230088201,0.903547230088201,1.11022302462516e-16
86,PERFORM2019:AC:858:902:1,32.6975507344815,599.881447176096,299.940723588048,601.519737034003,598.309447342674,0.519654615430343,0.519654615430343,1.11022302462516e-16
87,PERFORM2019:AC:858:902:2,32.6975507344815,599.881447176096,299.940723588048,601.519534350476,598.309592873322,0.519654615430343,0.519654615430343,1.11022302462516e-16
88,PERFORM2019:AC:897:902:1,38.1112839762407,1196.84197573231,598.420987866157,1197.8274894871,1195.51040048052,1.66219913277364,1.66219913277364,0
89,PERFORM2019:AC:897:902:2,38.1112839762407,1196.84197573231,598.420987866157,1197.82581916375,1195.51238918718,1.66219913277364,1.66219913277364,0
90,PERFORM2019:AC:774:1519:1,31.2634974924944,262.976597465137,131.488298732568,264.058461341469,262.023787395552,0.0380363191820285,0.0380363191820285,1.38777878078145e-17
91,PERFORM2019:AC:774:900:1,31.2574135249838,260.609552884007,130.304776442004,262.023787395553,259.710012573625,0.0726323832707236,0.0726323832707236,1.38777878078145e-17
92,PERFORM2019:AC:900:1519:1,31.2533813196739,259.028803123706,129.514401561853,261.827969115932,257.422511114728,0.110704357239065,0.110704357239065,1.38777878078145e-17
93,NY2025:CEEC:351,31.5848702309419,366.811102573489,183.405551286745,376.400303941537,364.23414119023,0.719576710041856,0.719576710041856,0
94,NY2025:CEEC:352,31.5848702309419,366.811102573489,183.405551286745,376.400303941537,364.23414119023,0.719576710041856,0.719576710041856,0
95,NY2025:CEEC:361,32.4210124152275,551.380988966235,275.690494483118,553.028122181875,550.023246721751,0.632980273562645,0.632980273562645,0
96,NY2025:CEEC:362,32.4210124152275,551.380988966235,275.690494483118,553.028122181875,550.023246721751,0.632980273562645,0.632980273562645,0
97,NY2025:CEEC:14,31.409493769676,314.455608097563,157.227804048781,324.859198090127,314.692243122777,0.567904334547705,0.567904334547705,3.33066907387547e-16
98,NY2025:CEEC:371,31.7014328432661,397.785761982139,198.89288099107,396.222800215594,399.376188426965,0.0631801553143177,0.0631801553143177,1.38777878078145e-17
102,NY2025:NYES:1,31.3706433801568,301.620619444271,150.810309722136,303.566545825989,300.765148399651,0.159626033430545,0.159626033430545,0
103,NY2025:NYES:2,31.3718192882163,302.017154495869,151.008577247935,300.765148399649,305.556037553989,0.232795271749011,0.232795271749011,2.77555756156289e-17
104,NY2025:SMART_PATH:1,43.4372643443234,722.244468732559,722.244468732559,717.964614399729,714.420598838998,8.57340222491404,8.57340222491404,1.77635683940025e-15
105,NY2025:SMART_PATH:2,43.4299182646634,722.043517745978,722.043517745978,717.761328654645,714.220880212879,8.57470062630995,8.57470062630995,0
106,NY2025:SMART_PATH:3,43.2586253360573,717.340018584596,717.340018584596,717.862971525231,712.458420712087,5.95866373475694,5.95866373475694,8.88178419700125e-16
107,NY2025:SMART_PATH:4,43.2586253360573,717.340018584596,717.340018584596,717.862971525231,712.458420712087,5.95866373475694,5.95866373475694,8.88178419700125e-16
