branch_key,temperature_c,independent_PF_equilibrium_c,heat_residual_w_m,temperature_limit_c,passed
PERFORM2019:AC:651:858:1,32.7162874824322,32.7137118573133,-0.00843281282168329,75,1
PERFORM2019:AC:651:858:2,32.7162874824322,32.7137118573133,-0.00843281282168329,75,1
PERFORM2019:AC:651:902:1,32.7133224213497,32.7107463888528,-0.0084342199258125,75,1
PERFORM2019:AC:651:902:2,32.7133224213497,32.7107463888528,-0.0084342199258125,75,1
PERFORM2019:AC:858:902:1,32.6975507344815,32.694973580693,-0.00843828132120494,75,1
PERFORM2019:AC:858:902:2,32.6975507344815,32.694973580693,-0.00843828132120494,75,1
PERFORM2019:AC:897:902:1,38.1112839762407,38.1090514104222,-0.00719808025604252,75,1
PERFORM2019:AC:897:902:2,38.1112839762407,38.1090514104222,-0.00719808025604252,75,1
PERFORM2019:AC:774:1519:1,31.2634974924944,31.2608277904467,-0.00877841282532366,75,1
PERFORM2019:AC:774:900:1,31.2574135249838,31.2547434485662,-0.00877980275123935,75,1
PERFORM2019:AC:900:1519:1,31.2533813196739,31.2507110046057,-0.00878069284050786,75,1
NY2025:CEEC:351,31.5848702309419,31.5822235757726,-0.00869432692508942,75,1
NY2025:CEEC:352,31.5848702309419,31.5822235757726,-0.00869432692508942,75,1
NY2025:CEEC:361,32.4210124152275,32.4184223277214,-0.00848751821665017,75,1
NY2025:CEEC:362,32.4210124152275,32.4184223277214,-0.00848751821665017,75,1
NY2025:CEEC:14,31.409493769676,31.4068354724803,-0.00873711838770186,75,1
NY2025:CEEC:371,31.7014328432661,31.6987949525665,-0.00866254215830287,75,1
NY2025:NYES:1,31.3706433801568,31.3679816897053,-0.00874928115960927,75,1
NY2025:NYES:2,31.3718192882163,31.3691576848331,-0.00874896437869976,75,1
NY2025:SMART_PATH:1,43.4372643443234,43.4353996916252,-0.00562930378167437,75,1
NY2025:SMART_PATH:2,43.4299182646634,43.4280531505164,-0.00563080661767756,75,1
NY2025:SMART_PATH:3,43.2586253360573,43.2567794298121,-0.00557535284575472,75,1
NY2025:SMART_PATH:4,43.2586253360573,43.2567794298121,-0.00557535284575472,75,1
