device_key,source_bus,model_bus,status,source_reference_vg_pu,mapped_vg_pu,policy,raw_remote_control_omitted
PERFORM2019:GEN:31:5,31,20031,1,1.01431009551866,1.01431009551866,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:31:6,31,20031,1,1.01431009551866,1.01431009551866,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:31:7,31,20031,1,1.01431009551866,1.01431009551866,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:32:C1,32,20032,1,1.01402807706936,1.01402807706936,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:33:C1,33,56,1,1.02053865655747,1.01127646398436,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:34:C1,34,50,1,1.03435937158527,1.04818163385514,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:35:1,35,20035,1,1.01640290307087,1.01640290307087,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:35:2,35,20035,1,1.01640290307087,1.01640290307087,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:35:3,35,20035,1,1.01640290307087,1.01640290307087,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:35:4,35,20035,1,1.01640290307087,1.01640290307087,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:35:5,35,20035,1,1.01640290307087,1.01640290307087,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:35:6,35,20035,1,1.01640290307087,1.01640290307087,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:37:C1,37,57,1,1.01522175270501,1.01522175270501,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:38:1,38,61,1,1.01443690212012,1.0126056823383,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:39:1,39,60,1,1.01790164237677,1.01790164237677,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:41:C1,41,56,1,1.0094659251677,1.01127646398436,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:52:1,52,72,1,1.01746760372845,1.02358092047438,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:53:1,53,68,1,1.02253865821879,1.01964877401686,local_PV_common_terminal_Q_span_weighted_reference_prior,0
