parent_gen_row,parent_bus,old_pg_mw,old_qg_mvar,old_pmin_mw,old_pmax_mw,old_qmin_mvar,old_qmax_mvar,disposition
10,42,398.790277,349.52573,0,568.003995,-999,999,retired_once_replaced_by_source_keyed_native_records
11,47,944.920662,70.3444442,0,944.920662,-999,999,retired_once_replaced_by_source_keyed_native_records
12,48,40.0600456,132.871442,0,40.0600457,-999,999,retired_once_replaced_by_source_keyed_native_records
13,50,1105.24857748821,448.554516,0,1105.24857748821,-999,999,retired_once_replaced_by_source_keyed_native_records
14,51,4.30367365e-07,44.8515469,0,292.878562141814,-999,999,retired_once_replaced_by_source_keyed_native_records
15,53,288.8,242.955128,0,288.8,-999,999,retired_once_replaced_by_source_keyed_native_records
16,54,197.192650893643,0.470267887,0,197.192650893643,-999,999,retired_once_replaced_by_source_keyed_native_records
17,54,197.192650893643,65.0449814,0,197.192650893643,-9999,9999,retired_once_replaced_by_source_keyed_native_records
18,55,197.192650893643,416.208953,0,197.192650893643,-999,999,retired_once_replaced_by_source_keyed_native_records
19,56,495.093851384339,123.109611,0,495.093851384339,-999,999,retired_once_replaced_by_source_keyed_native_records
20,57,14.3166985641929,88.7434425,0,14.3166985641929,-999,999,retired_once_replaced_by_source_keyed_native_records
21,60,2.66180453e-07,202.606111,0,59.5351288283759,-999,999,retired_once_replaced_by_source_keyed_native_records
22,61,2.32602822e-07,-23.9178436,0,132.276368542162,-999,999,retired_once_replaced_by_source_keyed_native_records
23,65,2.42127141e-08,27.6861952,0,7.481832143219,-999,999,retired_once_replaced_by_source_keyed_native_records
24,68,2.56178694e-07,172.280965,0,271.054008885173,-999,999,retired_once_replaced_by_source_keyed_native_records
25,71,643.677757785503,94.1098296,0,643.677757785503,-999,999,retired_once_replaced_by_source_keyed_native_records
26,72,3.09294094e-07,-17.3485866,0,190.859261556085,-999,999,retired_once_replaced_by_source_keyed_native_records
27,78,565.099091,777.172253,0,565.099092,-999,999,retired_once_replaced_by_source_keyed_native_records
28,79,577.453484,53.5038859,0,577.453484,-999,999,retired_once_replaced_by_source_keyed_native_records
29,80,584.92934,35.2376352,0,584.929342,-999,999,retired_once_replaced_by_source_keyed_native_records
30,82,619.623976,123.659545,0,619.623976,-999,999,retired_once_replaced_by_source_keyed_native_records
49,79,0,0,0,1200,-0,0,retired_once_replaced_by_source_keyed_native_records
50,82,0,0,0,900,-0,0,retired_once_replaced_by_source_keyed_native_records
51,81,0,0,0,900,-0,0,retired_once_replaced_by_source_keyed_native_records
52,43,0,0,0,400,-0,0,retired_once_replaced_by_source_keyed_native_records
53,44,0,0,0,200,-0,0,retired_once_replaced_by_source_keyed_native_records
54,38,0,0,0,500,-0,0,retired_once_replaced_by_source_keyed_native_records
55,42,0,0,0,500,-0,0,retired_once_replaced_by_source_keyed_native_records
56,41,0,0,0,300,-0,0,retired_once_replaced_by_source_keyed_native_records
57,37,0,0,0,300,-0,0,retired_once_replaced_by_source_keyed_native_records
58,73,0,0,0,900,-0,0,retired_once_replaced_by_source_keyed_native_records
59,76,0,0,0,700,-0,0,retired_once_replaced_by_source_keyed_native_records
60,39,0,0,0,600,-0,0,retired_once_replaced_by_source_keyed_native_records
61,80,0,0,0,1200,-0,0,retired_once_replaced_by_source_keyed_native_records
62,9003,0,0,0,600,-0,0,retired_once_replaced_by_source_keyed_native_records
