model_bus,zone,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar,gs_mw,bs_mvar
50,C,397.92,0,0,0,397.92,0,0,0
51,C,559.52,0,0,0,559.52,0,0,0
52,B,0,0,0,0,0,0,0,0
53,B,1727.83,0,0,0,1727.83,0,0,43.25
54,A,171.02,0,0,0,171.02,0,0,0
55,A,0,0,0,0,0,0,0,0
56,A,961.030000000002,0,725,-69.957884491536,236.030000000002,69.957884491536,0,0
57,A,642.49,0,0,0,642.49,0,0,0
58,A,164.18,0,0,0,164.18,0,0,0
59,A,137.92,0,0,0,137.92,0,0,0
60,A,4.2,0,0,0,4.2,0,0,0
61,A,289.49,0,0,0,289.49,0,0,0
62,A,0,0,0,0,0,0,0,0
63,C,0,0,0,0,0,0,0,0
64,C,0,0,0,0,0,0,0,0
65,C,54.33,0,0,0,54.33,0,0,0
66,C,0,0,0,0,0,0,0,0
67,C,0,0,0,0,0,0,0,0
68,C,1093.12,0,0,0,1093.12,0,0,0
69,C,0,0,0,0,0,0,0,0
70,C,0,0,0,0,0,0,0,0
71,C,129.27,0,0,0,129.27,0,0,0
72,C,299.24,0,0,0,299.24,0,0,0
20002,F,1.54,0,0,0,1.54,0,0,0
20003,F,3.42,0,0,0,3.42,0,0,0
20004,D,74.05,0,0,0,74.05,0,0,0
20005,F,3.42,0,0,0,3.42,0,0,0
20006,F,3.42,0,0,0,3.42,0,0,0
20007,F,6.84,0,0,0,6.84,0,0,0
20008,F,6.84,0,0,0,6.84,0,0,0
20009,G,36.73,0,0,0,36.73,0,0,0
20010,D,14.81,0,0,0,14.81,0,0,0
20011,F,6.84,0,0,0,6.84,0,0,0
20012,F,3.42,0,0,0,3.42,0,0,0
20013,F,13.69,0,0,0,13.69,0,0,0
20014,E,4.15,0,0,0,4.15,0,0,0
20015,E,4.15,0,0,0,4.15,0,0,0
20016,E,10.39,0,0,0,10.39,0,0,0
20017,K,44.52,0,0,0,44.52,0,0,0
20018,K,41.74,0,0,0,41.74,0,0,0
20019,K,77.35,0,129.999995,-110.476803435258,-52.649995,110.476803435258,0,0
20020,E,8.31,0,0,0,8.31,0,0,0
20021,E,8.31,0,0,0,8.31,0,0,0
20022,F,1.54,0,0,0,1.54,0,0,0
20023,E,10.39,0,0,0,10.39,0,0,0
20025,E,2.08,0,0,0,2.08,0,0,0
20026,J,0,0,0,0,0,0,0,0
20028,E,2.08,0,0,0,2.08,0,0,0
20031,F,3.42,0,0,0,3.42,0,0,0
20032,F,3.42,0,0,0,3.42,0,0,0
20035,D,35.24,0,0,0,35.24,0,0,0
20036,D,35.24,0,0,0,35.24,0,0,0
20040,E,2.08,0,0,0,2.08,0,0,0
20049,E,4.15,0,0,0,4.15,0,0,0
20050,E,4.15,0,0,0,4.15,0,0,0
20059,E,14.54,0,0,0,14.54,0,0,0
20060,E,1.87,0,0,0,1.87,0,0,0
20062,F,0,0,0,0,0,0,0,0
20063,F,0,0,0,0,0,0,0,0
20064,E,2.08,0,0,0,2.08,0,0,0
20079,J,0,0,0,0,0,0,0,0
20080,E,4.15,0,0,0,4.15,0,0,0
20082,E,2.08,0,0,0,2.08,0,0,0
20083,E,6.23,0,0,0,6.23,0,0,0
20084,F,3.42,0,0,0,3.42,0,0,0
20125,E,2.08,0,0,0,2.08,0,0,0
20126,E,2.08,0,0,0,2.08,0,0,0
20127,F,34.22,0,0,0,34.22,0,0,0
20168,E,2.08,0,0,0,2.08,0,0,0
20186,E,6.23,0,0,0,6.23,0,0,0
20187,E,4.15,0,0,0,4.15,0,0,0
20188,E,4.15,0,0,0,4.15,0,0,0
20189,E,2.08,0,0,0,2.08,0,0,0
20190,D,29.62,0,0,0,29.62,0,0,0
20191,D,29.62,0,0,0,29.62,0,0,0
20192,D,44.43,0,0,0,44.43,0,0,0
20193,D,59.24,0,0,0,59.24,0,0,0
20194,F,20.53,0,0,0,20.53,0,0,0
20195,F,6.84,0,0,0,6.84,0,0,0
20196,F,6.84,0,0,0,6.84,0,0,0
20203,E,4.15,0,0,0,4.15,0,0,0
20204,E,6.23,0,0,0,6.23,0,0,0
20205,E,8.31,0,0,0,8.31,0,0,0
20206,E,4.15,0,0,0,4.15,0,0,0
20366,E,4.15,0,0,0,4.15,0,0,0
20367,E,2.08,0,0,0,2.08,0,0,0
20368,E,4.15,0,0,0,4.15,0,0,0
20369,E,2.08,0,0,0,2.08,0,0,0
