parent_branch_row,parent_from_bus,parent_to_bus,original_status,disposition,new_active_contribution,alternative_policy,r_pu,x_pu,b_pu,rate_a_mva,rate_b_mva,rate_c_mva,tap,shift_deg,angle_min_deg,angle_max_deg
25,29,37,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0035,0.0411,0.7,1206.77007,0,0,0,0,-360,360
32,35,73,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0023,0.0363,0.38,1206.77007,0,0,0,0,-360,360
33,37,38,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0016,0.0163,0.25,2500,0,0,0,0,-360,360
34,37,39,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0008,0.0074,0.48,3388,3388,3388,0,0,-360,360
35,37,40,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0009,0.0315,0.06,2500,0,0,0,0,-360,360
36,37,43,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0013,0.0188,1.31,3745.98196383403,3745.98196383403,3745.98196383403,0,0,-360,360
37,38,69,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0043,0.0485,0.79,1216,1216,1216,0,0,-360,360
38,39,73,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0019,0.0183,0.29,2500,0,0,0,0,-360,360
39,39,73,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0019,0.0183,0.29,2500,0,0,0,0,-360,360
40,40,44,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.008,0.053,0.4,1328.76341358641,1328.76341358641,1328.76341358641,0,0,-360,360
41,41,42,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0018,0.0089,0.07,2500,0,0,0,0,-360,360
42,41,45,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0776,0.2241,0.13,314.254622579561,314.254622579561,314.254622579561,0,0,-360,360
43,43,44,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0,0.011,0,2500,0,0,0,0,-360,360
