device_key,source_bus,model_bus,zone,mapping_kind,pd_gross_mw,qd_gross_mvar,gs_mw,bs_mvar
PERFORM2019:BUS:1,1,53,B,assumed_same_zone_source_distance_aggregation,115.19,0,0,0
PERFORM2019:BUS:2,2,20002,F,exact_source_region,1.54,0,0,0
PERFORM2019:BUS:3,3,20003,F,exact_source_region,3.42,0,0,0
PERFORM2019:BUS:4,4,20004,D,exact_source_region,74.05,0,0,0
PERFORM2019:BUS:5,5,20005,F,exact_source_region,3.42,0,0,0
PERFORM2019:BUS:6,6,20006,F,exact_source_region,3.42,0,0,0
PERFORM2019:BUS:7,7,20007,F,exact_source_region,6.84,0,0,0
PERFORM2019:BUS:8,8,20008,F,exact_source_region,6.84,0,0,0
PERFORM2019:BUS:9,9,20009,G,exact_source_region,36.73,0,0,0
PERFORM2019:BUS:10,10,20010,D,exact_source_region,14.81,0,0,0
PERFORM2019:BUS:11,11,20011,F,exact_source_region,6.84,0,0,0
PERFORM2019:BUS:12,12,20012,F,exact_source_region,3.42,0,0,0
PERFORM2019:BUS:13,13,20013,F,exact_source_region,13.69,0,0,0
PERFORM2019:BUS:14,14,20014,E,exact_source_region,4.15,0,0,0
PERFORM2019:BUS:15,15,20015,E,exact_source_region,4.15,0,0,0
PERFORM2019:BUS:16,16,20016,E,exact_source_region,10.39,0,0,0
PERFORM2019:BUS:17,17,20017,K,exact_source_region,44.52,0,0,0
PERFORM2019:BUS:18,18,20018,K,exact_source_region,41.74,0,0,0
PERFORM2019:BUS:19,19,20019,K,exact_source_region,77.35,0,0,0
PERFORM2019:BUS:20,20,20020,E,exact_source_region,8.31,0,0,0
PERFORM2019:BUS:21,21,20021,E,exact_source_region,8.31,0,0,0
PERFORM2019:BUS:22,22,20022,F,exact_source_region,1.54,0,0,0
PERFORM2019:BUS:23,23,20023,E,exact_source_region,10.39,0,0,0
PERFORM2019:BUS:24,24,68,C,assumed_same_zone_same_kV_boundary_aggregation,20.89,0,0,0
PERFORM2019:BUS:25,25,20025,E,exact_source_region,2.08,0,0,0
PERFORM2019:BUS:26,26,20026,J,exact_source_region,0,0,0,0
PERFORM2019:BUS:27,27,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:28,28,20028,E,exact_source_region,2.08,0,0,0
PERFORM2019:BUS:29,29,65,C,assumed_same_zone_source_distance_aggregation,16.71,0,0,0
PERFORM2019:BUS:30,30,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:31,31,20031,F,exact_source_region,3.42,0,0,0
PERFORM2019:BUS:32,32,20032,F,exact_source_region,3.42,0,0,0
PERFORM2019:BUS:33,33,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:34,34,50,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:35,35,20035,D,exact_source_region,35.24,0,0,0
PERFORM2019:BUS:36,36,20036,D,exact_source_region,35.24,0,0,0
PERFORM2019:BUS:37,37,57,A,assumed_same_zone_source_distance_aggregation,7.58,0,0,0
PERFORM2019:BUS:38,38,61,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:39,39,60,A,assumed_same_zone_source_distance_aggregation,0,0,0,0
PERFORM2019:BUS:40,40,20040,E,exact_source_region,2.08,0,0,0
PERFORM2019:BUS:41,41,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:42,42,61,A,assumed_same_zone_source_distance_aggregation,17.68,0,0,0
PERFORM2019:BUS:43,43,61,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:44,44,61,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:45,45,61,A,assumed_same_zone_source_distance_aggregation,7.58,0,0,0
