source_branch_row,device_key,source_from_bus,source_to_bus,raw_circuit_id,source_device_role,canonical_status,raw_status,raw_converted_branch_row,identity_confidence,individual_circuit_identity_resolved,raw_identity_candidates,raw_canonical_parameters_match,raw_parameter_max_abs_difference,source_r_pu,source_x_pu,source_b_pu,source_rate_a_mva,source_rate_b_mva,source_rate_c_mva,source_tap,source_shift_deg,raw_transformer_control_mode,raw_regulated_bus,overhead_thermal_eligible,parent_branch_row,parent_from_bus,parent_to_bus,source_base_mva,parent_base_mva,source_angmin_deg,source_angmax_deg,parent_angmin_deg,parent_angmax_deg,angle_policy,disposition,source_sha256_lf_normalized
1391,PERFORM2019:AC:651:902:1,651,902,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1330,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:651:902:1,1,0,0.00081,0.01237,0.31971,1216,2454,1804,0,0,0,0,0,256,73,9002,100,100,0,0,-360,360,source_0_0_and_parent_minus360_plus360_both_unrestricted,retain_existing_physical_circuit_unchanged,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1392,PERFORM2019:AC:651:902:2,651,902,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,1331,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:651:902:2,1,0,0.00081,0.01237,0.31972,1216,2454,1804,0,0,0,0,0,257,73,9002,100,100,0,0,-360,360,source_0_0_and_parent_minus360_plus360_both_unrestricted,retain_existing_physical_circuit_unchanged,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
