parent_bus,source_bus,parent_bus_name,source_bus_name,parent_base_kv,source_base_kv,physical_zone,mapping_basis
73,651,PLEASANT VLY,PLEASANT VALLEY,345,345,G,registered_PLEASANT_VLY_to_PLEASANT_VALLEY_alias
9002,902,WOOD STREET,WOOD STREET,345,345,G,exact_name_voltage_zone
