parent_bus,retired_pd_mw,retired_qd_mvar,retired_gs_mw,retired_bs_mvar
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,809.143671,125,0,0
42,204.597757,17,0,0
43,0,0,0,0
44,0,0,0,0
45,295.9154,17,0,0
46,26.5861492,-42.5,0,0
47,610.325512,100,0,0
48,0,0,0,0
49,240.431262,17,0,0
50,0,0,0,0
51,844.977176,75,0,0
52,0,0,0,0
53,1066.91373,250,0,0
54,20,0,0,0
55,939,132,0,0
56,198.818159,44,0,0
57,277.420687,-6,0,0
58,97.0972405,38,0,0
59,814.923268,198,0,0
60,0,0,0,0
61,273.952928,8,0,0
62,0,0,0,0
63,0,0,0,0
64,165.296493,25,0,0
65,105.188677,0,0,0
66,0,0,0,0
67,0,0,0,0
68,243.899021,41,0,0
69,0,0,0,0
70,0,0,0,0
71,428.846145,53,0,0
72,0,0,0,0
73,0,0,0,0
74,117.903792,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,2311.83906,600,0,0
79,0,0,0,0
80,809.143671,25,0,0
81,0,0,0,0
82,0,0,0,0
9001,0,0,0,0
9002,0,0,0,0
9003,0,0,0,0
1228,0,0,0,0
1222,0,0,0,0
1567,0,0,0,0
772,0,0,0,0
858,0,0,0,0
774,0,0,0,0
547,0,0,0,0
593,0,0,0,0
594,0,0,0,0
1136,0,0,0,0
1532,0,0,0,0
1501,0,0,0,0
1502,0,0,0,0
596,0,0,0,0
1503,0,0,0,0
598,0,0,0,0
626,0,0,0,0
1506,0,0,0,0
628,0,0,0,0
1493,0,0,0,0
601,0,0,0,0
595,0,0,0,0
597,0,0,0,0
600,0,0,0,0
557,0,0,0,0
560,0,0,0,0
1497,0,0,0,0
