source_anchor_bus,model_bus,anchor_policy,zone,model_base_kv
1237,50,name_voltage_zone_source_anchor,C,345
34,50,historical_plant_proxy_for_distance_allocation,C,345
358,50,historical_plant_proxy_for_distance_allocation,C,345
1240,50,historical_plant_proxy_for_distance_allocation,C,345
1553,51,name_voltage_zone_source_anchor,C,115
357,51,historical_plant_proxy_for_distance_allocation,C,115
95,53,historical_plant_proxy_for_distance_allocation,B,115
128,53,historical_plant_proxy_for_distance_allocation,B,115
250,53,historical_plant_proxy_for_distance_allocation,B,115
1427,54,historical_plant_proxy_for_distance_allocation,A,230
1428,54,historical_plant_proxy_for_distance_allocation,A,230
1427,55,historical_plant_proxy_for_distance_allocation,A,230
1428,55,historical_plant_proxy_for_distance_allocation,A,230
1261,56,name_voltage_zone_source_anchor,A,230
33,56,historical_plant_proxy_for_distance_allocation,A,230
41,56,historical_plant_proxy_for_distance_allocation,A,230
69,56,historical_plant_proxy_for_distance_allocation,A,230
138,56,historical_plant_proxy_for_distance_allocation,A,230
284,56,historical_plant_proxy_for_distance_allocation,A,230
317,56,historical_plant_proxy_for_distance_allocation,A,230
1313,56,historical_plant_proxy_for_distance_allocation,A,230
1324,56,historical_plant_proxy_for_distance_allocation,A,230
1445,56,historical_plant_proxy_for_distance_allocation,A,230
1570,56,historical_plant_proxy_for_distance_allocation,A,230
1566,57,name_voltage_zone_source_anchor,A,115
37,57,historical_plant_proxy_for_distance_allocation,A,115
1246,58,name_voltage_zone_source_anchor,A,230
1561,59,name_voltage_zone_source_anchor,A,115
1321,60,name_voltage_zone_source_anchor,A,230
39,60,historical_plant_proxy_for_distance_allocation,A,230
69,60,historical_plant_proxy_for_distance_allocation,A,230
1573,61,name_voltage_zone_source_anchor,A,115
38,61,historical_plant_proxy_for_distance_allocation,A,115
161,61,historical_plant_proxy_for_distance_allocation,A,115
1296,61,historical_plant_proxy_for_distance_allocation,A,115
1330,61,historical_plant_proxy_for_distance_allocation,A,115
29,65,historical_plant_proxy_for_distance_allocation,C,115
1244,66,name_voltage_zone_source_anchor,C,345
1568,68,name_voltage_zone_source_anchor,C,115
24,68,historical_plant_proxy_for_distance_allocation,C,115
27,68,historical_plant_proxy_for_distance_allocation,C,115
30,68,historical_plant_proxy_for_distance_allocation,C,115
53,68,historical_plant_proxy_for_distance_allocation,C,115
575,68,historical_plant_proxy_for_distance_allocation,C,115
1172,68,historical_plant_proxy_for_distance_allocation,C,115
1181,68,historical_plant_proxy_for_distance_allocation,C,115
1460,68,historical_plant_proxy_for_distance_allocation,C,115
116,71,historical_plant_proxy_for_distance_allocation,C,115
1473,72,name_voltage_zone_source_anchor,C,115
24,72,historical_plant_proxy_for_distance_allocation,C,115
52,72,historical_plant_proxy_for_distance_allocation,C,115
339,72,historical_plant_proxy_for_distance_allocation,C,115
575,72,historical_plant_proxy_for_distance_allocation,C,115
1173,72,historical_plant_proxy_for_distance_allocation,C,115
1181,72,historical_plant_proxy_for_distance_allocation,C,115
1250,72,historical_plant_proxy_for_distance_allocation,C,115
1460,72,historical_plant_proxy_for_distance_allocation,C,115
