source_branch_row,model_branch_row,device_key,from_in_exact_region,to_in_exact_region
83,99,PERFORM2019:AC:23:1208:1,1,1
84,100,PERFORM2019:AC:23:1214:1,1,1
86,101,PERFORM2019:AC:24:913:1,1,0
87,102,PERFORM2019:AC:24:914:1,1,0
90,103,PERFORM2019:AC:25:83:1,1,1
91,104,PERFORM2019:AC:26:557:1,1,1
92,105,PERFORM2019:AC:26:557:2,1,1
93,106,PERFORM2019:XFMR:26:1468:1,1,1
96,107,PERFORM2019:AC:28:1286:1,1,1
97,108,PERFORM2019:AC:28:1287:1,1,1
104,109,PERFORM2019:AC:31:32:1,1,1
105,110,PERFORM2019:AC:31:680:1,1,1
106,111,PERFORM2019:AC:32:84:1,1,1
107,112,PERFORM2019:AC:32:474:1,1,1
108,113,PERFORM2019:AC:32:678:2,1,1
113,114,PERFORM2019:AC:35:36:1,1,1
114,115,PERFORM2019:AC:35:36:2,1,1
115,116,PERFORM2019:AC:35:191:1,1,1
116,117,PERFORM2019:AC:35:485:1,1,1
117,118,PERFORM2019:AC:35:485:2,1,1
118,119,PERFORM2019:AC:36:190:1,1,1
119,120,PERFORM2019:AC:36:192:1,1,1
120,121,PERFORM2019:AC:36:192:2,1,1
121,122,PERFORM2019:AC:36:490:N,1,1
129,123,PERFORM2019:AC:40:779:1,1,1
149,124,PERFORM2019:AC:49:1015:1,1,1
150,125,PERFORM2019:AC:49:1016:1,1,1
151,126,PERFORM2019:AC:50:412:1,1,1
152,127,PERFORM2019:AC:50:1031:1,1,1
165,128,PERFORM2019:AC:59:83:1,1,1
166,129,PERFORM2019:AC:59:83:2,1,1
167,130,PERFORM2019:AC:59:1027:1,1,1
168,131,PERFORM2019:AC:59:1028:1,1,1
169,132,PERFORM2019:AC:59:1040:1,1,1
170,133,PERFORM2019:AC:59:1041:1,1,1
171,134,PERFORM2019:XFMR:59:1220:NX,1,1
172,135,PERFORM2019:AC:60:500:1,1,1
173,136,PERFORM2019:AC:60:533:1,1,1
177,137,PERFORM2019:AC:62:63:1,1,1
178,138,PERFORM2019:AC:62:722:1,1,1
179,139,PERFORM2019:AC:63:800:1,1,1
180,140,PERFORM2019:AC:64:422:1,1,1
210,141,PERFORM2019:AC:79:557:1,1,1
211,142,PERFORM2019:AC:79:557:2,1,1
212,143,PERFORM2019:AC:79:1136:1,1,1
213,144,PERFORM2019:AC:79:1136:2,1,1
214,145,PERFORM2019:AC:80:375:1,1,1
215,146,PERFORM2019:AC:80:916:1,1,1
221,147,PERFORM2019:AC:82:1039:1,1,1
222,148,PERFORM2019:AC:84:793:1,1,1
278,149,PERFORM2019:AC:115:205:1,0,1
292,150,PERFORM2019:AC:125:415:1,1,1
293,151,PERFORM2019:AC:125:418:N,1,1
294,152,PERFORM2019:AC:125:1216:1,1,1
295,153,PERFORM2019:AC:126:415:1,1,1
296,154,PERFORM2019:AC:127:505:1,1,1
297,155,PERFORM2019:AC:127:510:1,1,1
298,156,PERFORM2019:AC:127:510:2,1,1
299,157,PERFORM2019:AC:127:813:1,1,1
300,158,PERFORM2019:AC:127:813:2,1,1
301,159,PERFORM2019:AC:127:813:3,1,1
302,160,PERFORM2019:AC:127:814:1,1,1
303,161,PERFORM2019:AC:127:1441:1,1,1
304,162,PERFORM2019:AC:127:1520:1,1,1
305,163,PERFORM2019:AC:127:1520:2,1,1
379,164,PERFORM2019:AC:168:907:1,0,1
384,165,PERFORM2019:AC:171:380:1,1,0
419,166,PERFORM2019:AC:186:187:1,1,1
420,167,PERFORM2019:AC:186:496:1,1,1
421,168,PERFORM2019:AC:186:501:1,1,1
422,169,PERFORM2019:AC:187:206:1,1,1
423,170,PERFORM2019:AC:188:461:1,1,1
424,171,PERFORM2019:AC:188:1203:1,1,1
425,172,PERFORM2019:AC:189:1203:1,1,1
426,173,PERFORM2019:AC:190:779:1,1,1
427,174,PERFORM2019:AC:191:450:1,1,1
428,175,PERFORM2019:AC:192:1527:1,1,1
429,176,PERFORM2019:AC:192:1527:2,1,1
430,177,PERFORM2019:AC:193:989:1,1,1
431,178,PERFORM2019:AC:194:195:1,1,1
432,179,PERFORM2019:AC:194:195:2,1,1
433,180,PERFORM2019:AC:194:196:1,1,1
434,181,PERFORM2019:AC:194:866:1,1,1
435,182,PERFORM2019:AC:194:867:1,1,1
436,183,PERFORM2019:AC:194:1442:1,1,1
451,184,PERFORM2019:AC:202:204:1,1,0
453,185,PERFORM2019:AC:203:204:1,1,1
454,186,PERFORM2019:AC:203:1039:1,1,1
455,187,PERFORM2019:AC:204:205:1,1,1
456,188,PERFORM2019:AC:205:206:1,1,1
457,189,PERFORM2019:AC:205:495:1,1,1
782,190,PERFORM2019:AC:366:909:1,1,1
783,191,PERFORM2019:AC:366:1056:1,0,1
784,192,PERFORM2019:AC:367:909:1,1,1
785,193,PERFORM2019:AC:368:910:1,1,1
786,194,PERFORM2019:AC:368:911:1,1,1
787,195,PERFORM2019:AC:369:912:1,1,1
788,196,PERFORM2019:AC:370:913:1,1,1
789,197,PERFORM2019:AC:371:372:1,1,1
790,198,PERFORM2019:AC:371:914:1,1,1
791,199,PERFORM2019:AC:372:373:1,1,1
792,200,PERFORM2019:AC:372:920:1,1,1
793,201,PERFORM2019:AC:372:1304:1,1,1
794,202,PERFORM2019:AC:374:913:1,1,1
795,203,PERFORM2019:AC:374:914:1,1,1
796,204,PERFORM2019:AC:374:915:1,1,1
797,205,PERFORM2019:AC:374:919:1,1,1
798,206,PERFORM2019:AC:374:920:1,1,1
799,207,PERFORM2019:AC:374:921:1,1,1
800,208,PERFORM2019:AC:374:1287:1,1,1
801,209,PERFORM2019:AC:375:915:1,1,1
802,210,PERFORM2019:AC:376:915:1,1,1
803,211,PERFORM2019:AC:377:916:1,1,1
804,212,PERFORM2019:AC:378:916:1,1,1
805,213,PERFORM2019:AC:378:917:1,1,1
806,214,PERFORM2019:AC:378:1285:1,1,1
807,215,PERFORM2019:AC:379:1040:1,1,1
808,216,PERFORM2019:AC:379:1041:1,1,1
809,217,PERFORM2019:AC:379:1285:1,1,1
810,218,PERFORM2019:AC:380:381:1,1,1
811,219,PERFORM2019:AC:380:383:1,1,1
812,220,PERFORM2019:AC:380:393:1,1,1
813,221,PERFORM2019:AC:380:912:1,1,1
814,222,PERFORM2019:AC:380:1043:1,1,1
815,223,PERFORM2019:AC:380:1306:1,1,1
816,224,PERFORM2019:AC:382:1042:1,1,1
817,225,PERFORM2019:AC:382:1043:1,1,1
818,226,PERFORM2019:AC:383:431:1,1,1
819,227,PERFORM2019:AC:383:432:1,1,1
820,228,PERFORM2019:AC:383:1055:1,1,1
821,229,PERFORM2019:AC:384:1044:1,1,1
822,230,PERFORM2019:AC:385:390:1,1,1
823,231,PERFORM2019:AC:385:1047:1,1,1
824,232,PERFORM2019:AC:386:434:N,1,1
825,233,PERFORM2019:AC:386:1548:1,1,1
826,234,PERFORM2019:AC:387:1052:1,1,1
827,235,PERFORM2019:AC:387:1548:1,1,1
828,236,PERFORM2019:AC:388:1012:1,1,1
829,237,PERFORM2019:AC:388:1013:1,1,1
